id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K095WB7ZC587QEBPYG9AG435,AGUILAR - GS810,Baffles basse,GS810,"Énorme baffle 8x10 taillé pour les grandes scènes, l’Aguilar GS810 délivre un volume massif, un grave solide et un médium très présent, tout en restant précis et musical, avec une signature rock assumée et une construction ultra robuste pour la tournée.",2200,116.8,116.8,62.23,83.46,"{'Puissance admissible': '1400 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '104 dB (1 W / 1 m)', 'Impédance': '4 Ω', 'Configuration des haut-parleurs': '8 x 10"" + tweeter phénolique avec phase plug', 'Type de tweeter': 'Tweeter phénolique à contrôle de niveau (crossover avec réglage de tweeter)', 'Pression acoustique max.': '136 dB', 'Connectique': '1x Speakon, 2x jack 6,35 mm', 'Type de charge': 'Baffle bass reflex'}",https://aguilaramp.com/products/db-810-bass-cabinet,58.19,0.0,0
01K095WDX36B19V4P4PEKAWX6J,AGUILAR - GS410,Baffles basse,GS410,"Le Aguilar GS410 est un baffle basse 4x10 ultra-punchy et perçant, idéal pour trancher dans le mix à fort volume. Son son tight et musical excelle avec tous les styles de jeu, des doigts au slap, grâce à une construction robuste en acajou philippin massif.",1100,71.8,71.8,57.15,44.45,"{'Puissance admissible': '700 W RMS', 'Réponse en fréquence': '40 Hz – 16 kHz', 'Sensibilité': '101 dB (1 W / 1 m)', 'Impédance': '4 Ω ou 8 Ω', 'Haut-parleurs': '4 x 10″ woofers à châssis moulé, aimant 56 oz', 'Tweeter': 'Tweeter phénolique avec ogive de phase', 'Type de charge': 'Baffle bass-reflex 4x10″ avec tweeter', 'Entrées / sorties': '1x Neutrik Speakon, 2x jack 6,35 mm', 'Réglages intégrés': 'Contrôle de niveau de tweeter (atténuateur)', 'Construction': 'Caisse en acajou philippin 7 plis, angles de protection', 'Accessoires intégrés': 'Poignées encastrées, roulettes amovibles'}",https://www.aguilaramp.com/wp-content/uploads/2019/05/AGUILAR-GS-SERIES-USER-GUIDE.pdf,64.7,0.0,0
01K095WGH5H3QNM72KSEWY9BQD,AGUILAR - GS412,Baffles basse,GS412,"Baffle 4x12 survitaminé, le Aguilar GS412 délivre un grave massif et profond tout en restant précis et articulé, avec un tweeter réglable pour doser l’attaque et la brillance, pensé pour les gros plateaux, les volumes élevés et les bassistes rock/fusion exigeants.",1300,59,114.3,23.25,52.62,"{'Puissance admissible': '1200 W RMS', 'Impédance': '4 Ω', 'Configuration haut-parleurs': '4 × 12ʺ + tweeter phénolique avec phase plug[1]', 'Réponse en fréquence': '37 Hz – 16 kHz[1]', 'Sensibilité': '104 dB @ 1 W / 1 m[1]', 'Connectique': '1 × Speakon Neutrik, 2 × jack 6,35 mm[1]', 'Type de tweeter': 'Tweeter phénolique avec contrôle de niveau variable et filtre passif personnalisé[1]'}",https://www.aguilaramp.com/wp-content/uploads/2019/09/Aguilar-GS-412-Spec-Sheet.pdf,68.71,0.0,0
01K095WK65MYDK882P7HB6JP7A,AGUILAR - GS112,Baffles basse,GS112,"Compact et très populaire, le GS112 offre un grave ample, des médiums au joli grain et des aigus doux, avec un volume étonnant pour son format. Plus rond qu’un 10 mais plus réactif qu’un 15, il convient aussi bien aux jeux groove qu’aux styles plus modernes, en configuration seule ou en stack.",699,45.7,35.6,48.26,19.05,"{'Puissance admissible': '300 W RMS', 'Réponse en fréquence': '42 Hz – 16 kHz', 'Sensibilité': '95 dB (1 W / 1 m)', 'Impédance': '8 Ω', 'Haut-parleurs': '1 x haut-parleur 12"" avec aimant 56 oz + tweeter phénolique avec guide d’onde', 'Type de charge': 'Évent bass-reflex', 'Connectique': '1 x Speakon, 2 x jack 6,35 mm', 'Contrôles': 'Atténuateur de tweeter'}",https://planetbass.com/shop/aguilar-gs-112-bass-cabinet/,93.26,0.0,0
01K095WNV0JF1T95939PKVBGCE,AGUILAR - DB410-8,Baffles basse,DB410-8,"Le Aguilar DB 410-8 est un baffle basse 4x10 puissant et précis, pensé pour les grosses scènes tout en restant transportable. Son caractère repose sur des médiums affirmés qui percent aisément dans un mix dense, complétés par des graves profonds et des aigus étendus grâce au tweeter réglable. Robuste et conçu pour la tournée, il délivre le son signature Aguilar : plein, musical et très efficace pour le rock, la fusion ou toute config nécessitant un gros niveau sonore.",1999,62.9,62.87,62.23,44.45,"{'Puissance': '700W RMS', 'Réponse en fréquence': '40Hz - 16kHz', 'Impédance': '8Ω', 'Sensibilité': '101dB 1W 1m', 'SPL max': '130dB', 'Connectique': '1 Neutrik SpeakON + 2 entrées jack 1/4""', 'Haut-parleurs': '4 x 10"" cast frame woofers 56oz magnets', 'Tweeter': 'Phénolique avec phase plug intégrée', 'Crossover': 'Personnalisé avec contrôle variable du tweeter', 'Construction': '13 plis Baltic Birch', 'Roulettes': 'Incluses et amovibles'}",https://aguilaramp.com/products/db-410,66.4,0.0,0
01K095WRFSXDGMQGQADVH8KPD1,AGUILAR - DB115,Baffles basse,DB115,"Conçu pour envoyer un grave massif tout en restant précis, le Aguilar DB115 est un baffle 1x15 idéal comme cab principal ou base de stack. Sa signature combine une grande extension dans les basses avec un médium punchy typique de la série DB, ce qui lui permet de soutenir sans peine les basses 4, 5 ou 6 cordes et de rester lisible dans un mix dense, sur scène comme en studio.",899,53.34,53.34,62.23,32.21,"{'Puissance RMS': '400 W', 'Configuration haut-parleur': '1 × 38 cm', 'Type de haut-parleur': 'Woofer à châssis moulé, aimant céramique', 'Impédance': '8 Ω', 'Réponse en fréquence': '32 Hz – 3 kHz', 'Sensibilité': '96 dB (1 W/1 m)', 'Type de charge': 'Clos, évents frontaux', 'Entrées': '2 × Neutrik Speakon'}",https://www.manualslib.com/,70.54,0.0,1
01K095WV4MG2XCAN4WJZNKM1XY,AMPEG  - SVT-810 VINTAGE,Baffles basse,SVT-810 VINTAGE,"L'Ampeg SVT-810 Vintage est l'icône des baffles basses, avec son design Infinite Baffle™ inchangé depuis 1969, délivrant un son punchy et rond signature Ampeg. Ses huit haut-parleurs de 10 réagissent ultra-rapidement aux transitoires, projetant un mur de basses focalisées et physiques qui emporte le public sur scène.",900,122,121.92,66,63.5,"{'Puissance RMS Mono': '800 W', 'Puissance RMS Stéréo': '2 x 400 W', 'Impédance Mono': '4 Ω', 'Impédance Stéréo': '2 x 8 Ω', 'Réponse en Fréquence': '58 Hz - 5 kHz', 'Fréquence Utilisable Basses': '40 Hz', 'Sensibilité': '100 dB', 'SPL Maximum': '130 dB', 'Connectique': 'Jacks 1/4"" et Neutrik Speakon', 'Haut-Parleurs': '8 x 10""', 'Bobine Vocale': '2""', 'Poids Aimant (par haut-parleur)': '30 oz'}",https://line6.com/data/6/0a020a41388965f0abe95d881/application/pdf/Owner%E2%80%99s%20Manual%20-%20English%20.pdf,57.59,0.0,0
01K095WXTJ4QK9B9D1E8J4MDJ9,AMPEG  - SVT-810E CLASSIC,Baffles basse,SVT-810E CLASSIC,"L'Ampeg SVT-810E Classic, icône depuis 1969, domine la scène avec son design Infinite Baffle et ses 8 haut-parleurs 10 Eminence. Il offre un son punchy, rond et immersif, déplaçant un volume d'air massif pour des basses percutantes qui captivent le public.",2199,121.9,121.9,66,74.84,"{'Réponse en fréquence (-3 dB)': '58 Hz - 5 kHz', 'Fréquence basse utilisable (-10 dB)': '40 Hz', 'Puissance RMS': '800 W en mono, 2 × 400 W en mode stéréo', 'Impédance nominale': '4 Ω en mono, 2 × 8 Ω en mode stéréo', 'Sensibilité': '100 dB SPL (1 W / 1 m)', 'Niveau de pression sonore maximal': '130 dB', 'Haut-parleurs': '8 × 10″ custom', 'Configuration interne': '8x10"" ou double 4x10"" isolés', 'Connectique': 'Entrées/sorties Speakon et jack 6,35 mm, fonctionnement mono ou stéréo'}",https://ampeg.com/data/6/0a020a411160e60e32ef53669c/application/pdf/Owner%E2%80%99s%20Manual%20-%20English%20.pdf,57.76,0.0,0
01K095X0FJP0TQMZ30PGYKRX7P,AMPEG  - SVT-810AV ANNIVERSARY,Baffles basse,SVT-810AV ANNIVERSARY,"L'Ampeg SVT-810AV Anniversary est l'icône intemporelle des baffles basses 8x10, avec son design Infinite Baffle légendaire pour un son punchy, rond et puissant qui domine les scènes depuis plus de 50 ans. Parfaite pour les tournées et résidences, elle offre une réponse ultra-rapide aux transitoires et un grave massif, idéal pour la backline Mulster.",3200,1,1,66.04,74.84,"{'Réponse en fréquence': '58 Hz - 5 kHz', 'Basses utilisables': '40 Hz', 'Puissance RMS (mono)': '800 W', 'Puissance RMS (split)': '400 W par section', 'Puissance crête (mono)': '1600 W', 'Puissance crête (split)': '800 W par section', 'Impédance (mono)': '4 Ω', 'Impédance (split)': '8 Ω par section', 'Sensibilité': '100 dB SPL (1W/1m)', 'SPL maximum': '130 dB', 'Connectique': 'Jack 1/4"" et Neutrik Speakon', 'Haut-parleurs': '8 x 10"" Eminence custom (150 W chacun)', 'Design': 'Infinite Baffle'}",https://ampeg.com/data/6/0a020a4112325e5414839ffa3/application/pdf/Heritage%20SVT-810AV%20Owner's%20Manual%20-%20English%20.pdf,63.63,0.0,0
01K095X34ZZ2J8RCEGR4939FTT,AMPEG - SVT-810E CLASSIC HERITAGE,Baffles basse,SVT-810E CLASSIC HERITAGE,"Baffle fermé 8x10 emblématique, le Heritage SVT-810E délivre le son “fridge” Ampeg : grave tendu, médiums présents et énorme projection, avec une construction robuste pensée pour la tournée.",2100,121.9,121.92,66.0,74.84,"{'Réponse en fréquence': '40 Hz – 5 kHz', 'Impédance': '4 Ω (mono), 8 Ω + 8 Ω (stéréo)', 'Puissance admissible': '800 W RMS (mono), 2 × 400 W RMS (stéréo)', 'Niveau de pression acoustique max': '130 dB', 'Sensibilité': '100 dB SPL (1 W/1 m)', 'Haut-parleurs': '8 haut-parleurs 10″ Eminence fabrication USA', 'Type de charge': 'Baffle clos (Infinite Baffle)', 'Entrées / sorties': '1× jack 6,35 mm + 1× Speakon pour section basse, 1× jack 6,35 mm pour section haute, configurables en mono ou stéréo'}",https://ampeg.com/pdf/SVT810EAV.pdf,58.07,0.0,0
