id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K099QFAVRBNQ11153580EJ44,LP - CONGA CLASSIC WOOD,Percussions Latines,CONGA CLASSIC WOOD,"Les congas LP Classic Wood sont devenues une référence des congas en bois grâce à leur fût en chêne de Siam séché qui offre un son chaud, riche et très équilibré dans les médiums et les aigus. Leur forme de fût spécifique favorise la projection et la clarté des frappes, tandis que les peaux naturelles sélectionnées à la main apportent un toucher traditionnel et une excellente réponse, du jeu doux aux accents les plus puissants. Conçues pour la scène comme pour le studio, elles allient robustesse professionnelle et confort de jeu, ce qui en fait un choix sûr pour les percussionnistes exigeants.",870,76.2,30,30,7.7,"{'Fût': 'Chêne de Siam séché en étuve, profil de fût optimisé pour mettre en valeur les médiums et les aigus[1][2][6][7]', 'Composition interne': 'Couche de renfort en fibre de verre sur la partie supérieure interne pour plus de solidité et de projection[1][2][5]', 'Peau': 'Peau naturelle brute sélectionnée à la main[1][2][4][7]', 'Cercles de tension': 'Cercles Comfort Curve II pour un confort de jeu amélioré[1][2][4][7]', 'Tirants': 'Tirants de 5/16″ de diamètre pour un accordage précis et robuste[1][2][4][5][7]', 'Accastillage': 'Plaques de serrage renforcées type LP Heart et protections de fût intégrées LP ProCare pour éviter les marques entre fûts[1][2][5]', 'Accessoires fournis': 'Clé d’accord, lubrifiant pour tirants (LP Lug Lube) et pochette d’accessoires[1][2]'}",https://www.lpmusic.com/products/lp559x-classic-11-3-4-conga/,76.95,0.0,0
01K099PV8NR49K65E4TY0Q8410,LP - BONGOS GALAXY NATURAL,Percussions Latines,BONGOS GALAXY NATURAL,"Les bongos LP Galaxy Natural, signés Giovanni, offrent des coques premium en frêne nord-américain pour un volume maximal et un son percutant. Finition naturelle élégante, peaux sélectionnées à la main et jantes Comfort Curve II assurent confort et projection idéale en live.",699,17,17,17,6.8,"{'Matériau': 'Frêne nord-américain premium (3 plis)', 'Têtes': 'Peaux naturelles sélectionnées à la main, 7-1/4"" et 8-5/8""', 'Jantes': 'Comfort Curve II avec fonds en aluminium coulé', 'Goujons de tension': '5/16"" de diamètre, 4 par côté', 'Quincaillerie': 'Or', 'Plaque de renfort': 'Acier'}",https://www.lpmusic.com/products/lp793x-giovanni-7-1-4-8-5-8-bongos/,76.4,0.0,0
01K099PZ8MTVGR93JY2X366T05,LP - BONGOS NATURAL GII,Percussions Latines,BONGOS NATURAL GII,"Les bongos LP Generation II Natural, en bois de Siam Oak séché au four, offrent un contour prononcé des coques pour des tons aigus nets et cristallins. Leurs peaux naturelles en cuir sélectionnées à la main garantissent un son riche et authentique, idéaux pour les concerts et tournées.",360,40.0,37,21.91,7.7,"{'Fûts': 'Bois de chêne de Siam', 'Finition': 'Naturelle avec accastillage chromé', 'Peaux': 'Peaux naturelles en peau brute', 'Diamètre des peaux': '7,25″ et 8,625″[4][3]', 'Cercles': 'Cercles Comfort Curve II avec fonds en aluminium coulé[4]', 'Tirants': 'Tirants de 5/16″ de diamètre[4]', 'Accastillage': 'Chromé[4][3]'}",https://www.lpmusic.com/products/gen2-generation-ii-7-1-4-8-5-8-bongos/,92.21,0.0,0
01K099Q3A5BBMEP6WR6MD7VGGQ,LP - BONGOS GALAXY FIBRE,Percussions Latines,BONGOS GALAXY FIBRE,"Conçus pour la scène, les bongos LP Galaxy Fibre offrent une projection puissante et un son plein grâce à leurs fûts en fibre de verre renforcés de Kevlar, extrêmement robustes. Les peaux naturelles sélectionnées à la main et les cerclages Comfort Curve assurent confort de jeu et réponse précise, tandis que la finition haut de gamme et l’accastillage doré en font un instrument aussi élégant que fiable pour les percussionnistes exigeants.",470,40.0,20.3,20.0,6.8,"{'Matériau des fûts': 'Fibre de verre renforcée au Kevlar[1][2][6]', 'Peaux': 'Peaux naturelles en cuir brut sélectionnées à la main[1][2]', 'Jantes': 'Jantes Comfort Curve II[1][2]', 'Matériel des ferrures': 'Chrome[1] ou ton or[2]', 'Tiges de tension': '5/16"" de diamètre[2]', 'Plaques de renfort': 'Acier[7]'}",https://www.lpmusic.com/products/lp794x-galaxy-7-1-4-8-5-8-bongos/,90.45,0.0,1
01K099Q7APPJCT2VBKD2ZE6QXK,LP - BONGOS 40TH ANNIVERSARY,Percussions Latines,BONGOS 40TH ANNIVERSARY,"Les LP Bongos 40th Anniversary célèbrent 40 ans d'excellence avec des coques en bois exotique pour un son chaud et résonant, des peaux naturelles et un hardware chromé robuste. Édition limitée iconique, parfaite pour rythmes latins percutants en live ou studio.",274,7.3,0.0,40.64,4.0,"{'Matériau': ""Bois de zèbre (Zebra Wood), coques en staves d'une seule épaisseur"", 'Têtes': 'Peau naturelle (rawhide), macho 7-1/4"" (184 mm), hembra 9"" (229 mm)', 'Matériel': 'Matériel chromé traditionnel avec boutons style cubain', 'Édition': ""Limitée à 200 ensembles numérotés et signés par Johnny 'Dandy' Rodriguez Jr."", 'Contexte': 'Hommage aux bongos Zebra LP des années 1970 et au 60e anniversaire de LP'}",https://lpmusic.com/products/lp200x-awa-lp-40th-anniversary-bongos,75.29,0.0,0
01K099QBB2B7KSQZMJ80BE9RXZ,LP - BONGOS FIBERGLASS,Percussions Latines,BONGOS FIBERGLASS,"Les bongos fiberglass LP offrent un son puissant et projeté, avec des médiums riches et des aigus tranchants, idéal pour percer les mixes les plus denses. Leurs coques en fibre de verre ultra-résistantes assurent une durabilité exceptionnelle pour les concerts et tournées.",390,40.0,30,40.64,3.7,"{'Fût': 'Coques en fibre de verre avec bords de frappe renforcés en acier moulé pour une résistance maximale[3][5]', 'Peaux': 'Peaux naturelles en cuir brut sélectionné à la main, diamètres 7,25″ et 8,625″[3][5]', 'Cerclages': 'Cerclages LP Comfort Curve II pour un meilleur confort de jeu et une tension homogène[3][5]', 'Tirants': 'Tirants de tension de diamètre 5/16″, profilés pour suivre la forme du fût et améliorer le confort[1][3][5]', 'Fers de fond': 'Fonds en aluminium moulé avec finition chromée[1][3]', 'Projection sonore': 'Son puissant avec forte projection, conçu pour percer dans des contextes de jeu bruyants[1][5]', 'Finition accastillage': 'Accastillage chromé[1][3]'}",https://www.lpmusic.com/products/lp200xf-7-1-4-8-5-8-fiberglass-bongos/,93.63,0.0,0
01K099QKATV5QGN11A9VHHC2K8,LP - CONGAS WOOD GALAXY GIOVANNI,Percussions Latines,CONGAS WOOD GALAXY GIOVANNI,"Les congas LP Galaxy Giovanni en bois offrent une résonance exceptionnelle, une attaque puissante et une chaleur unique, avec des basses profondes, des mids riches et des aigus percutants pour une projection remarquable. Conçues avec le maître conguero Giovanni Hidalgo, elles se distinguent par leur shell en frêne nord-américain premium et leur finition gloss profonde, idéales pour les pros en quête de polyvalence et de durabilité.",800,76.2,5,30,18.6,"{'Fût': 'Frêne nord-américain, construction 3 plis avec renforts internes en acier', 'Finition': 'Vernis brillant naturel', 'Cercles': 'Cercles Extended Collar Comfort Curve II', 'Peau': 'Peau naturelle brute sélectionnée à la main', 'Hauteur du fût': '30\xa0po', 'Diamètre de fût': '11,75\xa0po', 'Accastillage': 'Accastillage Premium Galaxy, finition dorée', 'Tirants de tension': 'Tirants de 3/8\xa0po, forte section', 'Plaques de fixation': 'Plaques de tension LP Heart renforcées, trois boulons avec plaque de renfort', 'Protections de fût': 'Protections de fût LP ProCare intégrées', 'Accessoires fournis': 'Pochette d’accessoires, clé d’accordage, lubrifiant pour tirants'}",https://www.lpmusic.com/products/lp806z-aw-giovanni-11-3-4-conga/,81.36,0.0,0
01K099QQBNTS3APHT5WCEG1VSJ,LP - CONGAS PATATO FIBER BLACK,Percussions Latines,CONGAS PATATO FIBER BLACK,"Les congas LP Patato Fiber Black, signature de Carlos “Patato” Valdez, arborent une finition noire en fibre de verre robuste. Leur forme élancée projette des graves profonds et des aigus cristallins avec un volume impressionnant, idéales pour les scènes live.",695,76.2,76.2,31.75,7,"{'Matériau': 'Fibre de verre', 'Tête': 'Peau naturelle brute 31,75 cm', 'Jantes': 'Comfort Curve II', 'Bords de tension': 'Acier', 'Plaques latérales': 'Renforcées LP Heart', 'Vis de tension': '5/16 pouce', 'Finition': 'Noire', 'Matériel': 'Chrome', 'Accessoire': 'Clé de tension incluse'}",https://www.lpmusic.com/products/lp552x-1bk-patato-12-12-tumba/,79.4,0.0,0
01K099QVBCMZBXRGWCFXWWJ33W,LP - CONGAS PATATO FIBER WHITE,Percussions Latines,CONGAS PATATO FIBER WHITE,"Les congas LP Patato Fiber White, en fibre de verre blanche, incarnent l'héritage du légendaire Carlos Patato Valdez. Développées en 1978, elles offrent des graves profonds puissants et des aigus nets et cristallins, idéales pour tous styles musicaux en live ou studio.",740,8,76.2,30,8.62,"{'Matériau': 'Fibre de verre', 'Jambes': '3', 'Tête': 'Peau naturelle sélectionnée à la main', 'Cercles': 'Chrome LP Comfort Curve II', 'Entretoises': 'Plaques latérales LP Heart renforcées', 'Vis de tension': '5/16"" de diamètre', ""Anneau d'appui"": 'Anneau en acier intégré à la lèvre supérieure', 'Protection': 'Protecteurs de coquille LP Procare intégrés', 'Accessoires': 'Pochette, clé de tension et lubrifiant LP Lug Lube inclus', 'Hauteur': '30""', 'Forme': 'Ventre large et fond étroit'}",https://www.lpmusic.com/products/lp559x-1bk-patato-11-3-4-conga/,81.01,0.0,0
01K099QZBYA3RN0XQJPVBEKFYR,LP - CONGAS WOOD 40TH ANNIVERSARY,Percussions Latines,CONGAS WOOD 40TH ANNIVERSARY,"Les congas LP Wood 40th Anniversary en bois de Siam oak arborent un fini somptueux dégradé du blond au rouge ambré et ébène, avec tête en rawhide sélectionnée ornée du logo commémoratif. Édition limitée numérotée avec certificat d'authenticité, elles offrent un son riche et une ergonomie supérieure pour scène et studio.",520,3,76.2,11.75,7.26,"{'Finition': 'Bois blond grainé dégradé vers ambre puis ébène', 'Fût': 'Chêne de Siam, hauteur 30\xa0po', 'Peau': 'Peau crue naturelle sélectionnée à la main, marquage logo 40th Anniversary', 'Cercles': 'Cercles Comfort Curve II finition dorée', 'Accastillage': 'Plaques latérales LP renforcées, tirants de tension haute résistance', 'Protection du fût': 'Protections de fût intégrées Pro Care', 'Accesoires intégrés': 'Attache de micro LP finition dorée sur un tirant pour prise de son facilitée', 'Série limitée': 'Incrustation logo 40th Anniversary, numéro de série individuel, certificat d’authenticité'}",https://www.lpmusic.com/legacy-support/instructions/lp40thanniversarycongas,75.48,0.0,0
