id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K096Z4ENBP543HQN10R0N1ZG,BLACKSTAR - ONE 412 SLANT,Cabinet Guitare,ONE 412 SLANT,"Le Blackstar ONE 412 Slant est un baffle 4x12 incliné oversize, conçu pour une sonorité vintage exceptionnelle avec ses Celestion Vintage 30. Fabriqué en contreplaqué de bouleau à joints chevillés, il offre une projection puissante et précise, idéal pour les têtes Series One en tournée ou studio.",899.0,75.6,75.5,83.7,49.0,"{'Puissance': '240W', 'Impédance': 'Mono: 4Ω ou 16Ω / Stéréo: 2 x 8Ω (commutable)', 'Enceintes': '4 x Celestion Vintage 30 12""', 'Construction': 'Contreplaqué de bouleau à joints en doigts, câblage manuel avec fil de calibre lourd'}",https://blackstarampsmedia.com/uk/products/series-one-412,74.23,0.0,2
01K096Z7E2BN2TXHC73EB02C27,BLACKSTAR - ONE 412 STRAIGHT,Cabinet Guitare,ONE 412 STRAIGHT,"Le Blackstar ONE 412 Straight est un baffle 4x12 straight vintage au format tall, équipé de Celestion Vintage 30 pour un son massif, puissant et riche en overdrive. Construit en contreplaqué birch finger-jointed premium, il offre une projection exceptionnelle et une durabilité à vie, idéal pour les concerts et backline Mulster.",899.0,35.6,83.7,75.5,49.0,"{'Puissance': '240W', 'Impédance': 'Mono: 4 ou 16 Ω, Stéréo: 2 x 8 Ω', 'Haut-parleurs': '4 x Celestion Vintage 30 de 12 pouces', 'Configuration': ""Mono / Stéréo sélectionnable par prise d'entrée"", 'Construction': 'Contreplaqué de bouleau à joints doigts', 'Câblage': 'Fil de calibre lourd'}",https://blackstaramps.com/product/series-one-412a/,74.25,0.0,2
01K096ZADNZB5AJTK430E3A8VN,ENGL - 412,Cabinet Guitare,412,"Le ENGL 412 est un baffle de scène 4x12 ultra-puissant, conçu pour délivrer un son rock massif et précis avec une projection exceptionnelle, idéal pour les concerts live et tournées Mulster. Sa construction robuste et son rendement élevé en font un choix fiable pour les guitaristes exigeants.",1200,66,124,61,2023,"{'Type': 'Baffle de guitare 4x12', 'Puissance': '1200 W RMS', 'Réponse en fréquence': '45 Hz - 6 kHz', 'Sensibilité': '103 dB (1W/1m)', 'Impédance': '16 Ω (mono) / 2x8 Ω (stéréo)', 'Haut-parleurs': '4x Celestion Vintage 30, 12 pouces', 'Connectique': '2x entrées Speakon / Jack 6.35 mm (parallèle)', 'Poids': '49 kg', 'Matériau': 'Bouleau finlandais'}",https://www.engl.de/produkte/412,72.25,0.0,0
01K096ZDE620XZQ19S5XMNFP48,EVH - 5150III 412,Cabinet Guitare,5150III 412,"Le baffle EVH 5150III 412 offre une puissance explosive et un son signature Eddie Van Halen grâce à ses quatre haut-parleurs Celestion G12 EVH 20W, dans une construction robuste en bouleau pin premium pour des aigus clairs et des basses profondes. Idéal pour les têtes 5150III, il délivre une performance ultime sur scène avec sa finition texturée noire ou ivoire et grille tissée.",1200,76.2,76.2,2,40,"{'Impédance': '16 Ω', 'Puissance': '100 W', 'Connectique': '1 x jack 1/4 pouce', 'Haut-parleurs': '4 x 12"" Celestion G12EVH 20 W', 'Matériau': '7 plis de 5/8"" en pin de bouleau'}",https://www.evhgear.com/gear/amplifiers/cabinet/5150iii-4x12-straight-cabinet/2252100400,81.95,0.0,0
01K096ZGFEV2GR2THED4HNG25K,FENDER - SUPERSONIC 212,Cabinet Guitare,SUPERSONIC 212,"Le baffle Fender Super-Sonic 212 excelle par sa construction en contreplaqué Baltic Birch premium, ses deux haut-parleurs Celestion Vintage 30 et son baffle surdimensionné incliné pour un son riche, résonant et puissant, idéal pour la scène et le studio.",1000,53.3,53.3,81.2,33.5,"{'Puissance': '120 W', 'Impédance': '8 Ω', 'Haut-parleurs': '2 x 12"" Celestion Vintage 30, 16 Ω chacun', 'Connectique': '2 x 1/4"" parallèle', 'Construction': 'Contreplaqué bouleau balte premium', 'Dos': 'Fermé', 'Accessoires': 'Roulettes rétractables, housse incluse'}",https://www.fender.com/products/super-sonic-60-212-enclosure,89.79,0.0,0
01K096ZKG7N04AYH9CYR4NZ0Q9,HIWATT - 412 FANE,Cabinet Guitare,412 FANE,"Le Hiwatt 412 Fane est un baffle 4x12 emblématique équipé de haut-parleurs Fane britanniques, délivrant un son riche, profond et vintage avec une headroom exceptionnelle pour un crunch légendaire sur scène.",300,77.5,77.5,76,2,"{'Puissance': '400W', 'Impédance': '16Ω', 'Connectique': 'Entrée jack 1/4"" mono, Sortie link jack 1/4"" mono', 'Haut-parleurs': '4 x 12"" Fane', 'Puissance par haut-parleur': '100W'}",https://hiwatt.org/info/hiwattCatalogPages.pdf,79.64,0.0,0
01K096ZPK9WV158AAHHQJK88HQ,HUGHES & KETTNER - 412,Cabinet Guitare,412,"Le Hughes & Kettner TC 412 A60 est un baffle 4x12 incliné offrant une projection sonore puissante et précise, idéal pour les répétitions, concerts et enregistrements. Équipé de haut-parleurs RockDriver Classic 60 dans une enceinte en contreplaqué bouleau fermée à tenons assemblés, il excelle par sa robustesse, son punch affirmé et sa compatibilité optimale avec les têtes d'ampli.",899,3,110,60,35.5,"{'Puissance': '240W', 'Impédance': '8 ohms', 'Configuration': '4 x 12""', 'Connectique': '1 entrée jack 1/4"" + 1 sortie jack 1/4""', 'Haut-parleurs': 'RockDriver Classic 60', 'Mono/Stereo': 'Mono'}",https://www.hughes-and-kettner.com/products/tubeman-series/tc412-a60,76.11,0.0,0
01K096ZSM264XXFT8GMSBKRKBD,MARSHALL - 1960A,Cabinet Guitare,1960A,"Icône rock incontestée, le Marshall 1960A est un baffle 4x12 angulaire légendaire doté de Celestion G12T-75, offrant un son clair, puissant et focalisé avec des basses serrées, des médiums percutants et des aigus cristallins. Sa conception inclinée booste la projection et la dispersion pour dominer la scène, idéal pour backline touring avec une polyvalence mono/stéréo et une robustesse exemplaire.",1300,83,83.0,76.0,36.4,"{'Configuration haut-parleurs': '4 x 12""', 'Haut-parleurs': 'Celestion G12T-75', 'Puissance admissible': '300 W (mono)', 'Impédance': '16 Ω / 4 Ω (mono), 8 Ω (stéréo)', 'Connectique': '2 x 1/4""', 'Type de baffle': 'Fermé', 'Matériau': 'Birch plywood', 'Mode': 'Mono/Stereo switchable'}",https://www.marshall.com/us/en/product/1960a-4x12-angled-cabinet?pid=1007269,83.44,0.0,0
01K096ZWNJMF0TAWDM4MEQ28AX,MARSHALL - 1960B,Cabinet Guitare,1960B,"Le Marshall 1960B est un baffle 4x12 iconique au design straight des années 60, délivrant un son massif et chaleureux avec des basses épaisses, idéal pour le rock live. Polyvalent en mono/stéréo, il excelle en stack ou solo pour un timbre légendaire et puissant.",949,75.4,83.2,77,4,"{'Puissance': '300W', 'Haut-parleurs': '4 x Celestion G12T-75 12""', 'Impédance': '4 ou 16 Ω (mono), 8 Ω (stéréo)', 'Connectique': '2 x jack 6,3 mm', 'Construction': 'Contreplaqué de bouleau, dos fermé', 'Configuration': '4 x 12"" droite'}",https://manualslib.com/manual/1855030/Marshall-1960b.html,79.94,0.0,0
01K096ZZQGRQCSG6F3PM7SGQ6T,MARSHALL  - 1960AHW,Cabinet Guitare,1960AHW,"Le Marshall 1960AHW est un baffle angulaire 4x12 soudé main, recréant le son explosif des années 60 avec quatre Celestion G12H-30 pour des basses puissantes, un punch mid et des aigus cristallins. Son look vintage au tissu basket-weave et sa robustesse en bouleau en font l'allié idéal des stacks Marshall pour des volumes massifs et un son pur sur scène.",1450,75.5,75.5,77,4,"{'Puissance': '120W', 'Impédance': '15Ω mono', 'Haut-parleurs': '4 x Celestion G12H-30 12""', 'Entrées': '1', 'Configuration': '4x12""', 'Type': 'Angulaire'}",https://www.marshall.com/us/en/product/1960ahw-4x12-handwired-angled-cabinet?pid=1007272,81.79,0.0,0
