id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K096W6ZAFC2VKD13R5R6GB4R,BLACKSTAR - ONE 1046L6,Tête Guitare,ONE 1046L6,"Tête d'ampli guitare tout lampe Blackstar Series One 1046L6, 100W aux puissantes 6L6 pour un son américain massif et clair. Quatre canaux polyvalents (clean chaud/bright, crunch/super crunch, deux overdrives gainés) avec DPR pour un crunch authentique à tout volume, ISF pour sculpter le timbre US/UK, et sortie émulée idéale pour studio et scène.",1499.0,70.5,27.9,28.5,27.2,"{'Puissance': '100 W', 'Réduction de puissance (DPR)': ""jusqu'à 10 %"", 'Lampes préampli': '4 x ECC83, 1 x ECC82', 'Lampes puissance': '4 x 6L6', 'Canaux': '4 (Clean, Crunch, OD1, OD2)', ""Boucle d'effets"": 'Série (+4 dBV / -10 dBV)', 'Sortie': 'Émulée haut-parleur', 'Contrôles': 'Présence, Résonance, Volume master, ISF x2', 'Switching': 'MIDI', 'Entrées': 'Guitare'}",https://www.blackstaramps.com/uk/products/series-one-1046l6,82.58,0.0,2
01K096W9YK0FQVNB0ZZCNHNAMQ,BLACKSTAR - ONE 104EL34,Tête Guitare,ONE 104EL34,"Tête d'ampli guitare tout lampes Blackstar Series One 104EL34, offrant une flexibilité tonale exceptionnelle avec 4 canaux switchables : clean chaud/bright, crunch/super crunch et deux overdrives puissants. DPR pour une puissance réduite sans perte de son, ISF pour sculpter des timbres british/américains, boucle d'effets et sortie émulée idéale pour studio et scène.",1399.0,70.5,27.9,28.5,27.2,"{'Puissance': '100 W', 'Réduction de puissance': ""DPR jusqu'à 10 %"", 'Lampes préampli': '4 x ECC83, 1 x ECC82', 'Lampes de puissance': '4 x EL34', 'Canaux': '4 (Clean, Crunch, OD1, OD2)', 'Impédance': '4 Ω', 'Connectique': ""Entrée guitare, boucle d'effets série, sortie émulée haut-parleur, MIDI"", 'Contrôles': 'Gain et volume par canal, EQ 3 bandes x2 avec ISF x2, Resonance, Presence, Master Volume'}",https://blackstaramps.com/wp-content/uploads/2021/08/series-one-104-handbook.pdf,82.9,0.0,2
01K096WCW7B6Y3VAGCV98ABASK,DV MARK - DV MARK MICRO 50,Tête Guitare,DV MARK MICRO 50,"Tête d'ampli guitare ultra-compacte DV Mark Micro 50, délivrant 50W de puissance avec un son classique puissant et immersif. Deux canaux (clean/lead) faciles à utiliser, réverb intégrée, sortie XLR, prise casque et aux pour pratiquer partout, idéale pour pédales grâce à son circuit d'entrée optimisé.",240,3,22.1,1,1.9,"{'Puissance': '50W à 8Ω, 60W à 4Ω', 'Impédance': '4Ω minimum', 'Canaux': '2', 'Égaliseur': '3 bandes', 'Contrôles': 'Drive, Level, Reverb', ""Boucle d'effets"": 'Oui', 'Réverbération': 'Intégrée', 'Entrée Aux': 'Oui', 'Sortie Casque': 'Oui', 'Sortie Ligne': 'XLR', 'Sélecteur Tension': '120V/240V', 'Entrée Footswitch': 'Oui'}",https://www.zikinf.com/manuels/dv-mark-dv-micro-50-jazz-manuel-utilisateur-en-66428.pdf,0.0,0.0,5
01K096WFVBW91W3SDYV28T601S,ENGL - POWERBALL II,Tête Guitare,POWERBALL II,"L'ampli tête ENGL Powerball II délivre un son heavy metal puissant et polyvalent, avec un canal clean cristallin et des distos agressives ultra-réactives. Idéal pour les concerts et tournées, il excelle en clarté, sustain et présence scénique, parfait pour la backline Mulster.",1199,24.4,0.0,10,12.2,"{'Puissance': '100W (mode clean), 100/200W (selectable)', 'Réponse en fréquence': '5 Hz - 50 kHz', 'Impédance sortie haut-parleur': '8/16 Ω', 'Connectique': ""Entrée guitare, sortie HP (jack 6,3 mm), MIDI In/Thru, footswitch, sortie casque, boucle d'effets (send/return)"", 'Puissance tube préampli': '6 x ECC83', 'Puissance tube power': '4 x EL84', 'Canaux': '4 canaux indépendants'}",https://engl.de/en/products/powerball-2-head,80.17,0.0,0
01K096WJSEY5PNKC4SGF3YN59C,EVH - 5150III,Tête Guitare,5150III,"L'ampli tête EVH 5150III 100W, conçu avec Eddie Van Halen, excelle par ses trois canaux polyvalents : clean cristallin, crunch bluesy puissant et lead ultra-saturé pour des solos incendiaires. Robuste et road-proof, il délivre un son légendaire du clean pur à l'overdrive dévastateur, idéal pour tous les styles rock et metal.",2200,75.5,21.6,50.8,25,"{'Puissance': '100 W RMS', 'Tubes préampli': '8 x 12AX7', 'Tubes puissance': '4 x 6L6', 'Canaux': '3 (Clean, Crunch, Lead)', 'Impédance sortie': '4, 8 ou 16 Ω (sélectionnable)', ""Boucle d'effets"": 'Oui (switchable)', 'Sorties haut-parleurs': '2 sorties parallèles sélectionnables', 'Footswitch': 'Inclus (4 boutons avec LED)', 'Transformateurs': 'Custom design avec bias spécial'}",https://www.evhgear.com/gear/amplifiers/head/5150iii-100w-head/2251000400,76.96,0.0,0
01K096WNR7048PNPB3KYEKG7VX,FENDER  - SUPERSONIC 100,Tête Guitare,SUPERSONIC 100,"L'ampli tête Fender Super-Sonic 100 offre des sons vintage cristallins inspirés des Twin Reverb et Bassman, et un canal Burn puissant pour overdrives blues à rock musclés, avec réverbération à ressort et réglages polyvalents pour tous les styles.",1600,66.8,26.8,26.67,26.8,"{'Puissance': '100W (réglable à 25W via switch Arena/Club)', 'Puissance tubes': '4 x 6L6', 'Préampli tubes': '7 x 12AX7 + 2 x 12AT7', 'Canaux': 'Vintage (clean) et Burn (overdrive)', 'Réverbération': 'Tube-driven Fender long-spring reverb Accutronics', ""Loop d'effets"": 'FX loop professionnel avec contrôle de niveau', 'Bias': 'Fender Automatic Bias (sans meter)', 'Damping': 'Normal, Loose ou Tight', 'Impédance': ""Sélecteur d'impédance (jack haut-parleurs)"", 'Connectique': 'Entrées jack pour channels, footswitch 4 boutons, jacks haut-parleurs (série/parallèle)', 'Notch Tune': 'Réglage médiums paramétrique (Burn channel)'}",https://www.fender.com/media/6099843/2160100_supersonic100head_om.pdf,84.5,0.0,0
01K096WRQYGCFK3T6QS5R5JS7M,FRACTAL AUDIO - AXE FXIII MK2,Tête Guitare,AXE FXIII MK2,"Le Fractal Audio Axe-Fx III MK2 est le processeur ultime pour guitare et basse, avec modélisation d'amplis Cygnus X2 ultra-réaliste, simulations de baffles avancées et effets studio premium. Son interface couleur intuitive, puissance DSP massive et connectivité abondante en font l'outil indispensable pour concerts et studios, offrant une clarté sonore audiophile sans compromis.",1999,48.3,131.1,48.26,6.87,"{'Processeurs DSP': '2 × 1.0 GHz Keystone (Turbo: 25% plus de puissance)', 'Mémoire': '4 Gb DDR3 PC1600', 'Interface USB Audio': '8×8 canaux, 24-bit/48 kHz ou 88 kHz', 'Connectique Analogique': '2 entrées instrument (avant/arrière), 4 paires stéréo sorties (XLR et 1/4"" Humbuster)', 'Connectique Numérique': 'AES In/Out, SPDIF In/Out', 'Connectique Contrôle': 'MIDI In/Out/Thru, 2 entrées expression, FASLINK II', 'Affichage': 'Écran couleur haute résolution', 'Encoders': '5 encodeurs rotatifs push'}",https://www.fractalaudio.com/downloads/manuals/axe-fx-3/Axe-Fx-III-Owners-Manual.pdf,79.69,0.0,0
01K096WVPD0SBB2FVTSQ17FKYJ,HIWATT - CUSTOM 50,Tête Guitare,CUSTOM 50,"L'ampli tête Hiwatt Custom 50 DR504 offre un headroom légendaire, un son clair et puissant fidèle au circuit original DR103, avec des harmoniques riches en 3e et 5e pour un rock intemporel. Fabriqué à la main au Royaume-Uni, il excelle en clarté, dynamique et polyvalence pour guitares et instruments full-range.",2500,68.6,68.6,64.77,36.7,"{'Puissance': '50W', 'Tubes de sortie': '2 x EL34', 'Tubes de préampli': '4 x ECC83 (12AX7)', 'Impédance': 'CommUTABLE 4 Ω, 8 Ω, 16 Ω', 'Connectique entrée': 'Normal Hi, Normal Low, Bright Hi, Bright Low', 'Connectique sortie': '2 x 1/4"" Speaker Out', 'Contrôles': 'Normal Volume, Bright Volume, Bass, Middle, Treble, Presence, Master Volume', 'Tension': 'CommUTABLE 100V, 115V, 230V, 240V'}",https://cdn.algam.net/pub/collections/documents_AE/HIWATT/MHV%20DR103-H.pdf,72.45,0.0,0
01K096WYMT5G1B334Y7BH5W03X,HIWATT - CUSTOM 100SAP,Tête Guitare,CUSTOM 100SAP,"Tête d'ampli guitare Hiwatt Custom 100SAP de 100W, fidèle au circuit iconique des années 60 par Dave Reeves. Réputée pour son headroom exceptionnel, sa clarté cristalline et sa réponse dynamique immédiate, elle excelle en studio et live, du clean pur à un breakup contrôlé, idéale pour tous styles.",4200,25.5,28.0,63,21,"{'Puissance': '100W', 'Canaux': 'Normal, Bright', 'Lampes préampli': '4 x ECC83 (12AX7)', 'Lampes de puissance': '4 x EL34', 'Impédance': 'Commute 4 Ω, 8 Ω, 16 Ω', 'Entrées': 'Normal Hi, Normal Low, Bright Hi, Bright Low', 'Sorties': '2 x 1/4"" Speaker Out', 'Contrôles': 'Normal Volume, Bright Volume, Égaliseur 3 bandes (Basses, Médiums, Aigus), Presence, Master Volume, Standby, Mains'}",https://hiwatt.org/tech.html,76.8,0.0,0
01K096X1M0GC874JQTWK9MBB82,HIWATT - CUSTOM 100 VINTAGE,Tête Guitare,CUSTOM 100 VINTAGE,"Le Hiwatt Custom 100 Vintage DR103 délivre un son clair, puissant et dynamique, avec une headroom exceptionnelle pour un crunch iconique. Polyvalent pour guitares, basses ou claviers, il excelle en studio comme sur scène grâce à ses deux canaux liables et son EQ précis.",4500,63.1,28.0,63,6,"{'Puissance': '100W', 'Canaux': 'Normal, Bright', 'Entrées': 'Normal Hi, Normal Low, Bright Hi, Bright Low', 'Sorties haut-parleurs': '2 x 1/4"" (jack parallèle)', 'Préampli lampes': '4 x ECC83 (12AX7)', 'Lampes de puissance': '4 x EL34', 'Impédance': 'Commute 4Ω, 8Ω, 16Ω', 'Tension': 'Commute 100V, 115V, 230V, 240V', 'Contrôles': 'Volume Normal, Volume Bright, Égaliseur 3 bandes (Basses, Médiums, Aigus) partagé, Presence, Treble Boost partagé, Master Volume, Standby, Mains'}",https://cdn.algam.net/pub/collections/documents_AE/HIWATT/MHV%20DR103-H.pdf,72.39,0.0,0
