id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0BS3QBVQPMGC7WR81QZH2KW,GIBSON - J-45 STANDARD,Guitares Acoustiques,J-45 STANDARD,"La Gibson J-45 Standard, surnommée The Workhorse, offre un son légendaire à dynamique exceptionnelle, médiums chaleureux et basses percutantes, grâce à sa table en épicéa de Sitka massif et ses éclisses en acajou. Électro-acoustique polyvalente avec préampli L.R. Baggs VTC, elle excelle sur scène et en studio pour tous styles musicaux.",2800,104.1,104.1,43.81,4.99,"{'Tableau des cordes': 'Spruce massif Sitka', 'Fond et éclisses': 'Acajou massif', 'Manche': 'Acajou', 'Profil du manche': 'SlimTaper', 'Longueur de la chevalet': '628,65 mm', 'Largeur au sillet': '43,81 mm', 'Touche': 'Palisandre', 'Rayon de la touche': '304,8 mm', 'Nombre de frettes': '20', 'Incrustations': 'Points en nacre', 'Électronique': 'L.R. Baggs VTC', 'Préampli': 'L.R. Baggs VTC', 'Micro captation': 'Piezo sous-sillet', 'Contrôles': 'Volume et Tonalité (dans rosace)', 'Prise de sortie': '1/4 pouce', 'Chevalet': 'Traditional Belly Up en palissandre', 'Sillet de chevalet': 'TUSQ', 'Chevilles': 'Grover Rotomatic avec boutons reins', 'Plaquage mécaniques': 'Nickel', 'Truss rod': 'Réglable'}",https://www.gibson.com/products/gibson-j-45-standard-vintage-sunburst,73.3,0.0,1
01K0BS3VP1ATENR7D2WJJ6VZ34,GIBSON - J-45 CUSTOM,Guitares Acoustiques,J-45 CUSTOM,"La Gibson J-45 Custom est l'icône acoustique la plus prisée, offrant un son distinctif riche et polyvalent, choisi par des légendes musicales sur des décennies. Cette version Custom élève le classique avec une finition ébène lustrée, des incrustations en nacre sophistiquées inspirées Les Paul Custom, des mécaniques dorées et un système L.R. Baggs pour une amplification naturelle parfaite en live ou studio.",5200,102.8,103,2,2.25,"{'Tableau des bois': 'Tableau: Sitka Spruce; Dos et éclisses: Acajou; Manche: Acajou; Touche: Ébène; Chevalet: Ébène', 'Profil manche': 'SlimTaper', 'Longueur miche': '628,65 mm', 'Largeur sillet': '43,82 mm', 'Rayon touche': '304,8 mm', 'Nombre de frettes': '20', 'Incrustations': 'Mother of Pearl Graduated Block', 'Électronique': 'L.R. Baggs Session VTC', 'Contrôles': 'Volume et Tonalité (dans rosace)', 'Prise jack': '1/4"" Endpin', 'Mécaniques': 'Grover Rotomatic dorées', 'Sillet et selle': 'Os', 'Chevilles de chevalet': 'Laiton', 'Truss rod': 'Réglable', 'Assemblage manche': 'Compound Dovetail; Colle Hot Hide Glue'}",https://www.gibson.com/products/gibson-custom-j-45-custom-ebony,41.87,0.0,0
01K0BS3ZVK543DAVQ54V2N0PHS,GIBSON - J-45 CUSTOM PUREVOICE,Guitares Acoustiques,J-45 CUSTOM PUREVOICE,"La Gibson J-45 Custom PureVoice est une dreadnought acoustique-électrique iconique, alliant le son riche et équilibré du J-45 classique à l'électronique PureVoice bi-transducteur pour une reproduction pure et transparente, idéale en studio ou sur scène. Son esthétique Custom luxueuse et son confort en font un partenaire polyvalent pour tous les musiciens.",3500,103.9,102.9,9,2.1,"{'Système de micros': 'PureVoice A3', 'Transducteurs': '2 transducteurs handmade (bi-amp : graves pour cordes basses, aigus pour cordes hautes)', 'Préampli': 'Double préampli mono', 'Connectique': 'Jack 1/4 pouce'}",https://www.gibson.com/en-US/p/Americans/Guitar/Acoustic/50s-J-45-Standard,64.34,0.0,3
01K0BS441012RQ5KDAR9K8AWR4,GIBSON  - J-200 '68 VINTAGE,Guitares Acoustiques,J-200 '68 VINTAGE,"La Gibson J-200 de 1968 est une jumbo acoustique iconique, prisée pour son son clair et puissant idéal en enregistrement, avec table en épicéa et dos/éclisses en érable flammé offrant projection et sustain exceptionnels. Légende rock grâce à Pete Townshend (Tommy) et George Harrison (Beatles), elle excelle en rythmes percutants et strummings agressifs, manouche fine et confortable pour un jeu fluide.",8950,104.14,105,4,1,"{'Tableau des cordes': '6', 'Longueur de manche': '25.5 pouces', 'Largeur du sillet': '1.58 pouces (40,1 mm)', 'Profil du manche au 1er fret': '0.790 pouce (20,1 mm)', 'Profil du manche au 9e fret': '0.970 pouce (24,6 mm)', 'Rayon de la touche': '12 pouces', 'Mécaniques': 'Grover Rotomatics dorées', 'Chevalet': 'Tune-O-Matic ajustable ABR-1 avec selle en nylon', 'Touche': 'Palissandre', 'Incrustations': 'Perle couronne', 'Nombre de frettes': '20', 'Micro': ""Piezo Barcus Berry (non d'origine sur certains exemplaires)""}",https://www.gibson.com/en-US/Support/Serial-Number-Search,11.69,0.0,0
01K0BS487BEQM2Z4S2TJFS90WE,GIBSON  - HUMMINGBIRD '66 VINTAGE,Guitares Acoustiques,HUMMINGBIRD '66 VINTAGE,"La Gibson Hummingbird de 1966 est une guitare acoustique flat-top iconique, lancée en pleine vague folk pour rivaliser avec les dreadnoughts Martin. Son son riche en médiums serrés excelle en enregistrement rock et country, avec une table en épicéa massif et dos/éclisses en acajou offrant rondeur et puissance. Finition cherry sunburst éclatante et pickguard oiseau mythique en font un modèle prisé des artistes.",4500,104.1,104.1,40.2,2.04,"{'Longueur de la corde vibrante': '641 mm', 'Largeur au sillet': '41 mm', 'Profil du manche': 'fin et élancé', 'Matière du manche': 'acajou', 'Touche': 'palissandre avec incrustations double parallélogramme', 'Chevilles': 'Kluson Deluxe dorées', 'Forme de la caisse': 'dreadnought aux épaules carrées', 'Table': 'épicéa massif', 'Dos et éclisses': 'acajou'}",https://www.gibson.com/en-US/Support/Specifications?product_id=historic,72.04,0.0,0
01K0BS4CF09GP4QEP1GZ8VKAX6,GRETSCH  - BANJO BROADKASTER DELUXE 5,Guitares Acoustiques,BANJO BROADKASTER DELUXE 5,"Le Gretsch Broadkaster Deluxe 5 cordes offre un son scintillant et festif, alliant savoir-faire moderne à l'héritage innovant des banjos Gretsch du début du XXe siècle. Son résonateur Bluegrass booste le volume pour les solos, avec un manche confortable en acajou, une table en érable massif pour un timbre pur et des mécaniques précises pour une jouabilité fluide et stable.",600,67.3,114,30.1,4.5,"{'Manche': 'Acajou', 'Diapason': '673 mm', 'Touche': 'Palissandre', 'Nombre de frettes': '22', 'Cordier': 'Présto', 'Chevilles': 'À engrenages', 'Mécanisme 5e corde': 'À engrenages', 'Tête': 'Remo Renaissance 279 mm ou revêtue', 'Jante': 'Érable massif 3 plis', 'Baguette sonore': 'Alliage zinc style MT', 'Flasque': '1 pièce', 'Cerceau de tension': 'Acier cranté', 'Nombre de crochets': '24', 'Résonateur': 'Acajou Bluegrass', 'Incrustations': 'Flocons de neige ou deluxe', 'Pont': 'Érable/ébène', 'Écrou': 'Os', 'Cheviller': 'Double action', 'Finition': 'Brillante', 'Matériel': 'Chrome', 'Repos-bras': 'Oui'}",https://www.gretsch.com/gear/banjos/g9400-broadkaster-deluxe-5-string-banjo/2719010521,79.65,0.0,0
01K0BS4GQJKNMC59ARH0JJSC7N,GUILD  - D25 '75 VINTAGE,Guitares Acoustiques,D25 '75 VINTAGE,"La Guild D-25 de 1975 est une dreadnought acoustique vintage robuste au son puissant et polyvalent, avec table en épicéa et dos mahagoni arqué. Elle offre des basses profondes, des médiums chaleureux et une projection exceptionnelle, idéale pour concerts et tournées exigeantes.",650,104.1,104.1,40.6,2.2,"{'Tableau%20de%20bord': 'Épicéa', 'Fond%20et%20éclisses': 'Acajou', 'Dos%20arqué': True, 'Manche': 'Acajou', 'Touche': 'Palisandre', 'Pont': 'Palisandre', 'Largeur%20chevalet': '2%201/16%20po', 'Échelle': '25.5%20po'}",https://guildguitars.com/wp-content/uploads/2014/08/history_of_your_guild.pdf,72.75,0.0,0
01K0BS4MZ7RG21WKKV26W12WJ7,LAG - UKULELE 700CE,Guitares Acoustiques,UKULELE 700CE,"Le LAG U700CE est un ukulélé concert électro-acoustique au son puissant et chaleureux, taillé dans du koa massif pour une projection exceptionnelle. Élégant et polyvalent, il rivalise avec les meilleurs grâce à son esthétique raffinée et sa sonorité équilibrée, idéal pour scène ou studio.",699,1,66,38.0,1.2,"{'Tableau de bord': 'Koa massif', 'Fond et éclisses': 'Koa massif', 'Dos voûté': 'Oui', 'Manche': 'Acajou avec tête Tramontane', 'Diapason': 'Palissandre', 'Longueur mi-cheminée': '380 mm', 'Nombre de frettes': '14 frettes nickelées', 'Écrou': 'Graph Tech Black Tusq XL', 'Sillet': 'Graph Tech Black Tusq XL', 'Cordes': ""D'Addario"", 'Mécaniques': 'Enclosed black avec boutons noirs', 'Préampli': 'Shadow actif avec accordeur chromatique LCD intégré', 'Contrôles': 'Volume rotatif et tonalité', 'Capteur': 'Nanoflex sous-sillet', 'Alimentation': '2 piles 3 V incluses', 'Finition': 'Satinée naturelle française', 'Rosace': 'Design tribal incrusté', 'Filetage': 'Palissandre et érable', 'Étui': 'Gig bag LAG avec logo tribal'}",https://cdn.algam.net/pub/files/modes-d-emploi/lag/UKULELES%20_EN_A5_APR2018_s.pdf,80.36,0.0,0
01K0BS4SE1H7GQANAF41MH9GCB,MARTIN  - HD28 '90 VINTAGE,Guitares Acoustiques,HD28 '90 VINTAGE,"La Martin HD-28 de 1990 vintage est une dreadnought iconique au son puissant et riche, avec table en épicéa, dos et côtés en palissandre indien, et incrustations herringbone élégantes. Son manche confortable et sa table harmonique scallopée reproduisent fidèlement le caractère des modèles des années 30, idéal pour des accords percutants et des solos expressifs en tournée ou studio.",4500,101.6,102.9,4.45,90,"{'Nombre de cordes': '6', 'Type de cordes': 'Acier', 'Nombre de frettes': '20', 'Largeur du chevalet': '44,45 mm', 'Longueur de corde': '25,4 pouces', 'Mécaniques': 'Martin M6', 'Orientation': 'Droitière'}",https://www.martinguitar.com/guitars/retired-models/10Y18HD28.html,60.57,0.0,1
01K0BS4XPD8J2F0XAXBWY5CZGY,OVATION  - PATRIOT '76 VINTAGE,Guitares Acoustiques,PATRIOT '76 VINTAGE,"L'Ovation Patriot '76 Vintage est une édition limitée de 1776 exemplaires, produite en 1976 pour le bicentenaire américain. Cette guitare acoustique haut de gamme offre un son apaisant et unique, un manche stable et confortable, des incrustations en abalone élégantes, et une finition nutmeg distinctive avec décor patriotique.",76,112.4,100.3,4.72,7,"{'Type': 'Acoustique', 'Dos': 'Rond composite', 'Table': 'Épicéa', 'Barrage': 'X festonné', 'Chevalet': 'Ébène', 'Manche': 'Noyer laminé multicouches', 'Touche': 'Ébène liée', 'Incrustations': 'Diamant abalone', 'Nombre de trous de son': '11 multi-tailles', 'Nombre de frettes': '22', 'Longueur de manche': '14 cases', 'Version électrique': 'Rare (10%)', 'Mécaniques': 'Dorées', 'Finition': 'Marron foncé unique', 'Décoration': 'Autocollant tambour et drapeau', 'Fabrication': 'Connecticut, USA'}",https://bluebookofguitarvalues.com/products/ovation-patriot-bicentennial,0.0,0.0,5
