id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K097EBSTQYK8MVTYBV9F2ATY,ASBA - REVELATION ALICE COPPER,Batteries Acoustiques,REVELATION ALICE COPPER,"Caisse claire signature ASBA Revelation Alice Cooper, un modèle vintage exclusif au son percutant et chaleureux, conçu pour capturer l'essence shock rock des années 70 avec une fabrication 3 plis acajou/peuplier offrant puissance et résonance idéale pour les concerts live.",900,35.6,14.0,35.56,3.0,"{'Réponse en fréquence': 'non communiquée', 'Impédance': 'non applicable', 'Fût': '3 plis acajou/peuplier/acajou, construction ""vintage""', 'Chanfreins': 'profil arrondi avec renforts de chanfreins en hêtre biseauté à 45°', 'Accastillage': 'chrome haute qualité, design exclusif ASBA années 60', 'Cercles': 'cercles moulés en acier chromé', 'Finition': 'revêtement rhodoïd premium motif ""Alice Copper""', 'Fabrication': 'artisanale, atelier en France', 'Traitement interne': 'application de cire à patiner à base de cire d’abeille à l’intérieur du fût', 'Timbre': 'cuivre, 20 brins', 'Déclencheur': 'haute précision, 100 % métal chromé NickelWorks'}",https://www.asbadrums.com/revelation-alice-copper-14x55/,90.75,0.0,0
01K097EEZ7VPP57S16CM017F8X,C&C - CUSTOM ABALONE,Batteries Acoustiques,CUSTOM ABALONE,"Série Custom Abalone de C&C, cette batterie met l’accent sur un look luxueux avec son habillage nacré façon abalone qui capte la lumière sous tous les angles. Pensée pour la scène comme pour le studio, elle offre un son chaleureux et plein, tout en restant très réactive et agréable à jouer.",0,0.0,0.0,0.0,0.038,"{'Réponse en fréquence': 'Non communiqué', 'Impédance': 'Non communiqué', 'Connectique': 'Non communiqué', 'Finition': 'Fût recouvert d’incrustations type nacre/abalone personnalisées', 'Autres': 'Série artisanale sur-mesure, caractéristiques variables selon la configuration commandée'}",https://luthiersupply.com/Shell-Blanks.html,0.0,0.0,5
01K097EJ2YVDXTSSRJJJG6MEEM,CANOPUS - NEO VINTAGE M1,Batteries Acoustiques,NEO VINTAGE M1,"La Neo Vintage M1 recrée le grain chaleureux et rond des batteries jazz des années 60, mais avec une réponse moderne, précise et facile à accorder pour un kit polyvalent studio/scène.",3490,45.7,46.0,35.56,3.2,"{'Finition des fûts': 'Huile naturelle ou finition huile/charcoal selon configuration', 'Matériau des fûts': 'Érable / peuplier', 'Construction des fûts': '7 plis pour toms et floor tom, 10 plis pour grosse caisse', 'Chanfreins': 'Profil arrondi (roundover) de type vintage', 'Cerclages': 'Cercles moulés (die cast hoops) sur les toms', 'Tirants': 'Attaches de fût en laiton massif', 'Type de sonorité': 'Sonorité vintage années 60 avec attaque focalisée, sustain contrôlé et grande facilité d’accordage', 'Configuration typique': 'Grosse caisse 18 × 14, tom 12 × 8, floor tom 14 × 14 (snare optionnelle)', 'Accessoires inclus': 'Bras de tom simple fourni sur les configurations standards', 'Usage recommandé': 'Jeu jazz, pop et styles nécessitant un son de kit vintage avec fiabilité moderne'}",https://canopusdrums.com/en/product/neovintage-nv60m1/,36.59,0.0,0
01K097EN7DC58D8VMNP2MQ9ZZT,CANOPUS  - RFM SILVER,Batteries Acoustiques,RFM SILVER,"Le Canopus R.F.M. Silver Sparkle offre un son clair et puissant grâce à ses coques en érable renforcé, avec une résonance riche, un sustain équilibré et une projection optimale. Idéal pour tous les styles musicaux, ce kit polyvalent excelle en studio comme sur scène, avec une réponse dynamique exceptionnelle et un look scintillant élégant.",5500,56,55.9,55.88,57,"{'Matériau des fûts': 'Érable américain avec renforts internes (série R.F.M. Reinforced Maple)', 'Construction des fûts': 'Épaisseur et conception des renforts variables selon le diamètre et la profondeur pour optimiser la résonance et le sustain[2][3][6]', 'Nombre de plis': '6 plis (construction R.F.M. Canopus)[4]', 'Type de chanfreins': 'Chanfreins spécifiques Canopus optimisés pour une attaque équilibrée, une large plage d’accordage et une bonne projection[1][2][5]', 'Cercles': 'Acier 2,3 mm pour les toms et grosse caisse[3][6]', 'Accastillage': 'Tirants type tube massif (Solid Tube Lug) finition laiton[3][6]', 'Peaux d’origine': 'Remo USA, modèles type Ambassador sablées[3][6]', 'Finition': 'Finition pailletée Silver Sparkle (wrap PVC)[3][4][5]', 'Caractère sonore': 'Son clair et solide, avec médiums présents, large plage d’accordage, forte résonance et excellente cohérence entre les fûts[2][3][5]'}",https://canopusdrums.com/store/product/r-f-m-standard-kit-18bd-12tt-14ft/,13.95,0.0,0
01K097ERAV21TVNQJTKHJK6744,CRAVIOTTO  - JAZZ KIT,Batteries Acoustiques,JAZZ KIT,"Kit jazz Craviotto en fût plein, fabriqué à la main pour une réponse ultra musicale et naturelle. Son chaud, précis et très articulé, idéal pour le swing, le bop et les contextes acoustiques exigeants. Construction haut de gamme assurant projection, sustain et grande fiabilité en tournée.",5500,1,45.7,14,18.0,"{'Fûts': ""Fûts monobloc en bois massif avec finition huile satinée et chanfreins type 'baseball bat' pour un son chaud, ouvert et très réactif"", 'Configuration': 'Grosse caisse 508 mm x 356 mm, tom alto 305 mm x 203 mm, tom basse 356 mm x 356 mm, caisse claire 356 mm x 165 mm', 'Accastillage': 'Tirants tubulaires Craviotto Diamond, cercles triple-flange sur les toms et la caisse claire, cercles bois sur la grosse caisse', 'Coquilles et tirants': 'Coquilles tubulaires basse masse, tirants à pas fin pour un accord précis et stable', 'Finition': 'Finition huile satinée naturelle mettant en valeur le veinage du bois massif, accastillage chromé', 'Usage conseillé': 'Jeu jazz, swing, bop, styles acoustiques nécessitant une large dynamique, une grande sensibilité et une réponse précise aux balais'}",https://www.craviottodrums.com,20.92,0.0,0
01K097EVFJBMTC87ZWH9NV9T72,CRAVIOTTO - ROCK KIT,Batteries Acoustiques,ROCK KIT,"Kit rock Craviotto taillé pour la scène : fûts monoplies en bois massif, fabriqués à la main, avec grain sonore chaud, attaque précise et projection généreuse. Idéal pour un gros son rock moderne tout en gardant un caractère acoustique raffiné.",15000,55.88,4,55.88,10,"{'Fût': '1-plis bois massif cintré à la vapeur', 'Essence de bois': 'Érable nord-américain', 'Chanfreins': 'Profil hybride (arrondi extérieur avec coupe intérieure plus aiguë)', 'Finition fût': 'Huile satinée ou laque, selon la configuration', 'Cerclages': 'Triple-flange acier 2,3\xa0mm', 'Accastillage': 'Blocs type tube propriétaires, tirants acier haute tension', 'Système de suspension toms': 'Fixations suspendues sur fût (type isolation mount)', 'Déclencheur caisse claire': 'Mécanique latérale progressive avec tension réglable', 'Nombre de plis': 'Fût monoplies (solid shell)', 'Fabrication': 'Artisanale, atelier Music City (USA)'}",https://www.craviottodrums.com/craviotto-custom-shop,0.0,0.0,5
01K097EYKY2H17KGF6B0S3G88S,DW - COLLECTOR'S BROKEN GLASS,Batteries Acoustiques,COLLECTOR'S BROKEN GLASS,"Kit DW Collector’s Series en finition Broken Glass, batterie haut de gamme fabriquée à la main en Californie, offrant un son chaleureux, puissant et précis, idéal pour le studio comme pour la scène, avec une esthétique scintillante qui capte la lumière sur chaque fût.",6400,18,45.7,55,0.0,"{'Matériau des fûts': 'Érable nord-américain pur (8 plis)', 'Cerclages de renfort': ""3 plis d'érable nord-américain pur"", 'Bords de timbales': '60 degrés', 'Construction spécialisée': 'VLX+ (22x18), VLT (10x8, 12x9), VLX (16x14)', 'Système de montage': 'S.T.M. Suspension Tom Mount (10"" et 12"")', 'Timbales': 'True-Hoops', 'Lugs': 'Turret Lugs', 'Finition': 'FinishPly Broken Glass', 'Fabrication': 'Oxnard, Californie, États-Unis'}",https://www.dwdrums.com/drums/collectors-series/,22.28,0.0,2
01K097F1QJKZTHK4NHJJZ0FNM9,DW - COLLECTOR'S BLACK OYSTER GLASS,Batteries Acoustiques,COLLECTOR'S BLACK OYSTER GLASS,"Série Collector’s DW en finition Black Oyster Glass, ce kit haut de gamme associe lutherie artisanale américaine et projection moderne dans un look rétro scintillant. Idéal pour la scène comme le studio, il offre un son puissant, chaleureux et précis, avec une excellente tenue d’accord et une esthétique immédiatement reconnaissable.",4600,55.9,56,55.88,,"{'Matériau des coques': 'Érable / Acajou hybride ou Érable pur 333 ou Érable SSC', 'Finition': 'FinishPly™ Black Oyster Glass', 'Configuration des coques': 'Spécialisée (SSC) avec HVLT, VLT, X, VLX ou 9 plis érable', 'Attaches toms': 'DW Suspension Tom Mounts', 'Système de tirage': 'True-Pitch avec tiges 5 mm', 'Lugs': 'Turret lugs Collector’s Series®', 'Fabrication': 'Oxnard, Californie, États-Unis'}",https://www.dwdrums.com/drums/collectors-series/,0.0,0.0,5
01K097F4TG7W103WSBESM0ZQWB,DW - COLLECTOR'S SOLID BLACK LACQUER,Batteries Acoustiques,COLLECTOR'S SOLID BLACK LACQUER,"Kit DW Collector’s à fût érable haut de gamme, finition Solid Black laquée ultra sobre et brillante, avec accastillage chromé. Polyvalent, puissant et précis, il offre un look élégant et moderne idéal pour la scène comme le studio.",4500,56,55.9,45.72,,"{'Série': ""Collector's Series®"", 'Matériau des fûts': 'Érable (Maple) ou configuration spécialisée (SSC)', 'Configuration populaire des fûts': ""333 Maple (9 plis d'érable)"", 'Autres configurations': 'Maple/Mahogany, Pure Birch, SonicPly (Aluminium/Érable)', 'Finition': 'Laque noire solide (Solid Black Lacquer)', 'Matériel': 'Chrome', 'Fabrication': 'Oxnard, Californie, États-Unis', 'Bords de portance': '45° (toms), 60° (grosse caisse et caisse claire)', 'Lugs': 'Turret lugs'}",https://www.dwdrums.com/drums/collectors-series/,0.0,0.0,5
01K097F7YS30S9PC0G9Z8NZKKA,DW - COLLECTOR'S BLACK MIRRA,Batteries Acoustiques,COLLECTOR'S BLACK MIRRA,"Caisse claire haut de gamme DW Collector’s au fini Black Mirra, pensée pour les batteurs exigeants qui veulent un instrument à la fois élégant et percutant, avec un son puissant, précis et très polyvalent, idéal du studio à la grande scène.",1200,14,16.5,35.56,7.7,"{'Finition': 'Laque Black Mirra avec bande décorative feuille d’or (Gold Leaf Rally Stripe)', 'Matériau du fût': 'Érable (configuration SSC Maple, fût VLT avec cercles de renfort pour la caisse claire)', 'Épaisseur du fût': '10 plis pour la caisse claire (configuration typique Collector’s birch/maple, VLT avec cercles de renfort, selon variante)', 'Chanfreins': '45° pour les toms, 60° pour la grosse caisse (configuration Collector’s Maple/Mahogany, variable selon configuration exacte)', 'Accastillage': 'Accastillage haut de gamme DW Collector’s (True-Hoops, tirants True-Pitch, déclencheur MAG, butt-plate 5 positions sur caisse claire, coquilles Turret / Quarter Turret selon série)', 'Type de chanfrein caisse claire 14x8': '60° (configuration Collector’s 10 plis, typique DW VLT birch/maple)', 'Fabrication': 'Fabriqué à la main aux États‑Unis (Oxnard, Californie)', 'Finition accastillage': 'Doré (Gold Hardware) sur les versions Exotic/SSC Black Mirra'}",https://www.drumworkshop.com/en-US/collectors-series/maple-shells/,92.66,0.0,0
