id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0962X2FKKWXH2N7CVFSXB7S,BOSS - CH1 SUPERCHORUS,Pédales Basse,CH1 SUPERCHORUS,"Le BOSS CH-1 Super Chorus offre un son chorus classique limpide, avec des aigus cristallins et un effet stéréo immersif unique, inspiré de l'ampli JC-120. Ses réglages intuitifs (Rate, Depth, EQ, Level) sculptent facilement des modulations subtiles ou intenses, idéales pour guitares et basses en concerts.",105,12.9,5.9,7.3,0.4,"{'Réponse en fréquence': 'non communiquée (chorus analogique pour guitare/basse)', 'Impédance d’entrée': '1 MΩ', 'Impédance de sortie': '1 kΩ', 'Niveau nominal d’entrée': '-20 dBu', 'Niveau nominal de sortie': '-20 dBu', 'Impédance de charge recommandée': '≥ 10 kΩ', 'Alimentation': 'DC 9 V (pile 9 V ou adaptateur secteur)', 'Consommation': '22 mA sous 9 V DC', 'Connectique': '1 entrée jack 6,35 mm, 2 sorties jack 6,35 mm (A mono/B), prise adaptateur 9 V DC', 'Contrôles': 'Effect Level, EQ, Rate, Depth', 'Bruit résiduel': '-95 dBu (IHF-A, typ.)', 'Configuration': 'Entrée mono, sortie stéréo avec séparation dry/wet'}",https://www.boss.info/global/products/ch-1/,77.61,0.0,0
01K0962ZXYGPGN3XZ9AMTPH303,BOSS - FV-500 H VOLUME MONO,Pédales Basse,FV-500 H VOLUME MONO,"Pédale de volume mono haute impédance, la BOSS FV-500H est pensée pour être placée entre l’instrument et l’ampli, idéale pour basse ou guitare sans coloration du son. Son châssis en aluminium très robuste, sa course fluide et réglable et sa surface antidérapante en font un outil fiable sur scène comme en studio, avec sortie accordeur dédiée et fonction pédale d’expression intégrée.",130,28.9,7.2,11.0,1.6,"{'Impédance d’entrée': 'haute impédance, 250 kΩ (section volume)[3][8]', 'Impédance pour sortie expression': '10 kΩ (potentiomètre EXP)[3]', 'Configuration du signal': 'mono, niveau instrument hi-Z[1][5][8]', 'Contrôles': 'potentiomètre de volume (action pédale), réglage de volume minimum (MINIMUM VOLUME)[3]', 'Connectique audio': '1 x entrée jack 6,35 mm, 1 x sortie jack 6,35 mm (sortie principale), 1 x sortie jack 6,35 mm accordeur (TUNER OUT)[3][5]', 'Connectique de contrôle': '1 x sortie jack 6,35 mm expression (EXP)[3][5]', 'Fonctions': 'pédale de volume mono et pédale d’expression[1][5][8]', 'Type de fonctionnement': 'analogique, contrôle de volume par potentiomètre[3][6]'}",https://support.roland.com/hc/en-us/articles/201935289-FV-500H-FV-500L-Specifications,82.84,0.0,0
01K09632VXR92N90670S2MZCM5,EBS - OCTABASS,Pédales Basse,OCTABASS,"L'EBS OctaBass Blue Label est la pédale octaver analogique légendaire d'EBS, pionnière du genre, réputée pour son tracking ultra-rapide et précis, offrant un son octave en dessous gras et naturel qui enrichit vos lignes de basse. Avec son switch Range adaptable (haut/bas manche) et son contrôle tonal fluide, passez d'un octave percutant qui perce le mix à un sub-bass discret et synthétique, parfait pour la location backline Mulster.",140,11.5,11.4,6.7,0.315,"{""Niveau d'entrée nominal"": '-10 dBv', ""Impédance d'entrée"": '1,8 MΩ', 'Impédance de sortie': '100 Ω', 'Bande passante dry': '+0/-2 dB: 20 – 20 kHz', 'Filtre tonal octaver': 'Passe-bas, pente >18 dB/octave, plage 60 – 350 Hz', 'Seuil de déclenchement': '-70 dBv @ 200 Hz', 'Alimentation': '9-18 V DC, 40 mA max', ""Type d'effet"": 'Analogique, commutation relais'}",https://www.ebssweden.com/content2/wp-content/uploads/2019/06/ebs_octabass_blue_label_manual_web.pdf,85.29,0.0,0
01K09635QZGVGWRVR5XPEQ4841,HARTKE - VXL BASS ATTACK PREAMP / DI,Pédales Basse,VXL BASS ATTACK PREAMP / DI,"Le Hartke VXL Bass Attack est un préampli/DI pédale robuste en aluminium, doté du célèbre circuit Shape pour sculpter un son puissant et polyvalent, d'un EQ 3 bandes (basses, aigus, brite) et d'un contrôle Harmonics simulant la chaleur des lampes. Idéal pour booster vos lignes jazz clean ou vos slaps funky en live ou en studio, avec mixage dry/wet et sortie XLR équilibrée.",95,0.0,4.4,12.7,0.54,"{'Type': 'Préampli/DI pédale', 'Contrôles': '3 bandes (Basses, Aigus, Brite), Harmonics, Mix, Shape', 'Circuit': 'Shape (EQ prédéfini réglable)', 'Entrée': '1/4 pouce jack instrument', 'Sortie Directe': 'XLR plaqué or équilibré avec switch Pré/Post', 'Sortie Parallèle': '1/4 pouces jack', 'Alimentation': 'Batterie 9V, adaptateur 9V (optionnel), ou alimentation fantôme via XLR', 'Châssis': 'Aluminium robuste', 'Interrupteurs': 'Footswitch Shape, Footswitch On/Off'}",https://cf3.zzounds.com/media/BassAttack_ownman_v1-fd6c8dcc0c7324d019ee6cb61309c881.pdf,77.02,0.0,0
01K09638J26AB7XVV25D24PWZ8,MORLEY - A/B BOX,Pédales Basse,A/B BOX,"Boîtier de sélection simple et robuste, la Morley A/B Box permet de diriger un signal vers deux sorties ou de basculer facilement entre deux sources vers une même entrée, idéal pour gérer plusieurs amplis ou instruments sur scène.",100,3,5.08,8.26,0.77,"{'Entrées': '1 x 1/4""', 'Sorties': '2 x 1/4""', 'Alimentation': '9V batterie ou adaptateur 9V', 'Consommation': '2 mA', 'True Bypass': 'Oui', 'Transformateur': '1:1 isolation', 'Commutation': 'Silencieuse (relais)', 'Interrupteurs': 'Reverse polarity, Ground lift, High frequency filter', 'Boîtier': 'Acier laminé à froid', 'LED': 'Indicateurs de canal actif'}",https://www.morleyproducts.com/wp-content/uploads/2018/07/Morley_ABY_Manual.pdf,83.02,0.0,0
01K0963BDK946RT0NK622KPFWS,BOSS - TUNER PEDAL TU2/TU3,Pédales Basse,TUNER PEDAL TU2/TU3,"Accordeur au format pédale ultra robuste, le BOSS TU‑2/TU‑3 offre un accordage chromatique précis et rapide, parfaitement lisible sur scène grâce à son affichage lumineux à LED. Polyvalent pour guitare comme pour basse, il sert aussi de mute switch silencieux et peut alimenter d’autres pédales, en faisant un outil fiable et indispensable sur tout pedalboard.",90,12.9,5.6,12.9,0.22,"{'Plage de Réglage': 'C0 (16,35 Hz) à C8 (4186 Hz)', 'Référence de Diapason': 'A4 = 436 à 445 Hz (pas de 1 Hz)', ""Précision d'Accordage"": '±1 cent', ""Impédance d'Entrée"": '1 MΩ', 'Impédance de Sortie': '1 kΩ', ""Niveau d'Entrée Nominal"": '-20 dBu', 'Niveau de Sortie Nominal': '-20 dBu', 'Impédance de Charge Recommandée': '10 kΩ ou plus', 'Alimentation': 'Piles 9V (alcaline ou zinc-carbone), adaptateur AC PSA-series (optionnel)', 'Connectique': 'Entrée 6,35 mm (jack), sortie 6,35 mm (jack), DC IN, DC OUT (TU-3)', 'Buffer': 'Toujours activé', 'Modes': 'Chromatique, Chromatique flat x2, Guitare, Guitare flat x2, Basse, Basse flat x3'}",https://static.roland.com/assets/media/pdf/TU-3_TU-2_eng02_W.pdf,89.31,0.0,1
01K0963E8CSCSR5SRFMA4MNZE1,BOSS - FV50H,Pédales Basse,FV50H,"Pédale de volume stéréo haute impédance, la Boss FV‑50H est pensée pour être placée en début de chaîne, avant les effets, afin de contrôler finement le niveau de votre basse ou guitare sans colorer le son. Son réglage de volume minimum permet de définir un niveau plancher idéal pour les passages en retrait, tandis que la sortie Tuner Out offre un accordage discret et permanent sur scène. Compacte, robuste et simple à utiliser, c’est une solution fiable pour gérer dynamiques, fondus et silences propres en contexte live comme en studio.",75,20.0,5.4,8.6,0.4,"{'Type d’appareil': 'Pédale de volume haute impédance stéréo (à placer en amont de la chaîne d’effets)', 'Impédance': 'Haute impédance (optimisée pour entrées instrument de guitare/basse)', 'Canaux': 'Stéréo', 'Connectique': 'Entrées 1 et 2 sur jack 6,35 mm, Sorties 1 et 2 sur jack 6,35 mm, Sortie accordeur (Tuner Out) sur jack 6,35 mm', 'Contrôles': 'Potentiomètre de volume minimum (Minimum Volume)', 'Alimentation': 'Passive, ne nécessite pas d’alimentation électrique'}",https://www.boss.info/us/products/fv-50h_50l/,85.83,0.0,0
01K0963H3Y5QHYMB1MHJTYNDH6,ERNIE BALL - VOLUME PEDAL,Pédales Basse,VOLUME PEDAL,"Pédale de volume robuste et précise, la Ernie Ball Volume Pedal offre une course de pied très fluide pour des swells propres et maîtrisés, tout en préservant la clarté du son. Son châssis en aluminium est conçu pour résister aux tournées.",110,27.9,6.99,10.16,2,"{'Potentiomètre': '250kΩ (passif), 25kΩ (actif), 500kΩ (stéréo)', 'Alimentation': '9V DC / 100mA (MVP)', 'Contrôle minimum volume': '0 à 50%', 'Boost gain': '+20 dB (MVP)', 'Sortie tuner': 'Oui (silencieuse)', 'Switch taper': 'Micro taper (2 taux de swell)', 'Switch mode': 'Volume/Pan (stéréo)', 'Connectique': 'Jack 6,35 mm (mono/stéréo, input/output A/B, tuner, switch)', 'Câble': 'Vectran/Kevlar renforcé'}",https://www.ernieball.com/guitar-accessories/pedals/volume-pedals,91.17,0.0,0
01K0963KZN062S0W6HV447S4WC,MXR - MICRO AMP,Pédales Basse,MICRO AMP,"Boost toujours actif ou ponctuel, le MXR Micro Amp offre jusqu’à +26 dB de gain propre pour redonner du niveau au signal sans en changer le caractère. Idéal pour faire ressortir un chorus, égaliser le volume entre plusieurs basses ou compenser une longue chaîne d’effets, il reste simple d’usage avec un seul réglage et une réponse transparente qui respecte le son de l’instrument.",115,11.1,5.7,4.85,0.4,"{'Réponse en fréquence': '20 Hz - 20 kHz (+0 dB / -1,4 dB)[7]', 'Impédance d’entrée': '1 MΩ[7]', 'Impédance de sortie': '470 Ω[7]', 'Gain': '+0,5 dB à +26 dB[7]', 'Niveau de sortie maximal': '+6 dBV[7]', 'Alimentation': '9 V DC (pile 9 V ou adaptateur secteur)[2][7]', 'Consommation': '2,5 mA[7]', 'Commutation': 'Bypass mécanique (hardwire)[7]', 'Connectique': '1 entrée 6,35 mm (jack), 1 sortie 6,35 mm (jack)[7][8]'}",https://www.jimdunlop.com/content/manuals/M133.pdf,87.38,0.0,0
01K0963PTKYAYABKB984XEP4RT,RADIAL - SGI TX/RX,Pédales Basse,SGI TX/RX,"Système Radial SGI TX/RX permettant d’envoyer un signal de basse ou de guitare sur de très longues distances via câble micro XLR, sans bruit ni perte de dynamique, tout en conservant le feeling et le grain d’un branchement direct à l’ampli, idéal pour scènes et studios.",410,10.8,7.0,10.8,1.36,"{'Réponse en fréquence': '10 Hz – 40 kHz (±0,5 dB)', 'Plage dynamique': '≈ 121 dB', 'Rapport signal/bruit': '≈ 96 dB', 'Niveau d’entrée maximum': '+8,5 dBu (1 % THD+N, asymétrique)', 'Impédance d’entrée': 'haute impédance instrument (TX)', 'Impédance de sortie': '600 Ω XLR (ligne équilibrée vers RX)', 'Type de circuit': 'actif, 100 % classe A avec isolation par transformateur Jensen', 'Nombre de canaux': '1 canal mono', 'Distance maximale de liaison': 'jusqu’à 100 m via câble micro XLR', 'Connectique entrée': 'jack 6,35 mm asymétrique (instrument), XLR femelle (RX)', 'Connectique sortie': 'XLR mâle équilibré (TX), jack 6,35 mm asymétrique haute impédance (vers ampli)', 'Alimentation': '9–15 V DC, adaptateur 15 V DC fourni', 'Fonctions': 'ground lift, réglage Drag Control (impédance d’entrée variable), conversion asymétrique/équilibré, isolation de masse'}",https://www.radialeng.com/wp-content/uploads/2025/01/SGI-Smartsheet-WEB-01-2025.pdf,99.1,0.0,0
