id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K098F7H8H3031DFTAC4YR5WV,WURLITZER - EP200A,Piano electrique,EP200A,"Le Wurlitzer EP-200A est un piano électrique iconique des années 70, évolution du modèle 200 avec un ampli amélioré plus silencieux, des anches plus épaisses pour un son chaleureux et charnu, idéal pour rock, blues et soul. Son vibrato expressif et sa clarté supérieure en font un incontournable pour les scènes live et studios.",6000,4,84,102,29.94,"{'Réponse en fréquence': 'non spécifiée (amplificateur large bande pour piano électrique)', 'Impédance de sortie ligne': 'adaptée à une entrée ligne standard asymétrique sur jack 6,35 mm', 'Puissance électrique consommée': '40 W', 'Alimentation secteur': '~117 V AC, 60 Hz', 'Nombre de touches': '64', 'Type de clavier': 'mécanique à marteaux avec anches (reeds) en acier', 'Système de génération du son': 'anches électrostatiques excitées par marteaux, captées par barre de capteurs', 'Contrôles en façade': 'volume, profondeur de vibrato (tremolo)', 'Haut-parleurs intégrés': '2 haut-parleurs large bande', 'Amplification intégrée': 'préampli monté sur la barre d’anches + ampli de puissance transistorisé', 'Prise de sortie audio': 'sortie ligne asymétrique sur jack 6,35 mm (pour amplification externe ou enregistrement)', 'Pédale': 'pédale de sustain externe (connexion par câble dédié)', 'Construction du meuble': 'coque supérieure en ABS moulé, structure interne bois/métal'}",https://manuals.fdiskc.com/flat/Wurlitzer%20Series%20200%20Service%20Manual.pdf,38.77,0.0,0
01K098E61WWF4HP1QQ9W78CKB5,RHODES - MKI 73 STAGE,Piano electrique,MKI 73 STAGE,"Piano électrique légendaire, le Rhodes Mark I Stage 73 offre 73 notes au toucher de piano acoustique, avec ses marteaux frappant des tiges métalliques pour créer ce son chaud, rond et légèrement percussif devenu incontournable du jazz, soul, funk et pop. Pensé pour la scène, il reprend le “top” des modèles Suitcase, s’utilise avec n’importe quel ampli via une simple sortie jack et reste assez compact pour les tournées, tout en conservant la réponse dynamique et la musicalité qui ont fait la réputation des Rhodes.",2800,116.8,86.4,116.8,59,"{'Réponse en fréquence': '20 Hz - 15 000 Hz (approx.)', 'Impédance d’entrée': '1 MΩ (entrée type guitare sur amplificateur externe)', 'Sorties audio': '1 x sortie principale jack 6,35 mm (mono, niveau instrument)', 'Alimentation': 'Aucune électronique active intégrée, fonctionnement entièrement passif', 'Nombre de touches': '73 (mi grave à mi aigu)', 'Polyphonie': '73 voix (électromécanique, une par touche)', 'Génération du son': 'Tines métalliques avec barres de tonalité, capteurs électromagnétiques passifs', 'Contrôles intégrés': 'Potentiomètre de volume, commande de registre grave (Bass Boost/Bass EQ)', 'Sustain': 'Pédale de sustain mécanique avec tige de commande', 'Action du clavier': 'Mécanisme à marteaux type piano avec échappement, toucher proche d’un piano acoustique', 'Connexion pédale sustain': 'Tige mécanique dédiée, compatible pédale style hi-hat Rogers d’origine'}",https://www.fenderrhodes.com/org/manuals/Rhodes_Service_Manual_1977.pdf,89.67,0.0,0
01K098E9S84HD93ZR16RJSBGGY,FENDER RHODES - MKI 73 SUITCASE,Piano electrique,MKI 73 SUITCASE,"Piano électrique légendaire au toucher proche d’un piano acoustique, le Fender Rhodes MKI 73 Suitcase offre 73 notes et le son chaud, rond et chantant qui a façonné le jazz, la soul et le rock, avec un ampli-cabinet stéréo intégré et un vibrato large et enveloppant idéal pour la scène comme le studio.",15000,117,86.4,1,65,"{'Clavier': '73 touches (E1 - E7)', 'Amplificateur': 'FR7710 100W stéréo (2 x 50W)', 'Connectique': 'Entrées/sorties 1/4""', 'Effets': 'Vibrato (vitesse et intensité)', ""Boucle d'effets"": 'Send/Return 1/4""', 'Poids': '59 kg'}",https://www.fenderrhodes.com/pianos/mark1a.html,30.42,0.0,0
01K098EDGPRN78G4RG7TSZ3V96,RHODES - MKI 88 STAGE,Piano electrique,MKI 88 STAGE,"Le Rhodes MKI 88 Stage est un piano électrique iconique à 88 touches, célèbre pour ses sons chaleureux en cloches, avec des basses riches et des aigus cristallins, idéal pour jazz, rock et soul. Introduit en 1972, il offre une stabilité parfaite des tons extrêmes et un toucher fluide et expressif.",3100,115,25,115,65,"{'Réponse en fréquence': '≈30 Hz - 15 000 Hz', 'Polyphonie': '88 notes (pleine)', 'Nombre de touches': '88', 'Type de clavier': 'Mécanique à marteaux, toucher proche piano acoustique', 'Génération du son': 'Tines métalliques avec barres de tonalité et capteurs électromagnétiques', 'Sortie audio': '1 x sortie jack 6,35 mm (mono, niveau ligne / instrument selon l’ampli utilisé)', 'Contrôles en façade': 'Volume, réglage de tonalité (grave/aigu)', 'Pédale de sustain': 'Entrée mécanique via tige et pédale dédiées (sustain complet)', 'Alimentation': 'Aucune alimentation interne (instrument purement électromécanique, alimenté par l’amplificateur externe)', 'Poids approximatif': '≈70 kg (partie clavier seule, sans ampli ni stand)', 'Années de production approximatives': 'Début des années 1970 à fin des années 1970'}",https://www.fenderrhodes.com/pianos/mark1a.html,92.78,0.0,0
01K098EH5Q4718AAGEKR1206QB,RHODES - MKI 88 SUITCASE,Piano electrique,MKI 88 SUITCASE,"Piano électrique mythique, le Rhodes MKI 88 Suitcase associe un clavier 88 notes au toucher proche d’un piano acoustique à un meuble ampli avec préampli intégré et célèbre trémolo stéréo, offrant ce son chaud, rond et « bell-like » incontournable en soul, jazz et pop.",6000,3,25.0,135.9,100.0,"{'Réponse en fréquence': 'environ 80 Hz – 8 000 Hz (spectre utile typique d’un piano Rhodes vintage)', 'Nombre de touches': '88', 'Amplification intégrée': 'amplificateur stéréo intégré avec baffle type suitcase', 'Puissance de sortie': 'environ 2 × 40 W RMS (configuration suitcase Mark I typique)', 'Effets intégrés': 'vibrato/tremolo stéréo avec réglages de vitesse et de profondeur', 'Type de clavier': 'mécanique à marteaux avec tiges (tines) et barres de tonalité, toucher de type piano acoustique', 'Polyphonie': '88 voix (une par note)', 'Connectique': 'sortie stéréo vers baffle suitcase, sorties audio vers console/sono (gauche/droite) via le préampli', 'Alimentation': 'alimentation secteur via le baffle/ampli suitcase'}",https://www.fenderrhodes.com/org/manuals/rhodes-service-manual.pdf,74.7,0.0,0
01K098EMTMKXR6FCD5QQDWBR22,RHODES - MKII 73 STAGE,Piano electrique,MKII 73 STAGE,"Piano électrique Rhodes Mark II Stage 73, classique des années 80, offrant 73 touches au toucher de piano acoustique et le célèbre son chaud et brillant Rhodes, idéal du jazz au funk en studio comme sur scène.",3600,115.6,65.4,103.5,59,"{'Type': 'Piano électrique à marteaux', 'Mécanisme': 'Tines (dents métalliques) avec tone bars', 'Nombre de touches': '73', 'Touches': 'Pondérées (weighted keys)', 'Action': 'Dynamique (dynamic touch)', 'Matériau touches': ""Bois ou plastique (selon l'année)"", 'Sortie': 'Jack unique', 'Amplificateur': '100W (modèles tardifs)', 'Pédale': 'Sustain', 'Couvercle': 'Plat pour support clavier supplémentaire'}",https://www.fenderrhodesla.com/pdf/rhodes-stage-model-owners-manual.pdf,98.32,0.0,2
01K098ERK3WX6Y4RGAP9Z5WQD0,RHODES  - MKII 73 SUITCASE,Piano electrique,MKII 73 SUITCASE,"Le Rhodes MKII 73 Suitcase est un piano électrique mythique à 73 notes, avec sonorité chaude et dynamique, intégré à une base amplifiée stéréo avec trémolo pour un large champ sonore. Son design noir à dessus plat permet de poser un autre clavier, idéal en tournée ou en studio pour les sons soul, funk, jazz et pop emblématiques.",3500,114.3,24.0,113.0,59,"{'Amplificateur intégré': 'Oui, 100W (à partir de 1977)', 'Haut-parleurs': '2 haut-parleurs avec effet tremolo (vibrato)', 'Contrôles': 'Volume, Bass Boost, Vibrato (vitesse et intensité)', 'Connectique': 'Entrée ligne, 2 sorties ampli externes (jack), prise casque, alimentation', 'Touche': '73 touches, action hammers sur tines (version Mark I ou plastique Mark II)', 'Pédale': 'Pédale de sustain'}",https://www.fenderrhodes.com/pianos/mark2.html,96.36,0.0,3
01K098EW9NY2SPFFGSGZG7C5MC,HOHNER - CLAVINET D6,Piano electrique,CLAVINET D6,"Le Hohner Clavinet D6 est un clavier électromécanique iconique à cordes frappées, offrant un son funky, percutant et staccato idéal pour funk, rock, jazz et reggae. Avec ses 5 octaves et ses 6 registres variés, il excelle dans les rythmes rapides et les attaques incisives, parfait pour booster vos concerts et backlines Mulster.",6500,120.7,11.4,120.65,60.0,"{'Clavier': '60 touches', 'Étendue': 'F1 à e3 (5 octaves)', 'Mécanisme': 'Électromécanique avec cordes', 'Mécanisme de frappe': 'Piston sous la touche frappe la corde sur enclume', 'Amortissement': 'Partie feutrée de la corde libérée à la relâche de la touche', 'Transducteurs': '2 pick-ups magnétiques', 'Registres': '6 interrupteurs (AB, CD pour pick-ups; Brilliant, Treble, Medium, Soft pour filtres)', 'AB/CD': 'Sélection et polarité des pick-ups', 'Brilliant/Treble': 'Filtre passe-haut', 'Medium/Soft': 'Filtre passe-bas', 'Contrôle de volume': 'Potentiomètre rotatif', 'Sortie principale': 'Jack 1/4 pouce (Output 100mV)', 'Alimentation': '>6V adaptateur (désactive batterie)', 'Mute': 'Curseur mécanique optionnel', 'Accessoire': 'Pedalier swell optionnel sur sortie 100mV'}",https://www.clavinet.com/D6man.php,93.19,0.0,1
01K098EZZFJTFGRZWPSYZVV551,VINTAGE VIBE - BLACK 73 TREMOLO,Piano electrique,BLACK 73 TREMOLO,"Le Vintage Vibe Black 73 Tremolo offre un tremolo d'une plage de vitesse exceptionnelle, avec une forme d'onde améliorée recréant fidèlement l'effet incandescent des pianos Peterson Suitcase iconiques. Il excelle en vibes définies de vibraphone ou Wurlitzer en mono, et en panoramas éthérés en stéréo, pour un son authentique et polyvalent.",9000,113.9,20.3,113.99,27.22,"{'Type': 'Tremolo', 'Plage de vitesse': 'La plus large jamais offerte', ""Forme d'onde"": 'Améliorée, reproduction précise du tremolo à ampoule incandescente des pianos Peterson Suitcase', 'Contrôles': 'Profondeur et vitesse', 'Effets': 'Vibraphone et Wurlitzer en mono, panoramique stéréo éthéré', 'Alimentation': ""Batterie lithium-ion rechargeable USB (18 heures d'autonomie)"", 'Connectique': 'Sorties jack 1/4"" gauche et droite mono/stéréo, prise casque stéréo', 'Indicateur': 'LED pulsant au rythme du tremolo'}",https://www.vintagevibe.com/blogs/news/new-marquis-73,92.66,0.0,0
01K098F3N9PDHP5SV359BM5XZB,VINTAGE VIBE - SILVER 73 TREMOLO,Piano electrique,SILVER 73 TREMOLO,"Le Vintage Vibe Silver 73 Tremolo recrée fidèlement le vibrato classique des Fender '73, offrant un effet fluide et expressif idéal pour le blues, le rock et le jazz. Son design robuste en aluminium anodisé argent assure une stabilité parfaite et un son chaud, vintage, plébiscité par les pros pour sa musicalité authentique.",4200,113.0,7.4,73,0.15,"{'Type': 'Tremolo pour orgue', 'Finition': 'Silver', 'Compatibilité': 'orgues Hammond 73 touches', 'Mécanisme': 'optique', 'Alimentation': '12V DC', 'Connectique': 'Entrée jack 6,35 mm, Sortie pour ampli, Entrée footswitch', 'Intensité': 'variable via potentiomètre', 'Vitesse': 'variable'}",https://vintagevibe.com/product/silver-73-tremolo/,81.35,0.0,0
01K098FB8RBZAPNRAJ09E54FRT,YAMAHA - CP80 ELECTRIC PIANO,Piano electrique,CP80 ELECTRIC PIANO,"Piano électrique de scène emblématique, le Yamaha CP80 reprend la vraie mécanique et les cordes d’un quart de queue, mais sans table d’harmonie pour un accord plus stable et un transport facilité. Entièrement amplifié, il offre un toucher de piano acoustique avec un son clair, incisif et puissant qui trouve facilement sa place dans un mix, idéal pour les tournées, les grandes scènes et le studio.",6500,90.8,90.8,90.8,121,"{'Réponse en fréquence': '20 Hz - 20 000 Hz', 'Impédance': '600 Ω (sorties ligne)', 'Connectique': '2 sorties ligne principales gauche/droite (jack 6,35 mm asymétriques), 2 sorties ligne gauche/droite symétriques (XLR), boucle d’effets (send/return en jack 6,35 mm), prise alimentation secteur', 'Nombre de touches': '88', 'Tremolo': 'Tremolo stéréo intégré avec réglage de vitesse et de profondeur', 'Égalisation': 'Égaliseur 3 bandes (grave, médium, aigu) avec commutateur de brillance', 'Système de captation': 'Capteurs de type piezo montés sur les cordes'}",https://usa.yamaha.com/files/download/other_assets/9/322059/CP80E.PDF,76.59,0.0,0
01K098FEZXXBJGCVNGCA7JVQ6Z,YAMAHA - CP70 ELECTRIC PIANO,Piano electrique,CP70 ELECTRIC PIANO,"Le Yamaha CP70 est un piano électrique légendaire des années 70-80, mêlant l'expression authentique d'un grand piano acoustique à une amplification puissante pour la scène. Son timbre chaud, doux et soutenant excelle en live avec guitares électriques, offrant une présence chaleureuse et polyvalente pour concerts et studios.",2500,137.0,93.0,144,149.0,"{'Nombre de touches': '73', 'Mécanique': 'Touches en bois, marteaux frappant des cordes', 'Cordes basse': '67,9 cm', 'Type de capteurs': 'Piézoélectriques montés sur le cadre de harpe', 'Préampli': 'Intégré', 'Sorties': 'XLR symétriques (stéréo), jacks 6,35 mm', 'Modèles associés': 'CP-70B (sorties symétriques améliorées), CP-70M (MIDI et EQ)'}",https://synthfool.com/docs/Yamaha/Yamaha%20CP-70B%20Operating%20Manual.pdf,73.96,0.0,1
01K42RYT3SCRBGP8WE5PZT5Q3N,Rhodes - Mark II 54,Piano electrique,Mark II 54,"Piano électrique Rhodes Mark II 54 au format réduit, centré sur le registre médium avec 54 touches pour un jeu fluide en accords et lignes mélodiques. Idéal en tournée ou en studio quand la portabilité prime sans renoncer au son Rhodes emblématique.",3600,96.5,92.7,98.0,58,"{'Type': 'Piano électrique à tines', 'Période de production': '1980-1982', 'Touches': '54 (registre central)', 'Matériau des touches': 'Bois (modèles précoces) ou plastique (modèles ultérieurs)', 'Action': 'Marteaux en plastique', 'Générateur de son': 'Tines métalliques frappées par marteaux', 'Sortie': 'Jack mono (non amplifié)', 'Alimentation': 'Non requise pour le son de base (pickup passif)', 'Pedale': 'Sustain (optionnelle)'}",https://www.fenderrhodes.com/pianos/mark2.html,91.37,0.0,1
01K42RYTC12B5DDEQ3B4791YJ7,Rhodes - Mark II 88,Piano electrique,Mark II 88,"Piano électrique légendaire 88 notes, le Rhodes Mark II offre un toucher proche d’un piano acoustique et ce timbre chaud et percussif emblématique des années 70‑80, idéal pour soul, jazz, pop et rock live ou studio.",6500,115,5,115,100,"{'Configuration des touches': '88 touches', 'Nombre de touches': '88', 'Type de touches': 'Plastique (modèles tardifs) ou bois', 'Action de clavier': 'Touch dynamique', 'Mécanisme sonore': 'Tines (dents métalliques frappées par marteaux)', 'Variantes': 'Stage Piano', 'Amplificateur intégré': 'Non (Stage), Oui (Suitcase)', 'Puissance amplificateur': '100 W (modèles post-1977)', 'Haut-parleurs': '2 (tremolo sur Suitcase)', 'Sortie': '1 jack mono (Stage)', 'Pédale': ""Sustain (dérivée d'une pédale de charleston)"", 'Années de production': '1979-1983'}",https://www.fenderrhodesla.com/pdf/rhodes-stage-model-owners-manual.pdf,85.19,0.0,0
01K42RYYZS12VTVTQRQHK57443,Rhodes - MKII 88,Piano electrique,MKII 88,"Le Rhodes MKII 88 est un piano électrique légendaire au clavier complet 88 notes, pensé pour offrir le toucher d’un piano acoustique avec la chaleur et le grain typiques des Rhodes des années 80. Sa conception Stage ou Suitcase à dessus plat permet de poser facilement un autre clavier, ce qui en fait un instrument très apprécié en tournée comme en studio pour son son expressif, profond et immédiatement reconnaissable.",3500.0,114.0,25.0,56.0,59.0,"{'Configuration': '88 touches', 'Touches': 'Plastique (optionnel après 1980)', 'Amplificateur': '100W (à partir de 1977)', 'Connectique': 'Jack mono (Stage), Multi-connecteur (Suitcase), Entrée ampli, Sortie préampli, Send/Return', 'Contrôles': 'Volume, Tone (potentiomètres sliders), Égaliseur', 'Pédales': 'Sustain, Expression (certains modèles)', 'Action': 'Tines (tiges métalliques), marteaux', 'Poids approximatif': '100kg (Stage 88)', 'Variantes': 'Stage 88, Suitcase 88, 54 touches (1980)'}",https://www.fenderrhodes.com/pdf/mark2-manual.pdf,93.74,0.0,2
01K42RYZZAFDMHQV4FCH9D5BZ2,WURLITZER - A200,Piano electrique,A200,"Piano électrique mythique des années 70, le Wurlitzer A200 offre 64 touches au toucher expressif et un son chaleureux, nerveux et légèrement mordant, parfait pour la soul, le rock et le blues. Son ampli et ses haut‑parleurs intégrés délivrent un grain vintage immédiat, avec un léger tremolo caractéristique idéal en studio comme sur scène.",1200.0,120.0,60.0,45.0,40.0,"{'Nombre de touches': '64', 'Haut-parleurs': '2 x 4x8 pouces', 'Puissance amplificateur': '30 W', 'Contrôles': 'Volume, profondeur tremolo', 'Sortie': 'Aux out', 'Pédale': 'Sustain', 'Action clavier': 'Touchée', 'Réeds': 'Acier plus épais', 'Amplificateur': 'Solid-state silicium', 'Effets': 'Vibrato (tremolo fixe)', 'Blindages': 'Bouclier hum, bouclier barre de réeds', 'Châssis': 'Plastique ABS moulé'}",https://fr.mans.io/manuals/295460/wurlitzer-a200,0.0,0.0,5
