id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K097SBCM733TKCVYYM3TAA4X,"GRETSCH  - 6x14"" ROSEWOOD VINTAGE '70",Caisses Claires,"6x14"" ROSEWOOD VINTAGE '70","Caisse claire vintage en palissandre des années 70, cette Gretsch 6x14 offre un son profond, chaleureux et boisé, avec une attaque précise et une belle projection, idéale pour les registres soul, funk ou jazz exigeant du caractère.",650,15.2,15.2,14,4.99,"{'Fût': 'Acajou de Rio (palissandre), construction multiplis vintage années 1970', 'Profondeur de fût': '6 po', 'Diamètre de fût': '14 po', 'Accastillage': 'Cercles emboutis, coquilles séparées, tirants à pas fin', 'Déclencheur': 'Mécanisme simple effet avec réglage de tension, butt plate fixe', 'Timbres': 'Timbre acier 20 brins (configuration standard d’époque)', 'Chanfreins': 'Chanfreins arrondis typiques Gretsch 70’s pour une attaque douce et un sustain contrôlé', 'Sonorité': 'Timbre chaud et boisé, attaque légèrement sombre, projection moyenne à forte, adapté rock, fusion, studio vintage', 'Finition': 'Placage naturel de palissandre verni (grain de bois apparent)'}",https://www.gretschdrums.com/products/snare-drums/gold-series/rosewood,85.76,0.0,0
01K097NN79YDRW01A7CAP2AS5P,"C&C - 5x14"" ABALONE CUSTOM",Caisses Claires,"5x14"" ABALONE CUSTOM","Le C&C 5x14 Abalone Custom est un cajón à caisse en érable offrant un son gras, riche et sec avec un snap maple caractéristique, sublimé par un fini abalone éclatant et personnalisable.",2800,35.6,14,14,,"{'Fût': 'Érable', 'Profondeur_du_fût': '5 po', 'Diamètre_du_fût': '14 po', 'Type_de_fût': 'Fût 100 % érable, construction personnalisée C&C', 'Chanfreins': 'Chanfreins modernes type C&C (standard constructeur, 45° avec léger arrondi extérieur)', 'Déclencheur': 'Déclencheur latéral type C&C / style vintage', 'Cercles': 'Cercles emboutis acier', 'Tirants_par_côté': '8', 'Coquilles': 'Coquilles séparées style tube / vintage', 'Finition': 'Placage décoratif Abalone sous vernis brillant', 'Peaux_de_frappe': 'Peau simple pli type coated (montage standard C&C)', 'Peaux_de_résonance': 'Peau simple pli transparente pour caisse claire', 'Timbres': 'Timbre métal, 20 brins'}",https://reverb.com/item/7598430-c-c-custom-5x14-maple-snare-w-abalone,0.0,0.0,5
01K097NRFEMK6JKM2E1ZFV8FB0,"CRAVIOTTO - 5x14""SOLID MAPLE-POPLAR-MAPLE",Caisses Claires,"5x14""SOLID MAPLE-POPLAR-MAPLE","Caisse claire Craviotto 5x14 Solid Maple-Poplar-Maple : chef-d'œuvre artisanal à coque monobloc steam-bent en érable-plopier-érable, offrant une résonance exceptionnelle, une réponse dynamique et un son riche prisé sur les plus grandes scènes.",1500,35.6,14,14,4.5,"{'Fût': '1 pli massif érable / peuplier / érable, cintré à la vapeur', 'Profondeur du fût': '5\xa0po', 'Diamètre': '14\xa0po', 'Chanfreins': '45°', 'Cercles': 'Triple-flanged acier', 'Tirants': '10 tirants double-embout', 'Déclencheur': 'Type haut de gamme (style Trick GS007 ou équivalent)', 'Chanfreins internes': 'Renforts internes en érable massif', 'Finition': 'Huile naturelle (satin) mettant en valeur les veines du bois', 'Réponse en fréquence': 'Large spectre, graves chaleureux et aigus contrôlés, typés érable/peuplier (non communiqué par le fabricant en Hz)', 'Accastillage': 'Chromé', 'Peaux': 'Batter (sablée) et résonant (clair) de type simple pli qualité professionnelle', 'Sensibilité': 'Très élevée, grâce au fût 1 pli massif et à la construction artisanale'}",https://www.craviottodrums.com,49.51,0.0,0
01K097NVQ1SP926K3GYS1S4ZBE,"CRAVIOTTO - 5,5x14""",Caisses Claires,"5,5x14""","La caisse claire Craviotto 5,5x14 offre un son puissant et polyvalent grâce à sa coque monobloc méticuleusement usinée, signature du luthier Adrian Craviotto. Réputée pour sa sensibilité exceptionnelle et sa projection musicale, elle excelle en studio comme sur scène pour tous styles.",1800,35.6,13.97,14,3.2,"{'Profondeur': '5,5""', 'Diamètre': '14""', 'Matériaux coquille possibles': 'Érable, Cuivre, Laiton, Hêtre, Frêne', 'Cerceaux': '2,3 mm flangés', 'Nombre de tirants': '8 ou 10', 'Type de tirants': 'Tube lugs, Marquise lugs', 'Bords de timbale': '45°', 'Straps de caisse claire': 'Craviotto, Puresound (16 ou 12 brins)', 'Matériel': 'Plaqué nickel', 'Lanceur': 'Vintage style', 'Finition': 'Huile naturelle'}",https://percustudio.com/site/public/pdfs/CRAVSD48.pdf,37.53,0.0,0
01K097NYYM4A37SVQD4Y1VBR67,"CRAVIOTTO - 6x14"" SOLID MAPLE",Caisses Claires,"6x14"" SOLID MAPLE","Caisse claire haut de gamme en érable monobloc, cette Craviotto 6x14 offre un son chaleureux, précis et très réactif, avec une projection généreuse qui convient aussi bien au studio qu’à la scène, du jeu délicat aux frappes les plus musclées.",1500,14,15.2,35.56,6.8,"{'Fût': 'Fût monobloc en érable massif cintré à la vapeur avec renforts de chanfrein en érable', 'Épaisseur du fût': '≈ 6 mm (environ 1/4"")', 'Chanfreins': '45° avec léger arrondi extérieur', 'Cerclages': 'Cercles triple-flange', 'Tirants': '10 tirants avec coquilles type tube', 'Déclencheur': 'Déclencheur de timbre type Trick GS007 ou équivalent haut de gamme', 'Timbres': 'Timbre 20 brins', 'Peaux d’origine': 'Batter : sablée type une pli (style Remo Ambassador), Résonant : claire fine (style Remo Hazy Ambassador)', 'Finition': 'Finition huilée mettant en valeur le veinage de l’érable', 'Fabrication': 'Fabrication artisanale aux États-Unis'}",https://www.craviottodrums.com,64.34,0.0,0
01K097P268B7MYW0MPCT970QP3,"DW - 6,5x14"" COLLECTOR'S STEEL STAINLESS",Caisses Claires,"6,5x14"" COLLECTOR'S STEEL STAINLESS","Caisse claire DW Collector's 6,5x14 en acier inoxydable, ultra sensible et puissante, idéale pour les gros backbeats rock comme pour les nuances fines, avec un son brillant, tranchant, riche en harmoniques et une projection massive.",2000,35.6,16.5,35.56,5.4,"{'Fût': 'acier inoxydable, épaisseur 1 mm, roulé', 'Accastillage': 'tirants True-Pitch, déclencheur et tendeur de timbre nickelés, embouts et piques nickelés', 'Cercles': 'cercles emboutis 3,0 mm en acier nickelé', 'Timbre': 'timbre acier, 20 brins (configuration standard Collector’s)', 'Peaux': 'configuration standard double-pli sablée dessus / simple-pli clair dessous d’usine', 'Autres caractéristiques': 'système de sourdine interne absent, finition acier inox poli'}",https://www.dwdrums.com/product/dw-stainless-steel-snare-drum-6-5x14/,43.98,0.0,0
01K097P5ENR0AMV7YK50V4FM9F,"DW - 6x13"" COLLECTOR'S WOOD",Caisses Claires,"6x13"" COLLECTOR'S WOOD","Caisse claire compacte et nerveuse, la DW Collector’s 6x13 offre un son précis, claquant et très réactif, parfait pour les backbeats tranchants, les ghost notes détaillées et les réglages tendus modernes.",1400,33.0,13,13,2.9,"{'Accastillage': 'Chrome', 'Déclencheur de timbre': 'Système MAG avec butée 3 positions', 'Cerclages': 'True Hoops 2,3 mm', 'Tirants': '10 tirants par côté avec tirants True-Pitch 50', 'Chanfreins de fût': '45°', 'Timbre': 'Timbre 20 brins en acier', 'Sourdine intégrée': 'Non', 'Origine de fabrication': 'États-Unis'}",https://www.dwdrums.com/drums/snares/,85.42,0.0,0
01K097P8PCDJ42A4TQE2BJ40HH,"DW - 5,5x14"" COLLECTOR'S COPPER",Caisses Claires,"5,5x14"" COLLECTOR'S COPPER","La caisse claire DW Collector's 5,5x14 Copper excelle par son shell en cuivre offrant un son brillant, percutant et métallique, idéal pour tous styles. Finition premium et fabrication artisanale à Oxnard pour une résonance exceptionnelle en location backline.",2200,35.6,13.97,35.56,7.5,"{'Fût': 'Cuivre martelé ou laminé, épaisseur env. 1 mm (série métal Collector’s)', 'Profondeur': '5,5""', 'Diamètre': '14""', 'Chanfreins': '45° typiques caisse claire DW métal (attaque précise, bonne projection)', 'Cercles': 'Cercles emboutis lourds 3 mm type True Hoops', 'Tirants': '10 tirants par côté, pas fin True-Pitch pour accordage précis', 'Déclencheur': 'Système MAG avec butt plate 5 positions (réglage fin de tension du timbre)', 'Timbres': 'Timbres acier 20 brins type True-Tone', 'Peaux': 'Batter côté frappe DW sablée blanche / côté résonant DW transparente fine spéciale caisse claire', 'Accastillage': 'Accastillage chromé ou nickel noir selon finition de la série Collector’s Copper', 'Accordage et sonorité': 'Projection élevée, attaque tranchante, médiums présents, graves contrôlés, très sensible aux nuances grâce à la faible épaisseur du fût'}",https://www.dwdrums.com/drums/collectors-series/,43.93,0.0,0
01K097PC0KXFQ3N0CESJKRNWKP,"DW - 5,5x14"" COLLECTOR'S NATURAL SATIN VINTAGE '90",Caisses Claires,"5,5x14"" COLLECTOR'S NATURAL SATIN VINTAGE '90","La caisse claire DW Collector's 5,5x14 Natural Satin Vintage '90 est un modèle vintage iconique à finition satinée naturelle, offrant une résonance exceptionnelle et un punch précis grâce à ses coques en érable premium. Parfaite pour les backlines Mulster, elle excelle en projection et sustain contrôlé pour tous styles de musique live.",1200,35.6,14.0,35.56,5.9,"{'Fût': 'Érable nord-américain, construction Specialized Shell Configuration (SSC)', 'Profondeur_fut': '5,5 po', 'Diametre_fut': '14 po', 'Chanfreins': 'Chanfreins de précision DW pour attaque et sustain optimisés', 'Cercles': 'Cercles emboutis True-Hoops 3,0 mm', 'Tirants': 'Tirants True-Pitch pour accordage précis', 'Déclencheur_de_timbre': 'Système MAG avec butt plate 5 positions', 'Timbres': '20 brins True-Tone', 'Finition': 'Satin Oil naturel', 'Accastillage': 'Chromé', 'Peaux_batterie': 'Peau de frappe Remo Coated Ambassador, peau de résonance Remo Hazy Ambassador'}",https://www.dwdrums.com/drums/collectors-series/,94.06,0.0,0
01K097PF94RBVNKM6MWX4P0FM6,"DW - 5,5x14"" COLLECTOR'S BROCKEN GLASS",Caisses Claires,"5,5x14"" COLLECTOR'S BROCKEN GLASS","Caisse claire DW Collector's Series 5,5x14 Broken Glass : coque en érable nord-américain offrant un son riche, chaleureux et percutant, idéal pour tous styles. Profondeur optimisée pour une réponse rapide, brossage précis et puissance live/studio, avec finition verre brisé éclatante.",676,35.6,5.5,14,3.2,"{'Matériau coque': 'Érable nord-américain dur (Standard Maple)', 'Epaisseur coque': '10 plis + 6 plis anneaux de renforcement', 'Jantes': 'True Hoops (triple bride)', 'Tirant snare': 'MAG throw-off', 'Tiges de tension': 'True-Pitch 50', 'Finition': 'Broken Glass', 'Matériel hardware': 'Chrome', 'Profondeur coquille': '5,5 pouces', 'Diamètre': '14 pouces'}",https://www.dwdrums.com/drums/snare-drums/collectors-series/,84.37,0.0,0
