id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K095QZBRPAXX3SSTJ1M4H1PT,AGUILAR - DB751,Tête Basse,DB751,"L'Aguilar DB 751 est un ampli basse hybride légendaire, successeur du mythique DB 750, alliant chaleur tube préampli et puissance brute pour dominer tout venue. Son EQ précis et ses switches Deep/Bright sculptent un son rond, chaud et polyvalent, idéal pour tournées et studios.",3500,43.2,13.3,43.18,19.05,"{'Puissance': '975 W à 2 ohms, 750 W à 4 ohms, 400 W à 8 ohms', 'Égaliseur': 'Graves ±12 dB à 40 Hz, Médiums ±12 dB à 750 Hz, Aigus ±12/-7 dB à 4 kHz', 'Deep Switch': '+5 dB à 30 Hz', 'Bright Switch': '+5 dB à 5-7 kHz', 'Préampli': '3 tubes 12AX7', 'Section puissance': '12 MOSFETs latéraux complémentaires', 'Entrées': '1 jack 6,35 mm avec switch actif/passif', 'Sorties': '2 Neutrik Speakon, XLR Jensen équilibré (pré/post EQ, ground lift), Tuner out', ""Boucle d'effets"": 'Send push/pull (line/instrument), Return push/pull (parallèle/série)', 'Refroidissement': '2 ventilateurs thermiques', 'Protection': 'Circuit de diagnostic auto et surcharge thermique (LED)'}",https://www.zikinf.com/manuels/aguilar-db-751-manuel-utilisateur-en-29043.pdf,12.5,0.0,0
01K095R1VBQ70M45T49X88ZY5P,AGUILAR  - DB750,Tête Basse,DB750,"L'Aguilar DB 750 est un ampli tête hybride révolutionnaire alliant préampli à lampes pour un son chaud et riche, avec une puissance massive et une réserve de headroom exceptionnelle. Parfait pour les tournées et studios, il offre un contrôle tonal intuitif et une construction robuste, idéale pour la location backline Mulster.",2200,13.3,13.3,48.26,19.5,"{'Puissance': '975 W à 2 ohms, 750 W à 4 ohms, 400 W à 8 ohms', 'Impédance': '2/4/8 ohms', 'Préampli': '3 x 12AX7 + 1 x 12AU7', 'Section puissance': '12 MOSFET latéraux', 'Égaliseur': '3 bandes (aigus ±12/15 dB @ 4 kHz, médiums ±12/15 dB @ 400 Hz, graves ±12/15 dB @ 40 Hz)', 'Deep Switch': '+3 dB @ 30 Hz', 'Bright Switch': 'Pré-emphase @ 5-7 kHz', 'Connectique entrée': 'Jack 1/4"" actif/passif', 'Sorties haut-parleurs': '2 x Neutrik Speakon', 'Sortie DI': 'XLR Jensen équilibrée pré/post-EQ avec ground lift', 'Autres sorties': 'Tuner out avec mute, sortie préampli jack 1/4""', ""Boucle d'effets"": 'Send/return push-pull (instrument/ligne, parallèle/série)', 'Refroidissement': 'Ventilateurs whisper thermiques', 'Bruit': '> -80 dB (unpondéré)'}",https://www.zikinf.com/manuels/aguilar-db-750-manuel-utilisateur-en-29042.pdf,24.98,0.0,0
01K095R4D6Y3JHVZ6DRM03QWJX,AGUILAR - TONE HAMMER 500,Tête Basse,TONE HAMMER 500,"Tête ultra‑légère de 500 W, la Tone Hammer 500 offre le son chaud et musical Aguilar dans un format compact idéal pour la tournée. Inspirée du préampli/pédale Tone Hammer, elle combine une égalisation 3 bandes très flexible et un contrôle de Drive permettant d’ajouter grain et caractère, du clean chaleureux à un léger overdrive. Polyvalente et facile à transporter, elle s’impose comme une tête de référence pour les bassistes exigeants en concerts, en studio ou en résidence.",699,27.3,7.62,27.3,1.81,"{'Puissance_de_sortie': '500 W sous 4 Ω, 250 W sous 8 Ω', 'Impédance_de_sortie_minimale': '4 Ω', 'Section_préampli': 'Transistor', 'Section_amplification': 'Classe D', 'Alimentation': 'Alimentation à découpage (SMPS)', 'Égalisation': '3 bandes avec médiums semi-paramétriques', 'Graves': '±17 dB à 40 Hz', 'Médiums': '±16 dB, fréquence balayable de 180 Hz à 1 kHz', 'Aigus': '±14 dB à 4 kHz', 'Contrôle_Drive': 'Circuit AGS (Adaptive Gain Shaping) avec distorsion subtile et renfort des médiums', 'Boucle_d_effets': 'Série, avec +6 dB de gain supplémentaire', 'Entrées': '1 entrée instrument 6,35 mm (compatible actifs/passifs)', 'Sorties_HP': '1 sortie Speakon', 'Sortie_DI': '1 sortie XLR symétrique avec sélection pré/post EQ et switch de lift de masse', 'Sortie_accordeur': 'Oui', 'Refroidissement': 'Deux ventilateurs silencieux à vitesse contrôlée thermiquement'}",https://aguilaramp.com/products/tone-hammer-500-bass-amp,81.49,0.0,0
01K095R6WMJNMDYYG6E8W33KCE,AGUILAR - AG500,Tête Basse,AG500,"L'AG 500 d'Aguilar est un ampli compact pour basse délivrant 500 watts de puissance pure, avec une section préampli à transistors et une alimentation classe D efficace. Son égaliseur 6 bandes sculpte précisément le son, tandis que la boucle d'effets série et la sortie XLR équilibrée en font un allié idéal pour les concerts et studios, alliant légèreté et punch musical exceptionnel.",1000.0,34.5,7.62,34.5,1.9,"{'Puissance': '500 watts', 'Préampli': 'Solid State', ""Section d'amplification"": 'Classe D', 'Alimentation': 'Switching mode power supply (SMPS)', 'Égaliseur': '4 bandes (Basses: ±17 dB @ 40 Hz, Deep: +6 dB <250 Hz, Low Mid: ±15 dB @ 300 Hz, High Mid: ±14 dB @ 800 Hz, Treble: ±14 dB @ 4 kHz, Bright: +6 dB >3 kHz)', 'Entrées': '1 jack 1/4″ (actif/passif)', 'Sorties haut-parleurs': '1 Neutrik Speakon', ""Boucle d'effets"": 'Série (+6 dB de gain)', 'Sortie équilibrée': 'XLR (pré/post EQ, ground lift)', 'Refroidissement': '2 ventilateurs thermiques', 'Autres': 'Pad -10 dB, tuner output, Aux In, sortie casque'}",https://aguilaramp.com/products/ag500#owner-s-manual,74.06,0.0,1
01K095R9EQ1Y71E1W37W1743PH,AMPEG - SVT CLASSIC,Tête Basse,SVT CLASSIC,"L'Ampeg SVT Classic redéfinit le son harmoniquement riche et légendaire de l'SVT originel, avec une puissance dynamique tonitruante, une fiabilité exceptionnelle et une flexibilité tonale inégalée, pour une vibrance tubes authentique qui domine la scène.",2500,61,29,61,36.3,"{'Puissance': '300W RMS', 'Impédance': '2 ou 4 Ω', 'Réponse en fréquence': '-3 dB à 40 Hz et 15 kHz', 'Fréquences médiums': '+10/-20 dB à 220 Hz, 450 Hz, 800 Hz, 1.6 kHz ou 3 kHz', 'Basses': '+12/-12 dB à 40 Hz', 'Aigus': '+15/-20 dB à 4 kHz', 'Ultra Lo': '+2 dB à 40 Hz, -10 dB à 500 Hz', 'Ultra Hi': '+9 dB à 8 kHz', 'Tubes préampli': '2 x 12AX7', 'Tubes driver': '1 x 12AX7, 2 x 12AU7', 'Tubes puissance': '6 x 6550', 'Connectique': 'Entrées jack normal et -15 dB, sortie XLR symétrique, Slave Out, Preamp Out/Power Amp In', 'Sélecteur impédance': '2/4 Ω', 'Rapport signal/bruit': '80 dB (20 Hz–20 kHz)', 'Gain maximum': '67 dB à 1 kHz'}",https://ampeg.com/pdf/SVTCL_OM.pdf,9.91,0.0,1
01K095RBZ0A46K2C5QAVFHXGFJ,AMPEG - SVT VR,Tête Basse,SVT VR,"Tête tout lampes de 300 W, la SVT-VR recrée fidèlement la mythique SVT « Blue Line » de 1969, avec son grain Ampeg massif, chaleureux et agressif, idéal pour le rock et les grosses scènes.",1599,4,4,60.96,38.56,"{'Puissance': '300 W RMS', 'Impédance': '2 Ω ou 4 Ω', 'Connectique': 'Entrées jack normales et bright (2 canaux), Sorties haut-parleurs Neutrik Speakon et jack 1/4"", Sortie ligne symétrique, Préampli out / Power amp in', 'Réponse en fréquence': '20 Hz - 15 kHz', 'Gain': '66 dB (canal 1), 59 dB (canal 2) à 1 kHz', 'Rapport signal/bruit': '75 dB', 'Égaliseur canal 1': 'Grave ±12 dB @ 40 Hz, Medium ±20 dB (fréquence sélectionnable), Aigu ±12 dB @ 4 kHz', 'Égaliseur canal 2': 'Grave ±12 dB @ 40 Hz, Aigu ±12 dB @ 4 kHz', 'Switches': 'Ultra Hi (+15 dB @ 8 kHz), Ultra Lo, Bass Cut (canal 1: -20 dB @ 40 Hz)', 'Tubes': 'Préampli 3x12AX7 + 2x12AU7, Driver 1x12AX7 + 2x12AU7, Puissance 6x6550'}",https://ampeg.com/data/6/0a020a3f12fd55e0b8fc78d976/application/pdf/Owner%E2%80%99s%20Manual%20-%20English%20.pdf,61.36,0.0,0
01K095REGSESBTEVGWBT38FRXH,AMPEG - AMPEG SVT VR 50TH ANNIVERSARY,Tête Basse,AMPEG SVT VR 50TH ANNIVERSARY,"Tête tout lampes de 300 W réunissant dans un même châssis les sonorités légendaires des SVT « Blue Line » de 1969 et « Black Line » des années 70, avec deux canaux indépendants ou jumelables, une fabrication haut de gamme aux États‑Unis, une sortie DI moderne et une esthétique anniversaire soignée.",3999,29.2,29.2,61.0,1,"{'Puissance': '300W RMS', 'Impédance': '2 ou 4 Ω', 'Connectique': 'Entrées jack 1/4"" (Bright/Normal), Sorties Neutrik speakON, Sortie DI XLR équilibrée', 'Tubes préampli': '12AX7 et 12AU7', 'Tubes de puissance': '6550 (Super Valve)', 'Réponse en fréquence': '-3 dB à 20 Hz et 15 kHz', 'Gain total': '66 dB (Canal 1) à 1 kHz', 'Rapport signal/bruit': '75 dB (20 Hz – 20 kHz)', 'Égalisation Canal 1': 'Basses ±12 dB à 40 Hz, Médiums ±20 dB à 220/800/3 kHz, Aigus ±12 dB à 4 kHz, Ultra Hi +15 dB à 8 kHz, Ultra Lo -20 dB à 600 Hz, Bass Cut -20 dB à 40 Hz', 'Égalisation Canal 2': 'Basses ±12 dB à 40 Hz, Aigus ±12 dB à 4 kHz, Ultra Hi +15 dB à 8 kHz, Ultra Lo +11 dB à 40 Hz', 'Alimentation': '100-120 VAC ou 220-240 VAC, 50-60 Hz, 400W'}",https://ampeg.com/products/heritage/svt-50thAnniversary/files/Ampeg_50thAnnivSVT_Amp_OM_RevB_English.pdf,14.79,0.0,0
01K095RH23TN523TPSK106BH5B,AMPEG  - SVT CLASSIC HERITAGE,Tête Basse,SVT CLASSIC HERITAGE,"L'Ampeg Heritage SVT-CL est un amplificateur à lampes iconique de 300W, conçu aux USA avec des composants premium pour un son basse légendaire. Son égaliseur Ampeg ultra-flexible offre un contrôle précis des basses puissantes, médiums sculptés et aigus cristallins, idéal pour percer tous les mixes en live ou studio.",3500,61.91,36.3,61.6,36.3,"{'Puissance': '300 W RMS', 'Impédance': '2 ou 4 Ω', 'Réponse en fréquence': '-3 dB à 40 Hz et 15 kHz', 'Rapport signal bruit': '80 dB (20 Hz–20 kHz)', 'Gain maximum': '67 dB à 1 kHz', 'Contrôles tonales Basses': '+12 / -12 dB à 40 Hz', 'Contrôles tonales Médiums': '+10 / -20 dB à 220 Hz, 450 Hz, 800 Hz, 1.6 kHz ou 3 kHz', 'Contrôles tonales Aigus': '+15 / -20 dB à 4 kHz', 'Ultra Lo': '+2 dB à 40 Hz, -10 dB à 500 Hz', 'Ultra Hi': '+9 dB à 8 kHz', 'Tubes préampli': '2 x 12AX7', 'Tubes driver': '1 x 12AX7, 2 x 12AU7', 'Tubes puissance': '6 x 6550', 'Connectique': '1/4"" et SpeakON (sorties haut-parleurs), Sortie ligne symétrique, Préampli out / Power amp in', 'Alimentation': '10 A (Slo Blo), 120 VAC, 50-60 Hz, 460 W'}",https://ampeg.com/pdf/HeritageSVTCL_OM.pdf,21.21,0.0,1
01K095RKM2JZ70H523F7QS0NHV,AMPEG - SVT VINTAGE,Tête Basse,SVT VINTAGE,"L'Ampeg SVT Vintage, icône des amplis basse depuis 1969, délivre un son puissant et légendaire avec sa puissance tube massive. Parfait pour les concerts live, il offre une chaleur tonale inégalée, des basses percutantes et une présence scénique explosive, assemblé main aux USA pour une fiabilité absolue.",4500,61.0,29.2,61.0,38.6,"{'Puissance': '300W RMS', 'Impédance': '2 ou 4 Ω', 'Réponse en fréquence': '20 Hz - 20 kHz', 'Tubes préampli': '5 x 12AX7', 'Tubes driver': '1 x 12AX7, 2 x 12AU7', 'Tubes puissance': '6 x 6550', 'Connectique': 'Entrées Normal et Bright (jack), Sorties haut-parleurs (jack et Speakon), Sortie DI XLR, Préampli out, Power amp in', 'Gain maximum': '78 dB @ 1 kHz', 'Rapport signal/bruit': '75 dB (20 Hz - 20 kHz)', 'Contrôles tonales canal 1': 'Basses ±12 dB @ 40 Hz, Médiums +10/-20 dB @ 220/450/800/1600/3000 Hz, Aigus ±15/-20 dB @ 4 kHz, Ultra Lo +2 dB @ 40 Hz / -10 dB @ 500 Hz, Ultra Hi +9 dB @ 8 kHz', 'Contrôles tonales canal 2': 'Basses ±12 dB @ 40 Hz, Aigus ±12 dB @ 4 kHz, Ultra Lo +11 dB @ 40 Hz, Ultra Hi +15 dB @ 8 kHz'}",https://ampeg.com/products/heritage/svt-50thAnniversary/files/Ampeg_50thAnnivSVT_Amp_OM_RevB_English.pdf,5.45,0.0,0
01K095SFMDT2TCEW37K96RGEVM,EBS  - TD650,Tête Basse,TD650,"Tête hybride puissante et polyvalente, la EBS TD650 combine préampli à lampe/transistors et étage MOSFET pour offrir un son précis, du clair moderne à l’overdrive musical, avec EQ complète, compresseur intégré et fonctions pro pensées pour la scène et la tournée.",800,48,13,48,12,"{'Puissance dynamique': '650 W RMS', 'Puissance continue': '530 W RMS', 'Réponse en fréquence': '35 - 20000 Hz', ""Impédance d'entrée"": '1 MΩ', 'Impédance minimum haut-parleur': '2 Ω', 'Ratio de compression maximum': '3:1', 'Basses': '±15 dB @ 100 Hz', 'Médiums': '±12 dB @ 50 - 3000 Hz, Q=0.5', 'Aigus': '±15 dB @ 4 kHz', 'Bright': '-0/+20 dB @ 10 kHz', 'Gain drive': '0-30 dB', 'Connectique': ""Entrée jack, sortie XLR symétrique flottante, boucle d'effets série/parallèle (Send/Returns), Line Out"", 'Alimentation fantôme': '9 V', 'Puissance MOSFET': '650 W'}",http://media1.ebssweden.com/2016/05/TD650MM_EN.pdf,83.8,0.0,0
