id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K098R6YAAXC2492EQA9B3T35,KORG  - M3 73,Workstation,M3 73,"Station de travail musicale polyvalente combinant synthèse avancée EDS, 1028 échantillons et 1606 sons de batterie pour une palette sonore riche et expressive, idéale pour composition et performance live.",2200,127.0,2,113.4,17.3,N/A,https://cdn.korg.com/us/support/download/files/bb69dfc9aafb4419e53b3254af0094fd.pdf?response-content-disposition=inline%3Bfilename%3DM3_OpG_E.pdf&response-content-type=application%2Fpdf%3B,0.0,0.0,5
01K098RARST0NSX8RAE3DA0YEZ,KORG  - M3 61,Workstation,M3 61,"Station de travail 61 touches pensée pour la scène et le studio, la Korg M3-61 condense les technologies KARMA et OASYS dans un clavier compact, expressif et inspirant. Elle offre des sons riches et modernes, un sampler intégré, un séquenceur 16 pistes simple d’accès et un large écran tactile permettant un contrôle direct et rapide en live comme en production.",700,103.5,13.4,107.0,17.3,N/A,https://cdn.korg.com/us/support/download/files/bb69dfc9aafb4419e53b3254af0094fd.pdf,0.0,0.0,5
01K098REJ0F7JZJR5GKPE768TY,KORG  - TRITON EXTREME 61,Workstation,TRITON EXTREME 61,"Le Korg Triton Extreme 61 est une station de travail puissante offrant une polyphonie de 120 notes et une vaste bibliothèque de sons cristallins issus de 160 Mo de ROM 48 kHz. Son moteur HI synthesis excelle en édition sonore précise, avec échantillonnage ouvert, séquenceur avancé et effets à lampes chaleureux, idéal pour compositions live et studio.",1400,110.85,11.72,110.85,14.4,N/A,http://cdn.korg.com/us/support/download/files/e9077a1708b75edc5856bf9afa43b45f.pdf,0.0,0.0,5
01K098RJBGRZ5JG83G732CQBTQ,KORG  - TRITON,Workstation,TRITON,"Le Korg Triton est une station de travail musicale emblématique, propulsée par le système HI Synthesis pour une qualité sonore exceptionnelle et une polyphonie généreuse. Idéal pour concerts et studios, il excelle en multisamples riches, séquenceur 16 pistes puissant, échantillonnage créatif et effets avancés, favorisant une production musicale fluide et inspirante.",1200,127.0,9.0,114.3,17.3,N/A,https://cdn.korg.com/us/support/download/files/6599e33b87e991b60dadb0016b8376a0.pdf,0.0,0.0,5
01K098RP47G0TPGYVTKE5SNFE6,KORG  - TRINITY PLUS,Workstation,TRINITY PLUS,"Workstation numérique emblématique des années 90, le Korg Trinity Plus est un synthé 61 notes au look argenté, pensé comme un véritable centre de production musicale avec séquenceur intégré, sons internes riches et grande interface à écran tactile pour l’édition et le jeu en live. Sa particularité est d’embarquer directement le moteur MOSS de type Prophecy, dédié aux sons de solo expressifs et aux timbres synthétiques très vivants, ce qui en fait une machine polyvalente aussi à l’aise pour la création en studio que pour le backline de scène.",880,103.0,11.3,106.1,34,"{'Polyphonie': '32 voix', 'Mémoire échantillons': '24 MB ROM', 'Fréquence échantillonnage': '48 kHz', 'Séquenceur': '16 pistes, 80 000 notes', 'Programmes': '256', 'Combinations': '256', 'Effets insert': '8 simultanés', 'Effets master': '2', 'Multitimbral': '16 parties', 'Échantillons PCM': '374 multisamples + 258 drums', 'Filtres': 'Numérique multimode (HP, BP, BR, passe-haut/bas)', 'MOSS': '64 sons (avec carte optionnelle)', 'Polyphonie MOSS': '6 voix supplémentaires'}",https://cdn.korg.com/us/support/download/files/f95e62dfd278a93f094a2b7d67de1e29.pdf?response-content-disposition=inline%3Bfilename%3DTRINITY_BG_E.pdf&response-content-type=application%2Fpdf%3B,78.92,0.0,2
01K098RSY2Y42BWB541P9PZJ66,KORG  - TRINITY V3 PRO,Workstation,TRINITY V3 PRO,"Le Korg Trinity V3 Pro est une station de travail légendaire intégrant le puissant système MOSS pour des sons modélisés expressifs, analogiques et physiques, idéal pour solos percutants et basses synthétiques. Avec son interface tactile intuitive, sa vaste bibliothèque de samples et ses multiples effets, il excelle en composition, enregistrement et performance live.",600,131.7,61,76,37.6,"{'Méthodes de synthèse': 'ACCESS (échantillonnage soustractif) + MOSS (modélisation soustractive)', ""ROM d'échantillons"": '24 Mo', 'Polyphonie': '32 voix ACCESS, 6 voix MOSS (total 38 voix)', 'Programmes': '256 ACCESS (banques A et B), 128 MOSS (banque M)', 'Combinations': '256 (banques A et B)', 'Effets': ""100 inserts, 14 maîtres, 2 effets maîtres, jusqu'à 8 inserts"", 'Multitimbralité': '8 parties en mode Combi, 16 parties en mode séquenceur', 'Séquenceur': '16 pistes, résolution 192 ppqn, 20 chansons, 100 patterns par chanson, capacité 80 000 notes, Standard MIDI File', 'Échantillonnage': '16 bits, 48 kHz PCM', 'Écrans': 'TouchView LCD graphique 320 x 240 points rétroéclairé'}",https://cdn.korg.com/us/support/download/files/f95e62dfd278a93f094a2b7d67de1e29.pdf,89.38,0.0,4
01K098RXQWC20P4ZJHVH5D1MQ3,KORG  - TRINITY V3,Workstation,TRINITY V3,"Workstation légendaire des années 90, le Korg Trinity V3 combine la chaleur de son moteur ACCESS et la puissance de la carte MOSS pour des sons riches, expressifs et très inspirants. Son large écran tactile facilite la création, l’édition et l’enchaînement de sons complexes, ce qui en fait un outil idéal autant pour la scène que pour le studio.",600,144.6,11.6,114,2,"{'Polyphonie': '32 voix (38 avec MOSS)', 'Mémoire ROM': '24 MB PCM (48 MB compressé)', 'Échantillons': '375 multisamples, 258 drums', ""Fréquence d'échantillonnage"": '48 kHz', ""Profondeur d'échantillons"": '16 bits', 'Touches': '61', 'Action clavier': 'Semi-lestée', 'Sensibilité': 'Vélocité et aftertouch', 'Connectique MIDI': 'Entrée, Sortie, Through', 'Effets': '8 effets insert (100 algorithmes), 2 effets master (reverb/delay, 14-16 algorithmes)', 'Séquenceur': 'Intégré', 'Arpégiateur': 'Oui', 'Écran': 'Tactile', 'Synthèse': 'ACCESS + MOSS (Multi Oscillator Synthesis System)', 'Pays fabrication': 'Japon'}",https://cdn.korg.com/us/support/download/files/f95e62dfd278a93f094a2b7d67de1e29.pdf?response-content-disposition=inline%3Bfilename%3DTRINITY_BG_E.pdf&response-content-type=application%2Fpdf%3B,82.45,0.0,0
01K098S1JBZ5MB7JJAXJC9RSSX,KORG  - 01W/FD,Workstation,01W/FD,"Workstation emblématique des années 90, le Korg 01/W/FD combine sons PCM riches, moteur AI² et wave shaping pour offrir nappes luxuriantes, basses puissantes et pianos expressifs. Son séquenceur intégré et son lecteur de disquettes en font un outil complet pour la composition et la scène.",400,105.95,115.5,105.95,17.5,"{'Polyphonie': '32 voix (mode simple), 16 voix (mode double)', 'Méthode de synthèse': 'AI² (synthèse numérique complète)', ""Mémoire d'ondes"": 'PCM 48 Mbit', 'Séquenceur': '10 chansons, 100 patterns, 48000 notes, 16 pistes, 16 timbres', 'Écran': 'LCD 64 x 240 points, matrice complète, rétroéclairé', 'Connectique MIDI': 'Entrée, sortie, thru', 'Effets': 'Oui', 'Vélocité': 'Oui', 'Aftertouch': 'Oui', 'Lecteur disque': 'Disquette 3.5"" 2DD (format Korg)', ""Cartes d'extension"": 'RAM (SRC-512), ROM, PCM', 'Consommation': '20 W', 'Résolution séquenceur': '96 ppqn'}",https://cdn.korg.com/us/support/download/files/e5bdd797d0cfb61b21de309d4e4cbcac.pdf,0.0,0.0,5
01K098S5BJ37XVGN9XRZ1FQZFD,KORG  - M1,Workstation,M1,"Le Korg M1, station de travail emblématique des années 80, révolutionne la synthèse avec son système AI innovant mêlant échantillons PCM réalistes et ondes synthétiques. Ses sons iconiques comme le M1 Piano, riches et expressifs, inspirent musiciens et producteurs pour des performances live percutantes et des créations studios imparables.",350,103.8,8.9,103.2,12.0,"{'Polyphonie': '16 voix', 'Système_de_synthèse': 'Synthèse soustractive basée sur des échantillons PCM 16 bits (système AI)', 'Mémoire_ROM_sons': '4 Mo PCM (100 multisamples + 44 sons de batterie)', 'Multi_timbralité': '8 parties', 'Clavier': '61 notes sensibles à la vélocité et à l’aftertouch', 'Séquenceur': 'Séquenceur MIDI 8 pistes intégré', 'Effets_intégrés': 'Multi-effets numériques (réverbérations, délais, chorus, flanger, phaser, tremolo, EQ, overdrive/distorsion, combinaisons d’effets)', 'Stockage_données': 'Cartes RAM et cartes PCM dédiées', 'Connectique_audio': 'Sorties audio stéréo principales + sorties audio individuelles (1/L, 2/R, 3, 4)', 'Connectique_MIDI': 'Entrée MIDI, sortie MIDI, thru MIDI', 'Réglages_globaux': 'Accordage maître, transposition, canaux MIDI globaux, filtrage MIDI, dump de données, gestions de cartes RAM'}",https://cdn.korg.com/us/support/download/files/e223761dc7dee38a7c3c76983ddf2ea1.pdf,0.0,0.0,5
01K098S9726S9QQS9X0JSHGEXS,KURZWEIL - K2500X,Workstation,K2500X,"Le Kurzweil K2500X est une station de travail puissante à 88 touches lestées, offrant une synthèse V.A.S.T. innovante pour des sons réalistes et polyvalents, un séquenceur 32 pistes interactif et des contrôles expressifs comme 8 sliders et rubans pour une création musicale fluide et créative en live ou studio.",970,121.5,5,121.5,5,"{'Polyphonie': '48 voix', 'Mémoire ROM sons': '8 MB (extensible à 28 MB)', 'Mémoire RAM séquence/programme': '256 KB (extensible à 1.25 MB)', 'Sorties audio analogiques': '10 sorties 1/4"" TS asymétriques (8 routables: Mix, A, B, C, D)', 'Sorties audio numériques': 'AES/EBU, S/PDIF optionnel, KDS 8 canaux (DMTi), sortie numérique 48 kHz 16/20 bits', ""Taux d'échantillonnage"": '48 kHz, 44.1 kHz, 32 kHz, 29.6 kHz (ou externe)', 'Méthode de synthèse': 'V.A.S.T. (60 fonctions DSP, 31 algorithmes)', 'Pistes séquenceur': '32 pistes', 'Entrées MIDI': 'MIDI In, Out, Thru', 'Contrôles physiques': '8 sliders programmables, 2 rubans contrôleurs, roues pitch/mod, aftertouch'}",https://kurzweil.com/our-products/discontinued/k2500x/,82.44,0.0,0
