id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K096PVGGET73KAQK360W9R66,FENDER - BLUES JUNIOR III,Combo Guitare,BLUES JUNIOR III,"L'ampli à lampes Fender Blues Junior III délivre 15W de son pur et cristallin, avec un overdrive crémeux vintage activable par le switch FAT, une réverbération spring authentique et une grande portabilité pour concerts et répètes.",700,40.6,40.6,45.72,14.06,"{'Puissance': '15 W', 'Haut-parleur': '12 pouces Eminence Fender Lightning Bolt 8 Ω 50 W', 'Impédance sortie': '8 Ω', 'Impédance entrée': '1 MΩ', 'Préampli': '3 tubes 12AX7', 'Puissance ampli': '2 tubes EL84', 'Redressement': 'Redressement à semi-conducteurs', 'Réverbération': 'Ressort (spring reverb)', 'Égaliseur': '3 bandes (Graves, Médiums, Aigus)', 'Contrôles': 'Volume, Master, Réverbération, Fat (commutable)', 'Connectique': '1 entrée instrument (jack 6,35 mm), Sortie haut-parleur externe (jack 6,35 mm)', 'Pédale': 'Compatible pédale 1 bouton optionnelle (Fat)'}",N/A,0.0,0.0,5
01K096PDAFJF69PKMBSC3Z5QFK,AER - COMPACT 60,Combo Guitare,COMPACT 60,"L'ampli AER Compact 60 est une solution compacte et puissante pour guitares acoustiques, idéale pour chanteurs et musiciens en scène, studio ou répétition. Son haut-parleur twin-cone 8 délivre un son riche, clair et dynamique, avec effets intégrés (reverb, delay, chorus) pour une reproduction fidèle et professionnelle.",683.0,32.5,26.0,23.5,6.5,"{'Puissance': '60W', 'Haut-parleur': '1x8"" (200mm) twin cone', 'Canaux': '2', 'Alimentation fantôme': 'Oui (9V canal 1, 48V canal 2)', 'Égaliseur': '3 bandes (canal 1), 2 bandes (canal 2)', 'Effets': 'Reverb, Delay, Chorus', ""Boucle d'effets"": 'Oui', 'Connectique entrée': 'Jack 6.3mm (instrument), Combo XLR/Jack 6.3mm (micro/line)', 'Connectique sortie': 'DI XLR, Line Out Jack 6.3mm, Tuner Out Jack 6.3mm, Headphone stéréo Jack 6.3mm, FX Send/Return Jack 6.3mm'}",https://www.aer-music.de/shop/?store-page=Compact-60-4-p451883534&lang=en,86.44,0.0,2
01K096PG6TFPGTS5KF3CZE2J9K,AER  - DOMINO,Combo Guitare,DOMINO,"L'AER Domino 3 est un ampli stéréo compact et puissant, idéal pour guitares acoustiques en live ou studio. Avec ses 4 canaux indépendants, égaliseurs dédiés et processeur d'effets 32-bit personnalisable, il offre un son neutre, transparent et polyvalent pour instruments et micros, parfait pour la backline Mulster.",650.0,41.5,29.0,36.0,12.8,"{'Puissance': '2x100W @ 4 ohms', 'Puissance RMS': '2x85W', 'Réponse en fréquence': '60Hz-18kHz', 'Haut-parleurs': '2x 8"" twin-cone', 'Impédance': '4 ohms', 'Alimentation fantôme': '48V', 'Effets': 'Processeur 32-bit avec 16 presets', 'Connectique entrée': '4x XLR/6.3mm jack (combinés, switchables instrument/ligne/micro)', 'Connectique sortie': 'L/R-out (2x 6.3mm mono jack), DI (XLR balanced), Rec out (RCA L/R), Headphones (6.3mm jack)', ""Boucle d'effets"": 'Send/Return L/R (6.3mm jack), Insert L/R (2x stereo jack)', 'Aux in': 'RCA L/R', 'Tuner out': '6.3mm mono jack'}",https://www.aer-music.de/cms-data/depot/hipwig/Domino3_manual_english.pdf,67.6,0.0,2
01K096PK1G5EX4G3GQZN89HS0W,AMPEG  - JET 12 '90 VINTAGE,Combo Guitare,JET 12 '90 VINTAGE,"L'Ampeg Jet 12 '90 Vintage est un combo guitare à lampes ravivant le son rock des années 60, avec un tremolo tubulaire fluide, une reverb dimensionnelle et un grain chaud qui passe du clean cristallin à une distorsion mordante, parfait pour les studios et scènes Mulster.",550.0,47.6,22.9,35.6,15.0,"{'Puissance': '15 W RMS @ 5% THD', 'Impédance': '8 Ω', 'Haut-parleur': '12"", 20 W, 8 Ω', 'Tubes de puissance': '2 x EL84 / 6BQ5', 'Tubes préampli': '1 x 12AX7A / 7025', 'Phase splitter': '1 x 12AX7A / 7025', 'Gain': '62 dB', 'Contrôle tonal': '30 dB boost/cut @ 4 kHz', 'Rapport signal/bruit': '70 dB', 'Connectique': 'Entrées 1/4"" (guitare, accordéon)', 'Effets': 'Tremolo, Reverb'}",https://c3.zzounds.com/media/J-12T-7939cc57b82e5838459ac45d9e9de4c5.PDF,68.93,0.0,2
01K096PNWBRVG7R5KZ2Y212RXD,FENDER  - ACOUSTIC 200,Combo Guitare,ACOUSTIC 200,"L'ampli combo Fender Acoustic 200 offre un son clair et naturel pour guitare acoustique et micro, idéal pour solos ou avec un groupe. Puissant et portable, il dispose de deux canaux indépendants avec effets stéréo studio, Bluetooth streaming et coque bois élégante.",550,40.6,40.6,47.0,10.4,"{'Puissance': '200 W', 'Haut-parleurs': '2 x 8 pouces cône whizzer pleine bande', 'Impédance': '8 Ω', 'Égaliseur': '3 bandes (Basses, Médiums, Aigus)', 'Contrôles': 'Volume, Basses, Médiums, Aigus, Niveau FX, Sélecteur FX, Suppression de larsen, Inverseur de phase', 'Effets': 'Réverbération salle, Réverbération salle, Écho bande, Delay avec répétitions, Chorus, Vibratone, Delay + Chorus, Delay + Réverbération salle', 'Entrées': '2 x combo XLR / 1/4 pouce', 'Sortie ligne': '1 x XLR avec lift de masse', 'Connectique': 'Entrée Aux, Sortie casque, Port USB, Bluetooth, Prise footswitch', 'Tension': 'Universelle (120V)'}",https://fenderacademy.com/wp-content/uploads/2017/03/2311000000_ACOUSTIC-200-PRP_aug-2016.pdf,74.44,0.0,0
01K096PRPZBSST045N2WVSJBGN,FENDER  - 59 BASSMAN,Combo Guitare,BASSMAN '59 RI,"L'Fender '59 Bassman LTD est une réédition moderne de l'icône des amplis guitare, offrant un son pur, dynamique et couvrant tout le spectre fréquentiel pour une présence scénique exceptionnelle. Apprécié depuis plus d'un demi-siècle pour sa simplicité, sa fiabilité et son style tweed laqué classique, il excelle avec n'importe quelle guitare et effet.",2300,56.81,56.81,59.7,24,"{'Puissance': '45W', 'Impédance': '2 ohms', 'Réponse en fréquence': 'Non spécifiée', 'Connectique': '4 entrées 1/4"" (2 normales, 2 bright), 2 sorties haut-parleurs 1/4"" parallèles', 'Canaux': '2 (normal, bright)', 'Haut-parleurs': '4 x 10"" Jensen P10R Alnico', 'Tubes préampli': '3 x 12AX7', 'Tubes de puissance': '2 x 6L6', 'Redressement': '1 x 5AR4 (tube)', 'Contrôles': 'Présence, Médiums, Basses, Aigus, Volume (canal bright), Volume (canal normal)', 'Biais': 'Interne ajustable'}",https://www.fender.com/products/59-bassman-ltd,73.8,0.0,0
01K096PYAJ95V867MQT16KPEBP,FENDER  - BLUES JUNIOR,Combo Guitare,BLUES JUNIOR,"L'ampli combo Fender Blues Junior délivre un son chaud et vintage à lampes, avec un overdrive préampli expressif, une réverbération à ressort fluide et un switch FAT pour booster les médiums. Idéal pour concerts et studios, son look tweed laqué et sa puissance maîtrisée en font un incontournable polyvalent.",650,6,40.6,45.72,14.3,"{'Puissance': '15 W', 'Impédance': '8 Ω', 'Entrées': '1 x 1/4 pouce', 'Sortie HP': '1 x 1/4 pouce mono', 'Contrôles': 'Reverb, Master, Middle, Bass, Treble, Fat Switch, Volume', 'Canaux': '1', 'Effets': 'Reverb à ressort', 'Haut-parleur': '12 pouces', 'Tubes Préampli': '3 x 12AX7', 'Tubes Puissance': '2 x EL84', 'Redressement': 'Solid State'}",https://www.zikinf.com/manuels/fender-blues-junior-manuel-utilisateur-en-46104.pdf,63.57,0.0,0
01K096Q152SW4A0VWADYQSPEJR,FENDER  - BLUES DELUXE,Combo Guitare,BLUES DELUXE REISSUE,"L'ampli combo Fender Blues Deluxe Reissue offre un son tube authentique et vintage, avec 40W de puissance chaude pour des cleans cristallins ou un overdrive blues fluide. Ses deux canaux (Normal et Drive), réverbération à ressort et look tweed iconique en font un indispensable pour concerts et studios.",1000,66.7,47.6,59.7,3,"{'Puissance': '40 W', 'Haut-parleur': '1 x 12 pouces Eminence Special Design', 'Impédance': '8 Ω', 'Canaux': '2 (Normal et Drive)', 'Lampes préamplificateur': '3 x 12AX7', 'Lampes de puissance': '2 x 6L6', 'Redressement': 'État solide', 'Réverbération': 'Ressort Fender', ""Boucle d'effets"": 'Oui', 'Entrées': '2 x 1/4"" (Entrée 2 à -6 dB)', 'Connectique sortie haut-parleur': '2 x 1/4"" parallèles', 'Pédalier': '2 boutons (Drive Select, Reverb On/Off)', 'Contrôles': 'Présence, Réverbération, Volume Master, Médiums, Basses, Aigus, Drive Select, Drive, Volume, Bright', 'Tension': '120 V'}",https://www.fender.com/products/blues-deluxe-reissue,80.65,0.0,0
01K096Q3ZEM4TA57PNGJKDH2NX,FENDER  - BLUES DEVILLE REISSUE,Combo Guitare,BLUES DEVILLE REISSUE,"L'ampli combo Fender Blues DeVille Reissue délivre un son tube tweed vintage pur et chaleureux, idéal pour blues, country et rock, avec ses deux canaux Normal et Drive, réverbération à ressort et look classique authentique.",850,59.7,59.7,23.5,22.68,"{'Puissance': '60W', 'Haut-parleurs': '4 x 10"" Eminence Alnico', 'Tubes préamplificateurs': '3 x 12AX7', 'Tubes de puissance': '2 x 6L6', 'Impédance': '4 ohms', 'Canaux': 'Normal (avec Bright switch), Drive', 'Contrôles': 'Volume, Drive, Treble, Bass, Middle, Master, Reverb, Presence', 'Connectique': '2 x entrées 1/4"" (Input 1 haut niveau, Input 2 -6dB), boucle d\'effets 1/4"" (Send/Return)', 'Réverbération': 'Spring reverb Fender', 'Footswitch': '2 boutons (Channel/Drive, Reverb)', 'Revêtement': 'Tweed', 'Panneau de contrôle': 'Chrome'}",https://manuals.fender.com/manuals/2232100000_BLUESDEVILLEREISSUEMANUAL.pdf,87.03,0.0,0
01K096Q6V7KEWPPY71VQKHWAMP,FENDER  - BLUES DEVILLE '90 VINTAGE,Combo Guitare,BLUES DEVILLE '90 VINTAGE,"Le Fender Blues Deville '90 Vintage est un combo tube iconique des années 90, fabriqué aux USA, offrant des cleans cristallins massifs et un overdrive rugissant typiques de Fender. Avec son revêtement tweed classique et sa réverbération à ressort, il excelle en blues Chicago ou Texas, alliant sonorité vintage authentique à une fiabilité moderne pour concerts et studios.",800,55,61,60,6,"{'Puissance': '60W', 'Haut-parleurs': '2x12"" ou 4x10""', 'Tubes préampli': '2x12AX7, 1x12AT7 ou 3x12AX7', 'Tubes de puissance': '2x6L6 ou 2x6L6GC', 'Canaux': '2 (Clean & Drive)', 'Effets': 'Reverb à longue ressort', 'Impédance entrée': '150 ohms', 'Impédance sortie': '2250 ohms', 'Connectique': 'Entrées 1/4"" mono (2x input, footswitch), footswitch', 'Commutation': 'Relais 24V DC pour canaux'}",https://mojotone.com/blogs/fender-field-guide/fender-blues-deville,87.29,0.0,0
