id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K098FKYZK365Q1EHNYPTBHJS,ARTURIA - KEYLAB 49,Clavier MIDI,KEYLAB 49,"Clavier maître 49 touches pensé pour la scène et le studio, le KeyLab 49 offre un jeu confortable et expressif, complété par de nombreux faders, knobs et pads pour piloter logiciels et synthés externes avec une grande aisance, notamment via l’intégration poussée avec Analog Lab et les principaux DAW.",190,79.0,7.0,79.5,6.3,"{'Nombre de touches': '49', 'Type de touches': 'Vélocité sensible, hybride synthé-piano', 'Pads': '8 pads tactiles et sensibles à la pression', 'Encodeurs': '9 encodeurs rotatifs + 1 encodeur principal cliquable', 'Faders': '9 faders de 30 mm', 'Connectique': 'USB-C, MIDI 5-pin DIN sortie, entrée pédale (sustain, expression, footswitch)', 'Alimentation': 'USB-C', 'Arpégiateur': 'Multi-modes (up, down, inclusive, exclusive, random, note order)', 'Modes': 'Chord mode, Scale mode, Hold, Transpose demi-ton', 'Écran': 'LCD 2.5 pouces', 'Compatibilité DAW': 'Scripts personnalisés pour Ableton Live, Logic Pro, FL Studio, Cubase, Bitwig Studio, MCU/HUI'}",https://www.arturia.com/products/hybrid-synths/keylab-mk3/overview,83.1,0.0,0
01K098FQP6HDFBJR9QHRDHSVSA,ARTURIA - KEYLAB 88 MK2,Clavier MIDI,KEYLAB 88 MK2,"Clavier maître 88 notes haut de gamme avec toucher lourd de type piano, le KeyLab 88 Mk2 combine une mécanique Fatar précise avec pads RGB, faders, potards et commandes DAW dédiées pour piloter aussi bien vos plugins qu’un setup studio ou live complet, y compris du matériel analogique via ses connexions étendues.",739,129.3,11.2,129.3,14.70,"{'Clavier': '88 touches Fatar TP/100LR', 'Action': 'Hammer-action', 'Sensibilité': 'Vélocité et aftertouch', 'Pads': '16 pads RGB rétroéclairés', 'Faders': '9 faders', 'Potentiomètres': '9 potards rotatifs', 'Sorties CV/Gate': '4 sorties (pitch, gate, modulation)', 'Entrée CV': '1 entrée', 'Connectique MIDI': 'Entrée et sortie MIDI', 'Connectique USB': 'USB classe-compliant', 'Entrées pédales': 'Sustain, expression, 3 auxiliaires assignables', 'Logiciels inclus': 'Analog Lab (7000 sons), Ableton Live Lite, Piano V, Wurli V, Vox Continental V', 'Compatibilité DAW': 'Pro Tools, Logic Pro X, FL Studio, Bitwig, Cubase, Ableton Live, Studio One (via MCU/HUI)', 'Formats plugins': 'VST, VST3, AU, AAX, Standalone'}",https://www.arturia.com/products/hybrid-synths/keylab-88-mkii/overview,86.77,0.0,0
01K098FVCBM88A3QDBEAYNCPZE,AKAI PROFESSIONAL - APC 40,Clavier MIDI,APC 40,"Contrôleur conçu pour Ableton Live, l’APC40 offre une matrice de 40 pads pour lancer vos clips d’un coup d’œil grâce au retour lumineux couleur, plus des faders, potentiomètres et un crossfader dédiés pour mixer, gérer effets, envois et transports sans toucher à l’ordinateur.",300,42.9,6.7,42.9,2.64,"{'Alimentation': '12V 2.0A pin-positive (incluse), USB', 'Connectique': 'USB, 2 entrées footswitch assignables', 'Pads': '40 pads (matrice 5x8) avec feedback RGB', 'Faders': '9 faders', 'Potentiomètres': '16 (8 knobs globaux + 8 knobs piste, avec LED rings)', 'Autres contrôles': '1 crossfader A/B assignables, Tap Tempo, Nudge Tempo, enregistrements, solo/cues, 70 interrupteurs fonction/contrôle'}",https://www.akaipro.com/apc40.html,73.73,0.0,0
01K098FZ3RDYA1YS2PD3Q61PB7,M-AUDIO  - CONTROL 49,Clavier MIDI,CONTROL 49,"Le M-Audio CTRL49 est un contrôleur MIDI USB polyvalent et complet, idéal pour les musiciens en studio ou en live. Ses 49 touches semi-lestées réactives au vélocité, ses 16 pads éclairés sensibles, son pad tactile X/Y et ses molettes assignables offrent un contrôle expressif et intuitif pour vos DAW et instruments virtuels, boostant créativité et productivité.",149,81.0,9.9,80.3,6.9,"{'Connectique': 'Port USB de type B (bus-powered), 2x ports MIDI DIN 5 broches (In, Out), 1x entrée pédale de sustain (jack 6,35 mm), 1x entrée pédale d’expression (jack 6,35 mm), entrée pour bloc d’alimentation externe', 'Clavier': '49 touches pleine taille, sensibles à la vélocité, avec aftertouch (canal)', 'Pads': '8 pads rétroéclairés sensibles à la vélocité', 'Contrôles': '8 encodeurs rotatifs, 9 faders, boutons de transport Mackie/HUI, boutons de navigation et de fonction pour le contrôle de STAN/plug-ins', 'Alimentation': 'Alimentation par bus USB ou adaptateur secteur externe', 'Fonctionnalités MIDI': 'Contrôleur USB/MIDI complet avec intégration VIP, contrôle Mackie/HUI pour les principales STAN'}",https://support.m-audio.com/en/support/solutions/articles/69000818362-m-audio-ctrl49-frequently-asked-questions,85.07,0.0,0
01K098G2TYQ2N82X2ZZPM0CNWK,M-AUDIO  - AXIOM AIR 49,Clavier MIDI,AXIOM AIR 49,"Clavier maître USB/MIDI 49 touches synth-action avec aftertouch, l’Axiom AIR 49 offre un contrôle créatif complet grâce à ses pads rétroéclairés sensibles à la vélocité et à la pression, ses faders longs, boutons et encodeurs assignables. Pensé comme centre de commande de studio, il s’intègre rapidement aux principaux logiciels via la technologie HyperControl et le logiciel Ignite fourni, pour passer sans friction de l’idée au morceau abouti.",219,79.7,7.6,79.7,4.3,"{'Touches': '49 synth-action avec aftertouch', 'Pads': '12 trigger pads sensibles à la vélocité et à la pression', 'Faders': '9 faders long-throw 70 mm', 'Rotary encoders': '8 potentiomètres rotatifs', 'Boutons': '9 boutons assignables', 'Connectique': 'USB, MIDI In/Out', ""Banques d'assignation"": '3 banques pour pads et knobs', 'Mémoire': '128 emplacements', 'Écran': 'LCD rétroéclairé', 'Technologie': 'HyperControl pour mapping automatique DAW'}",https://m-audio.com/assets/documents/Axiom-AIR-25-49-61-User-Guide-v1.0.pdf,83.41,0.0,0
01K098G6JA5SZTFQSM3K9021VZ,M-AUDIO - AXIOM 49,Clavier MIDI,AXIOM 49,"Le M-Audio Axiom 49 est un contrôleur MIDI USB à 49 touches semi-lestées ultra-expressives, idéal pour transformer vos idées en pistes percutantes. Ses 8 pads Trigger Finger sensibles capturent des beats avec un feeling incroyable, tandis que le mode DirectLink mappe automatiquement les potards, faders et boutons sur votre DAW pour un contrôle intuitif et créatif en studio ou en live.",250,79.7,7.3,79.7,4.8,"{'Nombre de touches': '49 (semi-lestées, sensibles à la vélocité, aftertouch assignable)', 'Contrôles': '8 encodeurs rotatifs, 9 faders 40 mm, 8 pads de frappe sensibles à la vélocité, 15 boutons de déclenchement assignables, molettes de pitch bend et modulation, pavé numérique, boutons de transport', 'Mémoire interne': '20 emplacements utilisateur', 'Compatibilité MIDI': 'USB-MIDI, MIDI In, MIDI Out', 'Alimentation': 'Bus USB ou adaptateur secteur optionnel', 'Fonctions de contrôle DAW': 'Mode DirectLink pour le contrôle automatique du transport, du mixeur, du panoramique de piste et des paramètres d’instruments virtuels'}",https://inmusicbrands.com/m-audio/downloads/Axiom_UG_EN01.pdf,83.59,0.0,0
01K098GA87HYBWWRXSGA4J3ZM0,M-AUDIO  - AXIOM PRO 49,Clavier MIDI,AXIOM PRO 49,"Clavier maître USB/MIDI 49 notes conçu pour le studio, l’Axiom Pro 49 se distingue par son clavier semi-lesté TruTouch très expressif et sa surface de contrôle complète, avec faders, encodeurs, pads de percussion et commandes de transport. Grâce à la technologie HyperControl, il se connecte en profondeur aux principaux DAW pour un pilotage automatique des mixeurs, plug-ins et instruments virtuels, ce qui en fait un contrôleur central efficace pour la production et la scène.",120,82.0,8.0,80.6,7.52,"{'Clavier': '49 touches semi-lestées TruTouch™', 'Aftertouch': 'Oui (assignable)', 'Pads': '8 pads sensibles à la vélocité', 'Faders': '9 faders 40mm avec boutons assignables et auto-mute', 'Encodeurs': '8 encodeurs rotatifs rotatifs sans fin', 'Boutons': '12 boutons en arrangement pavé numérique + 6 boutons transport + 7 touches fonction', 'Écrans': 'Écran LCD graphique 128x64 pixels rétroéclairé', 'Modes': '50 emplacements mémoire (4 profils chacun)', 'Zones clavier': '4 zones programmables', 'Connectique': 'USB (bus-powered), MIDI In, MIDI Out, pédale sustain, pédale expression', 'Technologie': 'HyperControl pour mapping automatique DAW', 'Aftertouch canal': 'Oui'}",https://www.m-audio.com/legacy/axiom-pro-49.html,85.16,0.0,0
01K098HF40Q0PTBHH9Q65A9T17,ROLAND  - A90EX,Clavier MIDI,A90EX,"Le Roland A-90EX est un clavier maître 88 notes à mécanique marteau très expressive, pensé comme un véritable piano de scène pour pianistes exigeants, avec aftertouch et un toucher proche d’un grand acoustique. Grâce à son module VE-RD1 intégré, il devient un piano numérique/synthé complet, offrant une sélection de sons de qualité (dont de très bons pianos stéréo) et des effets intégrés, tout en restant une plateforme de contrôle MIDI puissante et intuitive pour piloter jusqu’à 8 zones et des configurations complexes en live ou en studio.",450,134.6,13.5,134.6,24.5,"{'Polyphonie maximale': '64 voix', 'Touches': '88 touches (mécanisme PA-4 hammer-action avec vélocité et aftertouch par canal)', 'Mémoire patches': '128', 'Parties': '4', 'Zones': ""Internes: 4 + Externes: 4 (jusqu'à 8 externes)"", 'Sorties MIDI': '4 indépendantes (64 canaux MIDI)', 'Effets': 'Reverb, chorus, égaliseur', 'Niveau de sortie nominal': '-10 dBm (sorties balanced et unbalanced)', 'Impédance de sortie': '600 Ω (balanced), 300 Ω (unbalanced)', 'Affichage': 'LCD 3 caractères rétroéclairé + LCD 17 caractères 2 lignes rétroéclairé'}",http://cdn.roland.com/assets/media/pdf/A-90_OM.pdf,90.42,0.0,0
01K098GDY1WNZKGVPSTH0CH3VW,M-AUDIO  - AXIOM PRO 61,Clavier MIDI,AXIOM PRO 61,"Clavier maître USB MIDI 61 touches semi-lestées TruTouch, l’Axiom Pro 61 offre un jeu expressif et confortable, proche d’un piano, tout en restant léger et facile à transporter. Grâce à la technologie HyperControl, ses nombreux contrôleurs (pads, potentiomètres, faders, boutons) se mappent automatiquement aux principales STAN comme Pro Tools, Cubase, Logic ou Reason, pour piloter mixeur, instruments virtuels et transports sans configuration complexe. Son écran LCD centralise les informations de contrôle, facilite le rappel de presets et permet de gérer jusqu’à 50 mémoires avec plusieurs profils pour s’adapter rapidement à chaque set ou session de studio.",300,97.6,8.0,97.6,8.5,"{'Nombre_de_touches': '61 (clavier semi-lesté TruTouch, sensible à la vélocité avec aftertouch)', 'Alimentation': 'USB (auto-alimenté par le bus USB)', 'Connectique': 'Port USB, MIDI In, MIDI Out, 1 entrée pédale de sustain, 1 entrée pédale d’expression', 'Mémoire_interne': '50 emplacements de mémoire avec 4 profils par emplacement', 'Contrôleurs_MIDI': '8 encodeurs rotatifs, 9 faders 40 mm avec fonction auto-mute, 8 pads de déclenchement sensibles à la vélocité, 9 boutons associés aux faders, 12 boutons en pavé numérique, 6 boutons de transport, 7 touches de fonction, molette de pitch bend, molette de modulation, bouton data/octave', 'Zones_clavier': '4 zones de clavier programmables', 'Compatibilité_hôtes': 'Contrôle avancé des STAN via HyperControl (dont Pro Tools, Cubase, Logic, Reason)'}",https://www.m-audio.com/legacy/axiom-pro-61.html,86.17,0.0,2
01K098GHPAWH4JWQ8KZ9EHKE1G,M-AUDIO - PROKEYS 88,Clavier MIDI,PROKEYS 88,"Le M-Audio ProKeys 88 est un piano de scène premium avec clavier hammer-action à 88 touches, offrant un toucher réaliste de grand piano et 14 sons intégrés de haute qualité comme piano acoustique, électrique, orgue et plus. Parfait pour les lives et studios, il excelle en split/layer simultanés, contrôle MIDI intuitif et EQ dédié pour un son puissant et expressif.",599,139.4,10.9,139.5,11.1,"{'Touche': '88 touches hammer-action', 'Sons intégrés': '14 sons haute qualité', 'Polyphonie': 'Minimum 32 notes', 'Réponse en fréquence': '20 Hz - 20 kHz', 'Portée dynamique': '108 dB', 'Connectique': 'USB, MIDI In/Out, 1/4"" jack (sortie audio, entrée ligne/micro), DC 12V', 'Contrôles': '3 faders volume (split, layer, master), 2 potards EQ (basses, aigus), roue pitch bend, roue modulation', 'Alimentation': '12V DC, 500 mA (centre positif)'}",https://c3.zzounds.com/media/050523_PK88_UG_EN01_V1-10450fba7a299d35c851f278499884f3.PDF,84.32,0.0,0
