id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K098D081N2KY61HKHSYVBE7M,KAWAI - MP9000,Piano numérique,MP9000,"Piano de scène 88 notes en bois au toucher très proche d’un piano à queue grâce à la mécanique Enhanced AWA Grand Action, le Kawai MP9000 offre des sonorités de piano acoustique riches et expressives issues du savoir‑faire Kawai, avec 16 sons internes, effets intégrés et fonctions avancées de contrôle MIDI pour une utilisation aussi efficace sur scène qu’en studio.",600,144.8,19.7,144.8,33.11,"{'Clavier': '88 touches en bois avec action Enhanced AWA Grand Action', 'Polyphonie': '64 notes', ' Sons internes': '16', 'Effets Reverb': '7 types (Plate, Room 1, Room 2, Stage 1, Stage 2, Hall 1, Hall 2)', 'Effets EFX': '21 types', 'Égaliseur': '4 bandes', 'Contrôles': '4 potards multifonctions, roues de pitch bend et modulation', 'Sorties': 'XLR symétriques, jack stéréo, casque', 'Entrées pédales': 'Damper/soft (double pédale), contrôle momentary, contrôle variable', 'MIDI': 'In, Out, Thru', 'Zones': '2 internes, 2 externes', 'Setups': '64 (32 chaînables)'}",https://kawaius.com/wp-content/uploads/2019/04/Kawai-MP9000-Digital-Piano-Manual.pdf,88.35,0.0,0
01K098D3VDWKPFXGAWK9G09SRM,NORD - PIANO 4 88,Piano numérique,PIANO 4 88,"Piano de scène 88 notes conçu pour offrir un toucher de piano acoustique très réaliste grâce au clavier lourd Triple Sensor et à la technologie Virtual Hammer Action, avec des sons de pianos acoustiques et électriques de haute qualité, une section sample simple à utiliser, des fonctions de split/layer et des transitions fluides pensées pour le jeu en live.",2300,128.7,12.1,128.7,18.5,"{'Polyphonie Piano': '120 voix', 'Polyphonie Sample Synth': '30+ voix', 'Mémoire Piano': '1 GB', 'Mémoire Sample': '512 MB', 'Clavier': '88 touches, Triple Sensor, Virtual Hammer Action', 'Courbes Dynamiques': '3', 'Connectique Audio': '2 sorties L/R 1/4"", entrée monitor 1/8"", sortie casque 1/4""', 'Connectique MIDI': 'MIDI In/Out 5-pin DIN, USB type B', 'Pédalier': 'Nord Triple Pedal (Dynamic Sustain Pedal)', 'Effets': 'Pan, Tremolo, Wah, Ring Modulator, Phaser, Flanger, Chorus, Vibe, Comp/Amp, EQ 3 bandes, Reverb (Room/Stage/Hall), Delay', 'Filtres Piano': 'Soft, Mid, Bright', 'Résonance Cordes': 'Génération 2, ajustable', 'Soft Release': 'Sélectionnable', 'Bruit Pédale': 'Ajustable'}",https://www.nordkeyboards.com/legacy-products/nord-piano-4/specifications/,87.14,0.0,0
01K098D7EWJMSBYQGGTX8X3QN2,NORD  - PIANO 3 88,Piano numérique,PIANO 3 88,"Le Nord Piano 3 88 est un piano de scène premium avec clavier lesté 88 touches à triple capteur et toucher grand piano réaliste. Il offre une vaste bibliothèque de pianos acoustiques, électriques et numériques, une polyphonie étendue, des effets intégrés et un contrôle intuitif pour des performances live exceptionnelles.",4600,128.7,11.8,128.7,2,"{'Mémoire Piano': '2 Go', 'Polyphonie Piano': '120 voix', 'Mémoire Synthé': '480 Mo', 'Polyphonie Synthé': '34 voix', 'Connectique': 'MIDI In/Out (5-pin DIN), USB type B, pédale sustain (1/4""), pédale contrôle (TRS 1/4""), pédale program change (1/4"")', 'Écrans': 'OLED pour programme et section synthé'}",https://www.nordkeyboards.com/legacy-products/nord-piano-3/specifications/,83.66,0.0,0
01K098DB2M6EDAXJX6TM8NFMF6,NORD - PIANO 2 88,Piano numérique,PIANO 2 88,"Le Nord Piano 2 88 est un piano de scène haut de gamme pensé pour les pianistes exigeants, avec un clavier lourd à marteaux offrant une sensation proche d’un piano acoustique et un large choix de sonorités de pianos et claviers classiques, complété par des effets simples à utiliser pour la scène.",1100,128.7,12.1,128.7,18.4,N/A,https://www.nordkeyboards.com/legacy-products/nord-piano-2/specifications/,0.0,0.0,5
01K098DEPT8WE4ATY1BZMN4F6K,YAMAHA  - N3 AVANT GRAND,Piano numérique,N3 AVANT GRAND,"Hybride haut de gamme, le Yamaha AvantGrand N3 offre la mécanique complète d’un piano à queue acoustique avec touches Ivorite pour un toucher authentique, associée à un système sonore multicanal qui restitue fidèlement un grand concert Yamaha grâce au Spatial Acoustic Sampling, au Soundboard Resonator et au Tactile Response System pour des sensations de jeu immersives et naturelles, au casque comme sur scène.",12000,148.1,101.4,148.1,199,N/A,https://usa.yamaha.com/products/musical_instruments/pianos/avantgrand/n3/specs.html,0.0,0.0,5
01K098DJE2ZYM4T3GF2E9WB7P7,YAMAHA  - CLP175,Piano numérique,CLP175,"Le Yamaha CLP-175 est un piano numérique Clavinova haut de gamme à touches en bois, offrant un toucher authentique et expressif proche d'un piano acoustique. Idéal pour les répétitions et créations en studio, il excelle par sa sonorité riche et ses fonctions polyvalentes pour une expérience musicale immersive.",800,135.6,91.6,1.43,75.0,"{'Polyphonie': '128 voix (max)', 'Nombre_de_sons': '14 sonorités', 'Clavier': '88 touches bois avec mécanique GH (Graded Hammer)', 'Réponse_toucher': '3 courbes + fixe', 'Système_amplification': '2 voies avec iAFC intégré', 'Puissance_sortie': '60 W (2 x 30 W)', 'Pédales': '3 pédales intégrées avec fonction demi-pédale', 'Modes_clavier': 'Dual, Split, Duo', 'Connectique_audio': 'Sorties casque x2 (jack stéréo 6,35 mm)', 'Connectique_MIDI': 'MIDI In, MIDI Out, MIDI Thru', 'Connectique_USB': 'Port USB To Host', 'Fonctions': 'Métronome, enregistreur de morceaux, transposition, accord fin, effets Reverb/Chorus/DSP, égaliseur, réglage brillance', 'Mémoire_interne': 'Enregistrement de morceaux utilisateur', 'Accordage_de_référence': 'A3 = 440 Hz réglable', 'Canaux_MIDI': 'Transmission clavier sur 4 canaux (Main, Left, Layer, Left Layer), réception sur 16 canaux'}",https://usa.yamaha.com/files/download/other_assets/4/323994/CLP175E2.pdf,76.79,0.0,0
01K098DP327VTZMFQFE15E80GQ,YAMAHA  - CP1,Piano numérique,CP1,"Le Yamaha CP1 est un piano de scène premium à 88 touches lestées en bois NW-STAGE, offrant une modélisation SCM fidèle des pianos acoustiques et vintage électriques. Son toucher expressif et ses Performances optimisées en font l'instrument idéal pour les concerts live, avec une grande polyphonie et une personnalisation aisée des sons.",2600,138.5,17.3,138.43,27.21,"{'Polyphonie maximale': '128', 'Générateur de son': 'SCM (Spectral Component Modeling)', 'Clavier': '88 touches, NW-STAGE (bois, ivoire synthétique, pondéré)', 'Performances': 'Preset: 16 x 3 banques, User: 16 x 3 banques, External: 16 x 3 banques (USB)', 'Parties': '2', 'Types de piano': '17', 'Effets de modulation': '10 types', 'Effets power-amplifier/compressor': '8 types', 'Réverbération': '8 à 11 types', 'Égaliseur maître': '5 bandes', 'Connectique sortie ligne': 'L/MONO, R (non balancée), L, R (balancée)', 'Connectique casque': 'Prise casque stéréo', 'Connectique pédales': 'Sustain, Sostenuto, Soft, Assignable', 'Contrôleurs de pied': '2', 'MIDI': 'In, Out, Thru', 'USB': 'To host, To device', 'Consommation': '28 W'}",https://usa.yamaha.com/files/download/other_assets/5/314385/cp1_en_ig_a0.pdf,88.99,0.0,0
01K098DSQW5K6KC5XYA46NPVJD,YAMAHA  - CP300,Piano numérique,CP300,"Le Yamaha CP300 est un piano de scène premium à 88 touches Graded Hammer, offrant un toucher authentique et une sonorité de concert exceptionnelle grâce à son système AWM stéréo. Idéal pour les concerts et répétitions, il intègre des haut-parleurs stéréo puissants, un mode Performance polyvalent et un enregistreur 16 pistes pour une créativité optimale.",2200,139.1,17.0,139.1,32.5,"{'Nombre de touches': '88', 'Type de clavier': 'GH (Graded Hammer)', 'Touch initiale': 'Oui', 'Polyphonie maximale': '128', 'Technologie sonore': 'AWM Dynamic Stereo Sampling', 'Nombre de voix': '480 + 12 kits de batterie + 50 voix XG', 'Effets Reverb': '24 types', 'Effets Chorus': '24 types', 'Égaliseur maître': '5 bandes', ""Effet d'insertion"": '112 types', 'Enregistrement': '16 pistes, capacité max. 1,4 MB, 140 000 notes', 'Connectique MIDI': 'IN / OUT / THRU', 'Connectique USB': 'Oui', 'Connectique Foot Controller': '1 jack', 'Connectique AUX': 'INPUT L/MONO R', 'Consommation': '48 W', 'Haut-parleurs intégrés': 'Oui (système stéréo)'}",https://usa.yamaha.com/files/download/other_assets/6/334946/cp300_en_om_c0.pdf,90.56,0.0,1
01K098DXDXNZ5AJ1EYZWNVA8AP,YAMAHA  - P250,Piano numérique,P250,"Le Yamaha P-250 est un piano de scène professionnel offrant un toucher réaliste grâce à son clavier martelé graduel sur 88 touches, imitant fidèlement un piano acoustique. Ses échantillons stéréo dynamiques de pianos acoustiques, enrichis de résonances de cordes et de notes off, délivrent un son expressif et puissant via un système amplifié intégré performant, idéal pour les répétitions et les concerts en backline.",800,139.1,2,2,32.5,"{'Clavier': '88 touches, Graded Hammer', 'Polyphonie': '128 notes', 'Voix panel': '45 voix', 'Voix XG': '480 voix + 12 kits de batterie', 'Effets': 'Reverb (5 types panel, 18 XG), Chorus (3 types panel, 19 XG), Insertion (13 types panel, 123 XG)', 'Égaliseur': '5 bandes avec Q variable', 'Modes': 'Dual, Split', 'Séquenceur': '16 pistes, 150000 notes, 224 chansons max', 'Amplificateur': '30 W x 2', 'Haut-parleurs': '16 cm x 2 (polypropylène)', 'Connectique': 'L/MONO R (sorties), L/MONO R (entrées auxiliaires), PHONES, MIDI IN/OUT/THRU, TO HOST, USB, 4 pédales assignables', 'Générateur de son': 'AWM, 3-layer Dynamic Stereo Sampling'}",https://fr.yamaha.com/files/download/other_assets/5/333635/P-250_fr.pdf,78.4,0.0,0
01K098E13C17X2KAE3NJ3ASC4P,YAMAHA  - P200,Piano numérique,P200,"Piano de scène numérique professionnel avec 88 touches lourdes au toucher piano, le Yamaha P-200 offre un son de piano acoustique riche, des orgues à tirettes réalistes et quelques sons essentiels (pianos électriques, cordes, basses), le tout avec une amplification intégrée robuste et des commandes simples pour la scène.",750,138.9,16.6,138.9,30,"{'Générateur de son': 'AWM', 'Polyphonie': '64 notes', 'Clavier': '88 touches (A1 à C7), effet marteau gradué (Graded Hammer)', 'Voix': 'Piano 1-2 (stéréo/mono), Piano 3-4, Piano électrique 1-3, Vibes, Orgue 1-2, Cordes, Basse (acoustique/électrique)', 'Effets': 'Réverbération (Room, Stage, Hall, Off), Modulation (Chorus, Symphonic, Tremolo, Off)', 'Égaliseur': '3 bandes (LOW, MIDDLE, HIGH)', 'Amplificateurs': '30 W x 2', 'Connectique entrée': 'Foot Controller, Sustain, Sosténuto, Soft, Line In (L/Mono, R, jack 1/4"")', 'Connectique sortie': 'Line Out (L/Mono, R, jack 1/4"" déséquilibré), Phones', 'Terminaux MIDI': 'MIDI IN/OUT/THRU', 'Impédance sortie': '600 Ω', 'Impédance entrée': '10 kΩ', 'Consommation électrique': '55 W'}",https://usa.yamaha.com/files/download/brochure/9/324599/p-200_en_01.pdf,90.23,0.0,1
01K42RYWDH4PXFCE96PB5F7TDY,NORD - ELECTRO 2,Piano numérique,ELECTRO 2,"Le Nord Electro 2 excelle en simulation d'orgue B-3 authentique avec barres de tir numériques et polyphonie complète, complétée par des pianos électriques multisamples premium (Rhodes, Wurlitzer, Clavinet) et un grand piano acoustique stéréo. Ses effets variés (rotary, overdrive, chorus...) et 48 mémoires en font un clavier polyvalent et portable idéal pour la scène.",650,3,9.6,90,7.8,"{'Mémoire utilisateur': '48 emplacements (6 banques de 8 programmes)', 'Polyphonie orgue': 'Polyphonie complète', 'Tirettes orgue': '9 tirettes électriques avec fonctionnalité mémoire', 'Effets': 'Overdrive, simulation Rotary Speaker (lent, rapide, stop), Égaliseur, Chorus (2 types), Flanger (2 types), Phaser (2 types), Tremolo, Auto Wah, Wah-Wah (2 types), Auto panning, Ring modulation', 'Clavier': '61 touches (5 octaves) ou 73 touches (6 octaves), semi-lesté sensible à la vélocité, type waterfall', 'Connectique': '2 sorties audio, 1 sortie casque, 1 entrée pédale contrôle, 1 entrée pédale sustain, 1 entrée pédale commutateur vitesse Rotary Speaker, MIDI In/Out, USB', 'Pianos': 'Rhodes Mk I Stage, Rhodes Mk I Suitcase, Wurlitzer 200A, Clavinet D6, Clavia Electric Grand G, Grand Piano acoustique stéréo'}",https://www.nordkeyboards.com/wt/documents/197/Nord%20Electro%202%20English%20User%20Manual%20v3.0x%20Edition%20A.pdf,75.38,0.0,1
