id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0970TTAFCAMHQSWCMDR378D,ARBITER - FUZZ FACE,Pédales Guitare,FUZZ FACE,"Le légendaire Arbiter Fuzz Face offre un fuzz vintage iconique, épais et woolly, idéal pour grunge et sludge, avec un design rond unique inspiré d'un pied de micro et une réactivité parfaite aux micros guitare.",7761.0,17.8,6.4,,0.8,"{'Contrôles': 'Volume, Fuzz', 'Alimentation': 'Batterie 9V', 'Connectique': 'Entrée jack (gauche), Sortie jack (droite)', 'Transistors': 'Germanium NKT275 (versions originales), Silicium (certaines versions)', 'Interrupteur': 'Footswitch sans LED'}",N/A,0.0,0.0,5
01K0970XVSJMZKYW5CNSZWMN80,BOSS - DD-7 DIGITAL DELAY,Pédales Guitare,DD-7 DIGITAL DELAY,"Le BOSS DD-7 Digital Delay offre jusqu'à 6,4 secondes de délai, avec un mode Hold pour 40 secondes de boucle sound on sound. Ses modes innovants incluent Modulation pour des sons chorus naturels, Analog modélisant le chaleureux DM-2, et Reverse, plus sorties stéréo et contrôle externe pour une polyvalence scène/studio idéale.",109.0,12.9,5.9,7.9,0.44,"{'Temps de délai maximum': '6,4 s', ""Temps d'enregistrement maximum (mode Hold)"": '40 s (mono), 20 s (stéréo)', ""Niveau d'entrée nominal"": '-20 dBu', ""Impédance d'entrée"": '1 MΩ', 'Niveau de sortie nominal': '-20 dBu', 'Impédance de sortie': '1 kΩ', 'Impédance de charge recommandée': '10 kΩ ou plus', 'Alimentation': '9 V DC (batterie 9 V ou adaptateur AC PSA-series optionnel)', 'Consommation courante': '55 mA', 'Connectique': ""Entrée(s) stéréo, sorties stéréo, prise pour footswitch externe (FS-5U), pédale d'expression (Roland EV-5)"", 'Modes de délai': 'Standard (50/200/800/3200 ms), Modulation, Analog (DM-2), Reverse, Hold', 'Contrôles': 'E.LEVEL, F.BACK, D.TIME, MODE, interrupteur au pied'}",https://www.bhphotovideo.com/lit_files/84955.pdf,67.17,0.0,2
01K09710WSCGQ0DNKS2PJADGWN,BOSS - FS-5L FOOT SWITCH,Pédales Guitare,FS-5L FOOT SWITCH,"Le Boss FS-5L est un footswitch à enclenchement robuste en châssis acier, avec LED indicateur, idéal pour basculer les canaux d'amplis comme les Katana en live. Parfait pour les musiciens en tournée grâce à sa fiabilité et sa polyvalence.",52,9.6,4.3,9.6,0.24,"{'Connectique': '1/4"" jack (TS mono)', 'Alimentation': 'Piles alcalines AAA (R03/LR03) × 2', 'Type de switch': 'Latching (verrouillable)', 'Polarité': 'Switchable', 'Indicateur': 'LED'}",https://www.boss.info/us/products/fs-5u_5l/,66.61,0.0,0
01K09713Y57YFWGSW2DZM11KWJ,BOSS - FV-500 H VOLUME MONO,Pédales Guitare,FV-500 H VOLUME MONO,"Le BOSS FV-500H est un pédalier volume mono haute impédance ultra-robuste en aluminium moulé, idéal pour guitares et basses. Mouvement fluide et précis, fonction expression, sortie accordeur pratique et réglage du volume minimum pour un contrôle parfait en live ou studio.",149,28.9,72,11.0,1.6,"{'Impédance': '250 kΩ (volume), 10 kΩ (EXP)', 'Connectique': 'Entrée jack, Sortie jack, EXP (Expression) jack, TUNER OUT jack', 'Contrôle': 'Bouton Minimum volume', 'Type': 'Haute impédance, Mono'}",https://support.roland.com/hc/en-us/articles/201935289-FV-500H-FV-500L-Specifications,81.48,0.0,0
01K09716ZXV9X3KZQAYNWS7VDR,BOSS - FV-500 L VOLUME STEREO,Pédales Guitare,FV-500 L VOLUME STEREO,"Le BOSS FV-500L est un pédalier de volume stéréo robuste en aluminium moulé sous pression, offrant un mouvement ultra-fluide et précis pour un contrôle optimal. Idéal pour claviers, effets et synthés, il excelle aussi en pédale d'expression grâce à sa construction indestructible et son action antidérapante confortable.",179,28.9,7.2,11.2,3,"{'Type': 'Pédale de volume stéréo', 'Impédance': 'Basse (20 kΩ en mode volume)', 'Potentiomètre EXP': '10 kΩ', 'Connectique': 'Entrées 1 et 2 (jack), Sorties 1 et 2 (jack), EXP (Expression) (jack), TUNER OUT (jack)', 'Contrôles': 'Bouton de volume minimum', 'Châssis': 'Aluminium moulé sous pression', 'Ressenti pédale': 'Réglable (couple)'}",https://20sound.com.au/Manuals/BOSS%20FV-500L%20pedal.pdf,74.45,0.0,0
01K0971A0XE5VR0ZYDQFW98ZBH,BOSS - LS-2 LINE SELECTOR,Pédales Guitare,LS-2 LINE SELECTOR,"Le BOSS LS-2 Line Selector est un pédalier compact idéal pour basculer facilement entre plusieurs amplis et effets. Avec ses deux boucles et six modes, il simplifie les setups multiples et alimente vos pédales BOSS compactes via adaptateur.",100,12.9,5.9,7.3,0.41,"{""Niveau d'entrée nominal"": '-20 dBu', ""Impédance d'entrée"": '1 MΩ', 'Niveau de sortie nominal': '-20 dBu', 'Impédance de sortie': '1 kΩ', 'Impédance de charge recommandée': '10 kΩ ou plus', 'Bruit résiduel': '-85 dBu ou moins (IHF-A, Typ.)', 'Consommation': '25 mA', 'Alimentation': '9 V (batterie ou adaptateur AC PSA)', 'Connectique': 'Entrée 6,35 mm, Sortie 6,35 mm, Send A/B 6,35 mm, Return A/B 6,35 mm, DC IN/OUT', 'Bypass': 'Buffered bypass', 'Modes': '6 modes de boucle'}",https://www.boss.info/global/products/ls-2/,67.13,0.0,0
01K0971D3CKQNCK8C5PKHK03AQ,BOSS - OS-2 OVERDRIVE DISTORTION,Pédales Guitare,OS-2 OVERDRIVE DISTORTION,"Le BOSS OS-2 OverDrive/Distortion est une pédale hybride compacte combinant deux circuits indépendants pour des overdrives riches et chaleureux inspirés des amplis lampes, et des distorsions précises et percutantes. Son réglage Color permet de les mixer en parallèle pour des sons polyvalents, du blues edgy au rock grunge saturé, avec une clarté exceptionnelle sur tout type de micro.",121,8,6.1,7.37,0.4,"{""Impédance d'entrée"": '1 MΩ', 'Impédance de sortie': '10 kΩ ou plus', 'Niveau de bruit équivalent': '-100 dBu ou moins (IHF-A, typ.)', 'Connectique': 'Entrée jack, Sortie jack, Adaptateur AC (DC 9 V)', 'Alimentation': 'DC 9 V (batterie 9 V type 6F22 ou adaptateur AC PSA)', 'Consommation': '12 mA (DC 9 V)', 'Contrôles': 'Color, Drive, Tone, Level', ""Niveau d'entrée nominal"": '-20 dBu', 'Niveau de sortie nominal': '-20 dBu'}",https://images.equipboard.com/uploads/item/manual/2068/boss-os-2-overdrive-distortion-manual.pdf,66.15,0.0,0
01K0971G55YTGPV33KQN7N1HVP,BOSS - RE-20 SPACE ECHO,Pédales Guitare,RE-20 SPACE ECHO,"Le BOSS RE-20 Space Echo recrée fidèlement le son chaleureux et légendaire du Roland RE-201 grâce à la technologie COSM, avec son effet wow/flutter caractéristique, une saturation analogique et une réverbération intégrée. Polyvalent en mono ou stéréo, il offre 11 à 12 modes d'écho et reverb, un tap tempo intuitif et un contrôle en temps réel via pédale d'expression pour des ambiances spatiales immersives idéales en live.",450,17.3,57,15.8,1.2,"{""Niveau d'entrée nominal"": '-20 dBu (potentiomètre INPUT VOLUME au centre), max +4 dBu', ""Impédance d'entrée"": '1 MΩ', 'Niveau de sortie nominal': '-20 dBu', 'Impédance de sortie': '1 kΩ', 'Impédance de charge recommandée': '10 kΩ ou plus', ""Connectique d'entrée"": ""2 x jack 6,35 mm (TS) non équilibrés, 1 x jack 6,35 mm pour pédale d'expression"", 'Connectique de sortie': '2 x jack 6,35 mm (TS) non équilibrés', 'Alimentation': '9 V CC (6 piles AA LR6/R6 ou adaptateur secteur PSA)', 'Consommation': '75 mA', 'Autonomie batterie (alcaline)': '32 heures (approximative)', 'Autonomie batterie (zinc-carbone)': '9 heures (approximative)', 'Modes': '11 modes (4 répétition, 1 réverbération seule, 7 réverbération/écho)', 'Temps de délai max (mode long)': '6 s'}",https://media.sweetwater.com/store/media/re-20_om.pdf,80.75,0.0,0
01K0971K7PHHM6W5JD1NC434V0,BOSS - RT-20 ROTARY ENSEMBLE,Pédales Guitare,RT-20 ROTARY ENSEMBLE,"Le BOSS RT-20 Rotary Ensemble recrée fidèlement les sons iconiques d'enceintes rotatives grâce à la technologie COSM, avec réglages précis de vitesse, overdrive et transition fluide. Idéal pour guitares ou claviers, il offre un affichage visuel captivant des rotors virtuels et des effets pulsants uniques, parfait pour enrichir vos rigs live chez Mulster.",295,17.3,5.7,17.3,2,"{""Niveau d'entrée nominal"": '-20 dBu', ""Impédance d'entrée"": '1 MΩ', 'Impédance de sortie': '1 kΩ', 'Impédance de charge recommandée': '10 kΩ', 'Alimentation': 'DC 9 V (6 piles AA ou adaptateur AC PSA)', 'Consommation électrique': '85 mA', 'Connectique': 'INPUT A (MONO) jack 6,35 mm, INPUT B jack 6,35 mm, SPEED (EXP PEDAL) jack 6,35 mm, PHONES jack stéréo 6,35 mm, OUTPUT A (MONO) jack 6,35 mm, OUTPUT B jack 6,35 mm, AC Adaptor jack'}",https://www.boss.info/us/support/by_product/?ProductCode=RT-20,73.3,0.0,0
01K0971P9EBNGFF5Q7JZSKZXB4,BOSS - TR-2 TREMOLO,Pédales Guitare,TR-2 TREMOLO,"Le BOSS TR-2 Tremolo offre un effet tremolo vintage fluide et de haute qualité dans un format compact et robuste, idéal pour studio et scène. Ses molettes Wave, Rate et Depth permettent un réglage précis, de l'ondulation douce à l'effet chopé rapide et intense.",100,12.9,5.9,7.3,0.4,"{""Niveau d'entrée nominal"": '-20 dBu', ""Impédance d'entrée"": '1 MΩ', 'Niveau de sortie nominal': '-20 dBu', 'Impédance de sortie': '1 kΩ', 'Impédance de charge recommandée': '10 kΩ ou plus', 'Niveau de bruit résiduel': '-90 dBu (IHF-A Weighted, Typ.)', 'Alimentation': 'DC 9 V', 'Consommation': '20 mA', 'Connectique': 'Entrée jack 1/4 pouce, Sortie jack 1/4 pouce, Entrée adaptateur AC (DC 9 V)', 'Bypass': 'Buffered bypass'}",https://muzforte.by/download-file/rukovodstvo-polzovatelya-boss-tr-2_eng-1.pdf,67.32,0.0,0
