id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0961T33WG2KAQ48X6FYCD3E,MARKBASS - COMBO 121 LITE ALAIN CARON,Combo Basse,COMBO 121 LITE ALAIN CARON,"Combo signature développé avec Alain Caron, ce Markbass ultra léger délivre un son très fidèle, puissant et dynamique grâce à son architecture bi-ampli, offrant une grande réserve de volume, une réponse pleine bande et une excellente définition pour tous les styles de jeu.",899,59,59,38.5,16.3,"{'Puissance woofer': '500W', 'Puissance tweeter': '300W', 'Haut-parleur': '1x12""', 'Tweeter': '1.25"" compression driver', 'Impédance entrée': '1 MΩ', 'Connectique entrée': 'INPUT (1 MΩ), AUX IN (10 kΩ), EFFECT RETURN (33 kΩ)', 'Connectique sortie': 'LINE OUT (XLR balanced), EFFECT SEND (unbalanced), TUNER OUT (unbalanced), PREAMP OUT (unbalanced), SPEAKER OUT (Speakon/1/4""), PHONES OUT (1/4"" 600 Ω)', 'Égalisation': 'LOW, MID LOW, MID HIGH, HIGH, VPF (380 Hz), VLE (250 Hz - 20 kHz)', 'Reflex': 'arrière', 'Bi-amplification': 'Oui'}",https://www.markbass.it/product/combo-121-lite-alain-caron/,95.36,0.0,0
01K096112BJ5GJFFQZRXC54PAA,AGUILAR  - AG500,Combo Basse,AG500,"L'AG 500 d'Aguilar est un ampli basse compact et puissant de 500 watts, idéal pour les musiciens en tournée ou en studio. Son EQ 4 bandes ultra-flexible avec boosts Deep et Bright sculpte un son massif et cristallin, tandis que les doubles XLR, boucle d'effets et sortie casque assurent une connectivité parfaite pour monitorage et FOH.",1199,34.5,8.9,43.18,5,"{'Puissance': '500W', 'Section Préampli': 'Solid State', 'Section Puissance': 'Classe D', 'Alimentation': 'Switching mode power supply (SMPS)', 'Égaliseur Bass': '±17 dB @ 40 Hz', 'Égaliseur Deep': '+6 dB <250 Hz', 'Égaliseur Low Mid': '±15 dB @ 300 Hz', 'Égaliseur High Mid': '±14 dB @ 800 Hz', 'Égaliseur Treble': '±14 dB @ 4 kHz', 'Égaliseur Bright': '+6 dB >3 kHz shelving', 'Entrées': '1x jack 1/4"" (instrument), 1x jack 1/8"" (aux)', ""Atténuateur d'entrée"": '-10 dB sélectionnable', 'Sorties HP': '1x Neutrik Speakon', 'Sortie DI': '2x XLR balanced (pre/post EQ, ground lift)', ""Boucle d'effets"": 'Série (ajout +6 dB gain)', 'Sortie Tuner': 'Oui', 'Sortie Casque': 'Oui', 'USB': '1x USB-C', 'Refroidissement': '2 ventilateurs silencieux à contrôle thermique', 'Charge Minimale': '2,67 ohms'}",https://aguilaramp.com/products/ag500,83.49,0.0,0
01K09613VDPP3SBYX90XRFVBFZ,AMPEG - BA600 210,Combo Basse,BA600 210,"Combo basse 600 W pensé pour la scène, le BA600-210 reste étonnamment léger et facile à transporter. Ses deux canaux offrent au choix un son vintage type B-15 ou un registre plus moderne et incisif, avec égalisation complète, Ultra Hi/Lo et compresseur intégré pour garder un niveau maîtrisé. Les deux haut-parleurs 10 associés au tweeter délivrent un grave précis et un aigu défini, tandis que la sortie DI à lampe, l’insert d’effets et le footswitch en font un combo très polyvalent pour les bassistes semi-pros et pros.",600,58.4,58.4,53.34,22.68,"{'Puissance': '600 W RMS @ 4 Ω', 'Impédance': '4 Ω', 'Haut-parleurs LF': '2 x 10 pouces néodyme 8 Ω 300 W', 'Haut-parleur HF': '1 corne HF avec contrôle de niveau', 'Préampli': 'Tube 12AX7 et 12AU7', 'Ampli de puissance': 'Classe D', 'Égaliseur': '3 bandes (Basses ±18 dB @ 40 Hz, Médiums ±18 dB @ 400 Hz, Aigus ±18 dB @ 10 kHz)', 'Contrôles tonaux Vintage': 'Basses ±12 dB @ 40 Hz, Aigus +12/-20 dB @ 4 kHz', 'Ultra Lo': '+9 dB @ 100 Hz', 'Ultra Hi': '+9 dB @ 8 kHz', 'Compresseur': 'Variable, seuil -30 dBV à -6 dBV', 'Connectique sortie ligne': 'XLR symétrique et jack 6,35 mm asymétrique avec niveau, pre/post EQ et ground lift', ""Boucle d'effets"": 'Oui, send/return séparés', 'Sortie accordeur': 'Oui', 'Footswitch': 'Sélection canal et mute', 'Alimentation': '100-120 VAC ou 220-240 VAC, 50-60 Hz, 720 VA'}",https://ampeg.com/pdf/BA600.pdf,98.33,0.0,1
01K09616KG6SSBAVBHRMTG0AW0,AMPEG  - BA115HPT,Combo Basse,BA115HPT,"L'Ampeg BA115HPT est un combo basse puissant à tube 12AU7, offrant un son chaud et défini avec son haut-parleur 15 et driver à compression. Idéal pour la scène grâce à son tuner intégré, sortie XLR équilibrée, entrée CD et mute silencieux.",550,53.34,53.34,2,36.29,"{'Puissance': '220W RMS à 4 ohms', 'Impédance': '4 ohms', 'Haut-parleurs': '1 x 15 pouces (250W, bobine 2,5 pouces) + 1 compression driver 1 pouce', 'Égaliseur': '3 bandes (Basses 40dB@50Hz, Medium 30dB@500Hz, Aigus 40dB@10kHz)', 'Préampli': 'Tube 12AU7', 'Entrées': '0dB et -15dB (jack instrument)', 'Sortie ligne': 'XLR balanced (post-EQ, 1,78V RMS)', 'Contrôles': 'Gain, Style (5 positions), Mute, Master, HF Level (L-pad)', 'Autres': 'Tuner chromatique intégré, CD input stéréo, Headphones'}",https://ampeg.com/pdf/BA115HP_210.pdf,86.85,0.0,0
01K09619C62A2FMBW7XC6FF1TG,AMPEG  - B15,Combo Basse,B15,"Combo basse tout lampes légendaire, l’Ampeg B-15 est devenu une référence en studio grâce à son son chaud, rond et chantant, idéal pour la soul, le rock et le jazz. Son célèbre design “fliptop” permet de ranger le bloc ampli dans le baffle pour le transport, tout en conservant un grave profond et musical via son HP 15.",2500,5,5,53.34,31.0,"{'Puissance': '100W RMS', 'Impédance': '8/4 Ohms', 'Réponse en fréquence': '40Hz - 4kHz', 'Haut-parleur': '15 pouces, 8 Ohms, 150W', 'Tweeter': 'Piezo haute efficacité, 8 Ohms, 150W', 'Fréquence de croisement': '3kHz', 'Entrées': '0dB (3M Ohms), -15dB (47k Ohms)', 'Connectique': 'Jack Line Out/Line In, XLR Balanced Line Out, Speaker Outputs 8/4 Ohms', 'Boost Ultra Hi': '6dB @ 4kHz', 'Boost Ultra Lo': '10dB @ 40Hz', 'Contrôle Bass': '25dB @ 40Hz', 'Contrôle Mid': '34dB @ 200/400/900/1.5k/2.5kHz', 'Contrôle Treble': '30dB @ 4kHz'}",https://ampeg.com/pdf/B-15R.PDF,81.96,0.0,1
01K0961C4NA1R3M9WJZGGN14XK,AMPEG  - B15 HERITAGE,Combo Basse,B15 HERITAGE,"L'Ampeg B-15 Heritage est un combo basse tout tube iconique, assemblé à la main aux USA, recréant fidèlement les circuits des modèles 1964 et 1966 avec double canal et bias sélectionnable pour un son vintage légendaire. Son baffle double innovant et son haut-parleur Eminence custom délivrent une tonalité chaude et puissante, idéale pour les studios et scènes live.",4000,5,5,53.34,43.1,"{'Puissance': '30W RMS (biais 1966) / 25W RMS (biais 1964)', 'Impédance': '4 Ω ou 8 Ω', 'Connectique': 'Sorties haut-parleurs (1x8Ω, 2x4Ω), Line Out, Entrées doubles par canal (0 dB et -15 dB)', 'Haut-parleur': '1x15 pouces Eminence custom (bobine 10,16 cm, aimant 109 oz)', 'Égaliseur': 'Baxandall Bass et Treble (par canal)', 'Préampli': '3x6SL7', 'Ampli de puissance': '2x6L6GC', 'Redresseur': '1x5AR4 ou 5U4G'}",https://ampeg.com/pdf/Heritage_B-15_OM.pdf,25.99,0.0,0
01K0961EY0D4KPECG8GJX6CH51,EBS  - DROME 150,Combo Basse,DROME 150,"Combo basse compact de 150 W pensé pour les petites scènes et le studio, le EBS Drome 150 offre un son clair et naturel avec un HP principal et tweeter, une section préampli très complète (simulateur de lampe, compresseur, filtres) et des fonctions pratiques pour jouer, s’enregistrer et travailler au casque.",650,50.8,50.8,43.18,17.24,"{'Puissance': '150 W RMS (dynamique et continue)', 'Réponse en fréquence': '60 Hz – 20 kHz', 'Impédance': '8 Ω (probable, non explicitement documenté, valeur standard pour ce type de combo)', 'Haut-parleurs': '1x haut-parleur 12"" + tweeter céramique', 'Égalisation': 'Égaliseur 3 bandes avec médiums paramétriques (mid stretch)', 'Filtres': 'Bright, notch (anti-larsen)', 'Compresseur': 'Compresseur / limiteur intégré', 'Simulateur de lampe': 'Circuit de simulation de préampli à lampes commutable', 'Sortie ligne': 'Sortie XLR symétrique avec simulateur de baffle intégré', 'Boucle d’effets': 'Boucle d’effets stéréo, série ou parallèle', 'Entrées auxiliaires': 'Entrée monitor stéréo (permet de mélanger une source externe)', 'Sortie casque': 'Sortie casque stéréo, avec coupure automatique du haut-parleur', 'Alimentation phantom': 'Alimentation phantom 9 V pour pédales'}",https://www.manualslib.com/manual/670400/Ebs-Drome-150.html,98.7,0.0,0
01K0961HPW9PYY5PETPS7H7GAR,EDEN - METRO,Combo Basse,METRO,"L'ampli combo Eden Metro offre un son puissant et polyvalent grâce à sa double préamplification à lampes et transistors, avec commutation au pied. Idéal pour les bassistes pros en tournée ou studio, il excelle par sa compression automatique, son contrôle tonal précis et sa connectivité complète (loops effets, aux stéréo).",600,70,58.4,57.5,27.2,"{'Puissance': '500W (750W sous 2 ohms)', 'Impédance': '2/4/8 ohms', 'Réponse en fréquence': 'Non spécifiée', 'Connectique': ""Boucles d'effets indépendantes par canal, entrée aux stéréo, sortie casque, mute tuner sur footswitch"", 'Haut-parleurs': '2x10 pouces', 'Préampli': 'Dual channel (tube et solid state), footswitchable', 'Contrôles': 'Compression automatique commutable, contrôle tonal 5 bandes semi-paramétrique, crossover électronique, pad -12dB', 'Autres': 'Interrupteur haut-parleur interne on/off'}",https://www.zzounds.com/item--EDEDC210XLT,95.96,0.0,0
01K0961MH0C5MZ0PWXNXRNRCW9,EPIFANI - 210UL,Combo Basse,210UL,"Baffle 2x10 néodyme ultra léger, le 210UL offre un son clair, précis et puissant avec un grave étonnamment ample pour son format, beaucoup de projection et un tweeter réglable pour adapter la brillance à chaque contexte de jeu.",800,1,2,58,17.1,"{'Haut-parleurs': '2 x 10"" néodyme + tweeter 100W RMS', 'Puissance': '500W RMS', 'Réponse en fréquence': '40Hz - 16kHz', 'Impédance': 'Sélectionnable 4 ou 8Ω', 'Sensibilité': '102dB (1W/1m)', 'Connectique': '2 x Speakon + 1/4""'}",https://epifani.com/wp-content/uploads/2019/10/Epifani_UL_Speaker_Cab_Manual.pdf,79.47,0.0,0
01K0961Q9W8DCFXE27TWS93KFA,GALLIEN-KRUEGER - MB150E,Combo Basse,MB150E/S,"Combo basse ultra-compact pensé pour les musiciens mobiles, le MB150E offre un son clair et précis avec suffisamment de puissance pour la scène grâce à son extension possible, tout en restant silencieux et fiable en studio.",550,43.2,39.4,34.93,11.8,"{'Puissance': '150W @ 4Ω (avec extension)', 'Haut-parleur': '1x12""', 'Égaliseur': '4 bandes actives (Bass @80Hz, Lo-Mid @500Hz, Hi-Mid @1kHz, Treble @5kHz)', 'Impédance entrée': '1MΩ', 'Impédance sortie Send': '1kΩ', 'Impédance retour': '70kΩ (MBE)', 'Impédance sortie ligne': '1kΩ', 'Impédance Direct Out': '500Ω', 'Connectique': ""Direct Out équilibré, boucle d'effets, Line Out, Speakon (extension)""}",https://static1.squarespace.com/static/52d881e0e4b093afad1a2ae2/t/54a313cce4b040ef97cdc499/1419973580300/Micro-Bass.pdf,94.17,0.0,1
