id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K099XSVBHRZ5WRTD4MC25V8P,PREMIER  - ELITE TIMBALES,Percussions Classiques,ELITE TIMBALES,"Jeu de timbales Premier Elite pensé pour les percussionnistes exigeants, offrant une projection puissante et un timbre clair et chaleureux, parfaitement adapté aux contextes orchestraux et aux grandes scènes.",800,75,85,35,206,"{'Matériau_fûts': 'Cuivre parabolique poli', 'Type_coque': 'Coque parabolique martelée ou lisse selon version', 'Système_de_tension': 'Accord par pédale style européen avec couronne de réglage fin', 'Type_de_peau': 'Peaux Remo Renaissance avec cercle d’insertion en aluminium', 'Plage_d_accord': 'Selon diamètre : environ D2–B2, F2–D3, A2–F3, C3–A4 pour les tailles standard d’orchestre', 'Système_d_accord': 'Pédale à action améliorée avec jauge d’accord inclinée à haute visibilité', 'Cerclage': 'Cerclage surdimensionné chromé de 2 pouces', 'Tirants': 'Tirants radiaux de précision pour traction uniforme', 'Mobilité': 'Roues à hauteur réglable avec freins', 'Accessoires_inclus': 'Clé d’accord et housse à demi-chute'}",https://www.premier-percussion.com/product/elite-pedal-timpani/,60.55,0.0,0
01K099XXYFVQ77XNQF57PZCGHH,MUSSER  - VIBRAPHONE M55,Percussions Classiques,VIBRAPHONE M55,"Vibraphone de référence chez Musser, le M55 Pro-Vibe offre un son chaud, riche et très résonant, apprécié en tournée comme en studio. Ses lames soigneusement accordées, ses résonateurs cintrés et son moteur à vitesse variable assurent une vibration régulière et musicale, tandis que le châssis léger et pliable, équipé de roulettes verrouillables et d’un pédalier précis, facilite grandement le transport et l’installation sur toutes les scènes.",6500,2,90.5,76.2,62.14,"{'**Hauteur**': '5 positions réglables', '**Plage**': 'F3-F6 (3 octaves)', '**Accord**': 'A=442 Hz', '**Barres**': 'Aluminium graduées 1,5"" à 2,25"" (38-57 mm) d\'épaisseur 1/2"" (12,7 mm)', '**Résonateurs**': 'Aluminium cintrés et chanfreinés', '**Moteur**': 'Vitesse variable multispeed, 115 V / 60 Hz / 1/140 HP, isolé', '**Pédale**': 'Régable pivotante', '**Amortisseur**': ""Barre d'amortissement réglable"", '**Suspension**': 'Système sans distorsion Musser'}",https://www.ludwig-drums.com/application/files/7914/6419/9031/M55G.pdf,3.29,0.0,0
01K099Y20E51SYYSYJ8X10Q1AS,ADAMS - MARIMBA SOLIST VOYAGER,Percussions Classiques,MARIMBA SOLIST VOYAGER,"Marimba d’étude 4,3 octaves pensée pour les élèves et les écoles, la Adams Solist Voyager offre des lames en padouk au son chaleureux et précis, montées sur un châssis Voyager facilement réglable et transportable, idéal pour la pratique quotidienne comme pour les petites scènes.",2605,185.0,1,90,1,"{'Accordage': '442 Hz', 'Largeur lames': '58-40 mm', 'Matériau lames': 'Padouk', 'Résonateurs': 'Droits finition or', 'Châssis': 'Voyager démontable', 'Réglage hauteur': '87-107 cm', 'Fabrication': 'Thorn (Pays-Bas)'}",https://www.adams-music.com/en/adams/percussion/marimba/solist,7.17,0.0,0
01K099Y62XFGEGMXDAH7FVQG8P,YAMAHA  - MARIMBA 5100A,Percussions Classiques,MARIMBA 5100A,"La Yamaha YM-5100A est une marimba professionnelle à 5 octaves en palissandre du Honduras, offrant un son riche et authentique grâce à un accordage précis Yamaha. Ses résonateurs optimisés et son réglage de hauteur pneumatique facilitent un jeu confortable et un transport aisé, idéale pour concerts et tournées.",18000,261,101,261,96,"{'Étendue': '5 octaves, Do grave à do aigu (C16–C76)', 'Matériau des lames': 'Palissandre hondurien sélectionné', 'Largeur des lames': '41–72 mm (graduées)', 'Épaisseur des lames': '20–24 mm (graduées)', 'Accordage': 'La = 442 Hz', 'Type de résonateurs': 'Système Helmholtz, alliage dense à parois épaissies', 'Finition des résonateurs': 'Brossé, coloris brun/tan', 'Réglage des résonateurs': 'Hauteur et résonance optimisées pour chaque registre', 'Système de réglage de hauteur': 'Vérins pneumatiques / ressorts à gaz', 'Plage de hauteur réglable': 'Environ 86–101 cm', 'Roues': 'Roulettes 4"" avec au moins deux freins', 'Conception du châssis': 'Cadre démontable avec résonateurs et rails articulés pour le transport'}",https://ru.yamaha.com/files/download/other_assets/6/332686/YM5100A_R1_e_web.pdf,0.0,0.0,0
01K099YA48Z4PMCQM028XTZ74K,ADAMS - XYLOPHONE SOLIST VOYAGER,Percussions Classiques,XYLOPHONE SOLIST VOYAGER,"Xylophone de concert pensé pour les situations professionnelles comme pour l’enseignement, le Soloist Voyager Adams offre un jeu confortable, une réponse précise et un son clair et projeté, tout en restant facile à déplacer et à régler en hauteur grâce à son châssis Voyager robuste et mobile.",1700,165,94,165,50.0,"{'Accordage': 'A=442 Hz', 'Étendue': '3,5 octaves (F4–C8)', 'Largeur des lames': 'Non spécifiée', 'Matériau des lames': 'Pau rosa', 'Châssis': 'Voyager avec réglage pneumatique de hauteur', 'Roues': 'Grandes à verrouillage'}",https://www.adams-music.com/en/support/percussion,50.0,0.0,0
01K099YE89EKWH1GAV3D9D21AW,MUSSER - XYLOPHONE M47,Percussions Classiques,XYLOPHONE M47,"Le xylophone Musser M47, idéal pour les débutants, offre 3,5 octaves de Kelon durable aux tons brillants et résonants, avec finition laquée noire élégante et résonateurs en aluminium. Cadre en bois réglable et pliable pour une stabilité optimale et un transport aisé, livré avec maillets.",1623,114.9,81.3,84,22.68,"{'Étendue': '3,5 octaves, F4 à C8', 'Accordage': 'La3 = 442 Hz', 'Nombre de notes': '37', 'Matériau des lames': 'Kelon (matériau synthétique)', 'Largeur des lames': '38 mm', 'Épaisseur des lames': '16 mm', 'Finition des lames': 'Laqué noir', 'Disposition des lames': 'Non graduées', 'Résonateurs': 'Alliage d’aluminium avec finition dorée', 'Structure': 'Cadre bois peint en noir, pieds repliables et réglables en hauteur, contreventés en diagonale', 'Réglage en hauteur': 'Environ 81 à 94 cm', 'Accessoires fournis': '1 paire de maillets à tête dure en caoutchouc'}",https://connselmer.com/instruments/student-percussion/musser-3-5-octave-practice-xylophone-m47,50.0,0.0,0
01K099YJADW9FYM0B96KJ0SZK5,ADAMS - GLOCKENSPIEL,Percussions Classiques,GLOCKENSPIEL,"Le glockenspiel Adams allie héritage vintage des années 1920 et innovation moderne, avec ses touches en acier Parsifal rondes produisant un son brillant, pur et projeté, amplifié par des résonateurs en acier nickelé. Son système de pédale réversible offre une damping précise et polyvalente, idéal pour concerts et ensembles.",2174,120,96.5,120,24.00,"{'Accordage': 'La3 = 442 Hz', 'Plage_de_notes': '3,3 octaves (C5–E8)', 'Matériau_des_lames': 'Acier haut de gamme type « Parsifal »', 'Largeur_des_lames': '≈32 mm', 'Système_damortissement': 'Mécanisme de sourdine intégré, actionné par pédale, réversible', 'Type_de_résonateurs': 'Résonateurs en acier nickelé', 'Accessoires_fournis': 'Housse de transport et une paire de maillets', 'Type_de_support': 'Châssis de concert sur pied (type Voyager/Field/Apex selon version)', 'Usage_recommandé': 'Concert et orchestre, niveau avancé à professionnel'}",https://www.adams-music.com/de/adams/percussion/glockenspiel,50.0,0.0,0
01K099YPDFTNM2ZZ0BT227N6WT,YAMAHA  - GLOCKENSPIEL 1210,Percussions Classiques,GLOCKENSPIEL 1210,"Le glockenspiel Yamaha YG‑1210 offre un son clair et brillant grâce à ses lames en acier spécial traitées par trempe, pour une réponse précise et musicale adaptée au concert. Son système de suspension par corde à point unique optimise la résonance et la longueur de note, assurant une excellente projection dans l’orchestre. Livré en valise rigide avec couvercle amovible et maillets, il est pensé pour un usage intensif en tournée, en école ou en conservatoire.",1550,79,11,79,15.7,"{'Étendue_de_note': '2,5 octaves, f2–c5', 'Accordage': 'La3 = 442 Hz', 'Matériau_des_lames': 'Acier à haute teneur en carbone', 'Finition_des_lames': 'Chromée', 'Largeur_des_lames': '31 mm', 'Épaisseur_des_lames': '7,8 mm', 'Type_de_suspension': 'Montage sur corde au point nodal', 'Accessoires_fournis': 'Maillets, étui rigide'}",https://europe.yamaha.com/en/musical-instruments/percussion/products/glockenspiel/yg-1210/specs.html,63.08,0.0,0
01K099YTGE1N4DPSKWPXJHX7G3,"ADAMS - ORCHESTRAL DRUM 36""",Percussions Classiques,"ORCHESTRAL DRUM 36""","Grosse caisse d’orchestre 36 offrant un grave profond, ample et parfaitement lisible, idéale pour porter les accents et nappes sonores dans les grandes formations. Sa caisse en bois haut de gamme et sa peau type Fiberskyn assurent chaleur, projection et réponse régulière, adaptée aussi bien au symphonique qu’aux musiques de film.",1502,91.4,91.4,91.44,5,"{'Matériau': 'Acajou', 'Timbales': 'Remo Fiberskyn III', 'Arceaux': '2 pouces de large', 'Profondeur': '18"" ou 22""', 'Division': '7/8', 'Lugs': 'Split tension lugs', 'Finition': 'Vernis clair'}",https://www.adams-music.com/en/adams/percussion/concert-bassdrum/universal_series,59.72,0.0,0
01K099YYK5EQPF6WJ38CVTJGEG,"YAMAHA  - ORCHESTRAL DRUM 40""",Percussions Classiques,"ORCHESTRAL DRUM 40""","Le Yamaha Orchestral Drum 40 est une grosse caisse de concert en érable à 9 plis, offrant un son profond, chaud et puissant idéal pour les orchestres et ensembles symphoniques. Parfait pour la location Mulster en tournées et résidences, il excelle par sa projection massive et sa réponse précise à tous les dynamicos.",3200,100.0,101.6,5,36.0,"{'Réponse en fréquence': 'non spécifiée (grosse caisse d’orchestre à registre grave, accordable)', 'Type de fût': 'grosse caisse de concert symphonique 40""', 'Fût': 'érable, 9 plis', 'Profondeur du fût': '22""', 'Système de fabrication du fût': 'Air-Seal System', 'Type de peaux': 'REMO Fiberskyn 3', 'Accastillage': 'cercles et coquilles haute résistance pour usage orchestral intensif', 'Support': 'châssis/stand inclinable dédié, avec roues et réglages de hauteur et d’angle', 'Usage recommandé': 'orchestre symphonique, harmonie, percussions de concert'}",https://usa.yamaha.com/products/musical_instruments/percussion/bass_drums/cb-800/index.html,4.59,0.0,0
