id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,retries_number
01K095QZBRPAXX3SSTJ1M4H1PT,AGUILAR - DB751,Tête Basse,DB751,"L'Aguilar DB 751 est une tête d'amplificateur hybride puissante offrant 975 Watts à 2 ohms, alliant la chaleur des préamplis à tubes à la solidité des MOSFETs pour un son riche et précis. Son égaliseur actif 3 bandes avec boost/cut permet un contrôle tonal exceptionnel, idéal pour tout type de scène. Robuste et conçu pour la route, il offre une grande flexibilité et un rendu sonore professionnel.",2900,0,0,0,0,"{'Puissance de sortie': '975 W @ 2 ohms, 750 W @ 4 ohms, 400 W @ 8 ohms', 'Section préampli': 'Trois tubes 12AX7', 'Section puissance': '12 MOSFETs latéraux complémentaires', 'Transformateur': 'Transformateur toroïdal Aguilar personnalisé', 'Égaliseur': 'Pile de tonalité passive avec élément médian actif', 'Basses': '+12 / -12 dB @ 40 Hz', 'Médiums': '+12 / -12 dB @ 750 Hz', 'Aigus': '+12 / -7 dB @ 4 kHz', 'Commutateurs tonaux': 'Deep switch (+5 dB broadband boost à 30 Hz), Bright switch (+5 dB broadband boost à 5-7 kHz)', ""Boucle d'effets"": 'Send avec commutation push/pull pour niveau ligne ou instrument; Return avec commutation push/pull pour fonctionnement parallèle ou série', 'Entrée': 'Jack 1/4"" avec commutateur actif/passif', 'Sorties': '2 sorties Neutrik Speakon haut-parleur, sortie XLR symétrique Jensen avec pré/post EQ et commutateur ground lift, sortie accordeur', 'Refroidissement': 'Deux ventilateurs silencieux à vitesse thermique contrôlée', 'Taille rack': '3 unités', 'Accessoires fournis': 'Oreilles de rack détachables'}",https://aguilaramp.com/products/db751,80.0,6
01K095R1VBQ70M45T49X88ZY5P,AGUILAR  - DB750,Tête Basse,DB750,"L'Aguilar DB750 est une tête d'amplification hybride alliant un préampli tout lampe à une section de puissance MOSFET, offrant une puissance de 750 watts sous 4 ohms (975 watts sous 2 ohms). Connue pour son énorme réserve de puissance et sa grande dynamique, elle délivre un son chaleureux, sensible au toucher, avec une égalisation 3 bandes efficace, agrémentée des commutateurs Deep et Bright pour sculpter le son avec subtilité. Adaptée aux conditions rigoureuses de la scène, elle propose un circuit de protection avancé et un refroidissement silencieux, idéal pour les bassistes exigeants en quête de polyvalence et puissance.",2500,48.3,13.3,35.6,19.5,"{'Puissance': '975 W à 2 ohms, 750 W à 4 ohms, 400 W à 8 ohms', 'Section préampli': '3 lampes 12AX7 et 1 lampe 12AU7 pour un son chaleureux et dynamique', 'Section puissance': '12 transistors MOSFET latéraux complémentaires', 'Transformateur': 'Toroïdal Aguilar personnalisé', 'Égaliseur': '3 bandes avec réglages actifs et boost/cut ±15 dB pour basses, médiums et aigus', 'Contrôles EQ spécifiques': 'Basses ±12 dB à 40 Hz, médiums ±12 dB à 400 Hz, aigus ±12 dB à 4 kHz', 'Connectique': ""Entrées active et passive, deux sorties haut-parleur SpeakON, sortie XLR DI équilibrée avec transformateur Jensen (pré/post EQ, terre sélectionnable), boucle d'effets avec options d'atténuation et de mode parallèle/série, sortie tuner avec fonction mute"", 'Fonctionnalités additionnelles': ""Circuit d'autodiagnostic et protection thermique avec voyants LED, protection contre les courts-circuits, ventilateurs silencieux à contrôle thermique"", 'Options de charge': 'Fonctionne en toute sécurité avec charges de 2, 4 ou 8 ohms', 'Interrupteurs': 'Switchs Deep (+3 dB à 30 Hz) et Bright (filtre passe-haut passif vers 5-7 kHz)', 'Format': 'Taille rack trois unités'}",https://www.zikinf.com/manuels/aguilar-db-750-manuel-utilisateur-en-29042.pdf,94.93,N/A
01K095R4D6Y3JHVZ6DRM03QWJX,AGUILAR - TONE HAMMER 500,Tête Basse,TONE HAMMER 500,"Le Aguilar Tone Hammer 500 est un ampli basse léger et compact délivrant 500 watts avec une section préampli à transistors et une amplification en Classe D. Il offre un égaliseur 3 bandes précis avec un contrôle de médiums paramétrique et une fonction Drive propriétaire qui ajoute une légère saturation et du punch à l'ampli pour sculpter le son avec chaleur et dynamique. Idéal pour les bassistes nomades, il combine puissance, polyvalence tonal et portabilité dans un format très compact et robuste.",700,27.3,7.62,21.59,1.9,"{'Puissance': '500 watts @ 4 ohms, 250 watts @ 8 ohms', 'Impédance minimale': '2,67 ohms', 'Préamplificateur': 'à transistors (Solid State)', 'Amplificateur de puissance': 'Classe D', 'Alimentation': 'Alimentation à découpage (SMPS)', 'Égaliseur': {'Basses': '+/- 17 dB @ 40 Hz', 'Médiums (niveau)': '+/- 16 dB', 'Fréquence des médiums': '180 Hz – 1 kHz (balayable)', 'Aigus': '+/- 14 dB @ 4 kHz'}, 'Drive': 'Contrôle Drive entièrement ajustable avec circuit AGS (Adaptive Gain Shaping) proprietary Aguilar', ""Boucle d'effets"": 'Boucle en série, ajoute +6 dB de gain supplémentaire', 'Entrées': '1 jack 1/4"" compatible basses actives et passives, 1 entrée auxiliaire 1/8"" (V2)', 'Sorties Haut-parleur': '1 sortie Neutrik Speakon', 'Sorties DI (directes)': '2 sorties XLR symétriques avec sélection pré/post EQ et interrupteur ground lift', 'Sortie Tuner': 'Oui', 'Sortie casque': 'Oui (V2)', 'Connectique USB': 'USB-C pour chargement IR (V2)', 'Fonctions supplémentaires': ""Stockage de 3 IR préchargées, possibilité d'uploader des IR personnalisées (V2)"", 'Refroidissement': 'Deux ventilateurs silencieux à contrôle thermique', 'Dimensions (L x P x H)': '27,3 cm x 21,6 cm x 7,6 cm', 'Poids': '1,9 kg'}",https://aguilaramp.com/products/tone-hammer-500-bass-amp,89.46,3
01K095R6WMJNMDYYG6E8W33KCE,AGUILAR - AG500,Tête Basse,AG500,"L'Aguilar AG500 est un amplificateur basse compact et puissant de 500 watts, équipé d’un préampli à transistor et d’une amplification en Classe D, offrant une grande flexibilité grâce à une égalisation 4 bandes avec boost Deep et Bright pour enrichir les graves et les aigus. Il dispose de sorties XLR doubles permettant d’envoyer un signal pré-égalé simultanément vers le retour et la sono, ainsi que d’une boucle d’effets en série et d’options pour la pratique silencieuse, parfait pour les musiciens exigeants en tournée ou en studio.",1000.0,0,0,0,0,"{'Puissance': '500 watts RMS à 4 ohms, 250 watts à 8 ohms', 'Section Préamplificateur': 'Classe solide (Solid State)', 'Section Puissance': 'Classe D', 'Transformateur': 'Alimentation à découpage (Switching mode power supply - SMPS)', 'Égaliseur': {'Bass': '+/- 17 dB à 40 Hz', 'Deep': '+6 dB en dessous de 250 Hz', 'Bas Médiums': '+/- 15 dB à 300 Hz', 'Hauts Médiums': '+/- 14 dB à 800 Hz', 'Aigus': '+/- 14 dB à 4 kHz', 'Bright': '+6 dB au-dessus de 3 kHz (shelving)'}, ""Pad d'entrée"": '-10 dB sélectionnable', 'Entrées': '1 entrée instrument jack 1/4"", compatible basses actives et passives, 1 entrée auxiliaire jack 1/8""', 'Sorties': {'Haut-parleur': '1 sortie Neutrik Speakon', 'DI Équilibrée': '2 sorties XLR avec options pré/post EQ et switch ground lift', 'Tuner': 'Sortie tuner', 'Casque': 'Sortie casque'}, ""Boucle d'effets"": 'En série avec +6 dB de gain supplémentaire', 'USB': '1 port USB-C pour gestion IR de baffles', ""Gestion d'IR"": ""Stockage et chargement de 3 réponses d'impulse (IR) cabine"", 'Refroidissement': '2 ventilateurs silencieux avec contrôle thermique de la vitesse'}",https://aguilaramp.com/products/ag500,80.0,6
01K095R9EQ1Y71E1W37W1743PH,AMPEG - SVT CLASSIC,Tête Basse,SVT CLASSIC,"L'Ampeg SVT Classic est une tête d'ampli basse à lampes délivrant 300 watts de puissance dynamique avec un son riche en harmoniques, reconnu pour sa fiabilité et sa flexibilité tonale. Il offre un égaliseur 3 bandes avec contrôle paramétrique sur 5 positions pour les médiums, des boosts Ultra Low et Ultra High, ainsi qu'une large palette sonore fidèle à la légendaire sonorité Ampeg des années 60-70. Son circuit entièrement à lampes utilisant six tubes 6550 assure profondeur, puissance et chaleur incomparable.",2700,61.0,29.0,33.0,36.3,"{'Puissance de sortie RMS': '300 W continus à <3% THD', 'Impédance': '2 ou 4 ohms', 'Rapport signal sur bruit': '80 dB (20 Hz–20 kHz, sans pondération)', 'Gain maximum': '67 dB @ 1 kHz', 'Réponse en fréquence de coupure': '-3 dB @ 40 Hz et 15 kHz', 'Contrôles de tonalité': {'Basses': '±12 dB @ 40 Hz', 'Médiums': '+10/-20 dB @ 220, 450, 800, 1600 ou 3000 Hz (sélecteur 5 positions)', 'Aigus': '+15/-20 dB @ 4 kHz'}, 'Boosts Ultra Low / Ultra High': {'Ultra Low': '+2 dB @ 40 Hz, -10 dB @ 500 Hz', 'Ultra High': '+9 dB @ 8 kHz'}, 'Entrées': 'Entrée normale et entrée atténuée (-15 dB) pour basses actives', 'Sorties': 'Sortie DI équilibrée avec transformateur, sortie préampli, entrée ampli de puissance, sortie esclave', 'Sections à tubes': {'Préamplification': '3 tubes 12AX7, 2 tubes 12AU7', 'Amplification de puissance': '6 tubes 6550'}, 'Fonctions supplémentaires': 'Réglage manuel du bias, circuit de protection des tubes, mode auto-fault', 'Connectique': 'Jack 1/4"" pour sorties haut-parleur avec sélecteur d\'impédance 2/4 ohms, sortie DI XLR équilibrée', 'Alimentation': '10 A Slo Blo, 120 VAC, 50-60 Hz, 460 W', 'Poids': '80 lbs (environ 36,3 kg)'}",https://ampeg.com/pdf/SVTCL_OM.pdf,97.87,N/A
01K095RBZ0A46K2C5QAVFHXGFJ,AMPEG - SVT VR,Tête Basse,SVT VR,"L'Ampeg SVT-VR est une tête d’ampli basse à lampes délivrant 300 watts avec deux canaux indépendants, offrant à la fois des entrées normales et bright, des commandes de tonalité complètes (3 bandes sur le canal 1, 2 bandes sur le canal 2), ainsi que des switches Ultra-Hi, Ultra-Lo et Bass Cut pour un réglage précis du son. Conçue comme une réédition vintage, elle utilise six tubes 6550 pour un son puissant, chaud et emblématique, parfait pour le studio ou la scène.",2400,0,0,0,0,"{'Puissance de sortie': '300 watts RMS à 2 ou 4 ohms', 'Type de préampli': 'Tube (3 x 12AX7, 2 x 12AU7)', ""Type d'amplificateur de puissance"": 'Tube (6 x 6550)', 'Nombre de canaux': '2 canaux indépendants avec entrées Normal et Bright', 'Contrôles canal 1': 'Volume, aiguës (+/-12 dB @ 4 kHz), médiums (+/-20 dB avec switch 3 positions 220 Hz, 800 Hz, 3 kHz), graves (+/-12 dB @ 40 Hz), switch Ultra Hi (+15 dB @ 8 kHz), Ultra Lo (-20 dB @ 600 Hz), Bass Cut (-20 dB @ 40 Hz)', 'Contrôles canal 2': 'Volume, aiguës (+/-12 dB @ 4 kHz), graves (+/-12 dB @ 40 Hz), switch Ultra Hi (+15 dB @ 8 kHz), Ultra Lo (+11 dB relatif @ 40 Hz)', 'Rapport signal sur bruit': '75 dB typique pour chaque canal', 'Gain total': '66 dB pour canal 1, 59 dB pour canal 2 (@1 kHz volume max, tonalités plates)', 'Sorties': 'Neutrik Speakon® et jack 1/4"", sortie ligne symétrique avec transformateur, préampli out / power amp in', ""Tension d'alimentation"": '~100 – 120 V AC, 50–60 Hz, 400 W', 'Dimensions et poids': '24 x 11.5 x 12.75 pouces, environ 38.5 kg'}",https://ampeg.com/pdf/SVTVR_OM.pdf,80.0,6
01K095REGSESBTEVGWBT38FRXH,AMPEG - AMPEG SVT VR 50TH ANNIVERSARY,Tête Basse,AMPEG SVT VR 50TH ANNIVERSARY,"Ampeg SVT VR 50th Anniversary : ampli tête 300 W légendaire, deux canaux inspirés des classiques 1969 et années 70, électronique sur tubes 6550, son massif et puissant, idéal pour les grosses scènes et les bassistes exigeants.",3500,61.0,29.0,33.0,36.3,"{'Puissance': '300 W RMS', 'Impédance': '2 et 4 ohms', 'Réponse en fréquence': '20 Hz - 20 kHz', 'Connectique': ['Entrée jack 6,3 mm', 'Sortie HP Speakon', 'Sortie HP jack', 'Sortie DI XLR', 'Entrée preamp', 'Sortie slave', 'Entrée power amp'], 'Tubes préampli': '6 x 12AX7, 2 x 12AU7', 'Tubes de puissance': '6 x 6550', 'Canal 1': '3 bandes + Ultra Hi / Ultra Lo', 'Canal 2': '2 bandes + Ultra Hi / Ultra Lo', 'Réglages midrange': '220 Hz, 450 Hz, 800 Hz, 1600 Hz, 3000 Hz'}",https://ampeg.com/products/heritage/svt-50thAnniversary/files/Ampeg_50thAnnivSVT_Amp_OM_RevB_English.pdf,97.97,5
01K095RH23TN523TPSK106BH5B,AMPEG  - SVT CLASSIC HERITAGE,Tête Basse,SVT CLASSIC HERITAGE,"L'Ampeg Heritage SVT-CL est une tête d'amplification basse à lampes de 300 watts fabriquée aux États-Unis, reconnue pour son son Ampeg classique et puissant. Elle dispose d'un égaliseur 3 bandes avec un sélecteur de médiums à 5 positions, offrant une grande précision de réglage tonal, ainsi que des commutateurs Ultra Hi/Lo pour modeler les extrêmes du spectre. Cet amplificateur est apprécié pour sa richesse sonore, sa polyvalence et sa robustesse, parfait pour les concerts et les enregistrements professionnels.",3700,0,0,0,0,"{'Puissance': '300W RMS', 'Impédance': '2 ou 4 Ohms', 'Réponse en fréquence': '40 Hz - 15 kHz (-3 dB)', 'Rapport signal sur bruit': '80 dB (20 Hz–20 kHz)', 'Gain maximum': '67 dB @ 1 kHz', 'Connectique': 'Sortie transformateur équilibrée, Preamp Out, Power Amp In, sorties HP Speakon et 1/4""', 'Tubes de préampli': '2 x 12AX7', 'Tubes de puissance': '6 x 6550', 'Tubes de driver': '1 x 12AX7, 2 x 12AU7', 'Contrôles de tonalité': 'Bass: +12/–12 dB @ 40 Hz, Midrange: +10/–20 dB @ 220 Hz, 450 Hz, 800 Hz, 1,6 kHz ou 3 kHz, Treble: +15/–20 dB @ 4 kHz, Ultra Lo: +2 dB @ 40 Hz, -10 dB @ 500 Hz, Ultra Hi: +9 dB @ 8 kHz'}",https://ampeg.com/pdf/HeritageSVTCL_OM.pdf,80.0,6
01K095RKM2JZ70H523F7QS0NHV,AMPEG - SVT VINTAGE,Tête Basse,SVT VINTAGE,"L'Ampeg SVT Vintage est un amplificateur basse à lampes emblématique, produisant 300 watts RMS avec une double canalisation offrant deux voix classiques des années 1969 et 1970. Il combine un son authentique vintage fidèle aux premiers modèles, avec une fabrication artisanale américaine et des composants haut de gamme, idéal pour les bassistes recherchant chaleur, puissance et polyvalence sonore. Son design intègre des commandes de tonalité précises avec basses, médiums sélectionnables, aigus et des options Ultra Lo/Hi pour sculpter le son.",3500,61.0,29.2,32.4,38.6,"{'Puissance de sortie': '300 W RMS continu minimum @ <5% THD en 2 ou 4 Ohms', 'Tubes préamplis': '5 x 12AX7', 'Tubes driver': '1 x 12AX7, 2 x 12AU7', 'Tubes de puissance': '6 x 6550 Ampeg Super Valve', 'Rapport signal/bruit': '75 dB (20 Hz – 20 kHz)', 'Gain maximum': '78 dB @ 1 kHz –3 dB @ 20 Hz & 15 kHz', 'Contrôles de tonalité': {'Canal 1 (1969 Blue Line)': {'Bass': '+12/-12 dB @ 40 Hz', 'Midrange': '+10/-20 dB @ 220 Hz, 450 Hz, 800 Hz, 1.6 kHz, 3 kHz (sélecteur de fréquence)', 'Treble': '+15/-20 dB @ 4 kHz', 'Ultra Lo': '+2 dB @ 40 Hz, -10 dB @ 500 Hz', 'Ultra Hi': '+9 dB @ 8 kHz'}, 'Canal 2 (mid-70’s Magnavox)': {'Bass': '+12/-12 dB @ 40 Hz', 'Treble': '+15/-20 dB @ 4 kHz', 'Ultra Lo': 'relatif +11 dB @ 40 Hz', 'Ultra Hi': '+9 dB @ 8 kHz'}}, 'Impédance': '2 ou 4 Ohms', 'Connectique': ['Sorties speakON', 'Sortie DI XLR améliorée', 'Entrées instrument multiple par canal'], 'Alimentation': '100–120 VAC / 50–60 Hz (domestique), 200–240 VAC / 50–60 Hz (export), 400W', 'Poids approximatif': '38.6 kg'}",https://ampeg.com/products/heritage/svt-50thAnniversary/files/Ampeg_50thAnnivSVT_Amp_OM_RevB_English.pdf,98.01,N/A
01K095SFMDT2TCEW37K96RGEVM,EBS  - TD650,Tête Basse,TD650,"L’amplificateur EBS TD650 est un modèle hybride puissant de 650 watts, combinant préamplificateur à lampe et à transistor pour offrir une grande flexibilité sonore. Il propose un égaliseur 3 bandes avec médiums ajustables, un filtre notch, un compresseur, un filtre bright et une section de distorsion overdrive pure, permettant d’obtenir des sons allant du clair au saturé avec précision et richesse. Sa conception intègre également un système unique de suspension de la lampe pour une meilleure résistance aux vibrations. Ce modèle est apprécié pour sa qualité professionnelle et sa capacité à délivrer des tonalités variées adaptées aux bassistes exigeants.",2200,48.0,13.0,36.0,12.0,"{'Puissance': '650 W RMS', 'Impédance de sortie': '2 Ohms', 'Technologie': 'Hybride tube/solid state', 'Contrôle Drive': 'Commutable Tube/solid state', 'Égaliseur': '3 bandes avec médium balayable, filtre en notch', 'Compresseur': 'Intégré', 'Filtre Clair': 'Bright filter', 'Section Overdrive': 'Pure overdrive intégrée', ""Boucle d'effets"": 'Série et parallèle', 'Système de suspension': 'Suspension unique du tube', 'Protection Secteur': 'Fusible T5A (230V), T10A (100/120V)'}",http://media1.ebssweden.com/2016/05/TD650MM_EN.pdf,94.59,2
