id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0BS6TWY1ZKQMCJDPP3KK40W,FENDER - CORONADO BASS II,Basses Electriques,CORONADO BASS II,"La Fender Coronado Bass II est une contrebasse hollow body iconique des années 60, au manche confortable et à l'électronique polyvalente (deux humbuckers, sélecteur 3 positions). Légère et résonante, elle offre des sons vintage riches, punchy pour le rock ou doux pour le jazz, idéale pour les backlines live.",3500,116.2,116.2,41.3,6,"{'Diapason': '762 mm (échelle courte 30"")', 'Nombre de frettes': '21', 'Rayon de la touche': '184 mm (7,25"")', 'Profil de manche': 'C fin', 'Matériau du manche': 'Érable', 'Matériau de la touche': 'Palissandre', 'Configuration des micros': '2 simples bobinages (manche + chevalet)', 'Électronique': '2 volumes, 2 tonalités, sélecteur 3 positions', 'Type de corps': 'Caisse entièrement creuse avec ouïes en f', 'Type de chevalet': 'Chevalet flottant avec cordier trapèze', 'Type de fixation manche': 'Manche vissé'}",https://www.fmicassets.com/Damroot/Original/10001/Coronado_Bass_II_Schematic.pdf,37.29,0.0,1
01K0BS6Z9VR6WN5XPN01H943PH,FENDER  - PRECISION BASS AVRI '58,Basses Electriques,PRECISION BASS AVRI '58,"La Fender Precision Bass AVRI '58 recrée fidèlement le modèle iconique de 1958, avec son corps léger en frêne ou alisier, finition Sunburst 3 tons emblématique et micros split-coil délivrant un son chaud, épais et puissant. Parfaite pour la location Mulster, elle offre un manche érable profilé C confortable et un look vintage authentique qui inspire les bassistes en tournée ou résidence.",2900,115.6,114.3,4.41,3.90,"{'Électronique': ""1 micro split simple bobinage American Vintage '58 Precision Bass, contrôles Volume général et Tonalité passive"", 'Configuration des micros': '1x split simple bobinage', 'Type d’électronique': 'Passive', 'Diapason': '34 in (864 mm)', 'Nombre de frettes': '20 frettes vintage', 'Rayon de la touche': '7,25 in (184 mm)', 'Largeur au sillet': '1,735 in (44,1 mm)', 'Type de sillet': 'Os', 'Réglage de manche': 'Truss rod vintage avec réglage au talon', 'Chevalet': 'Chevalet American Vintage 4 pontets avec pontets filetés en acier', 'Mécaniques': 'Mécaniques ouvertes American Vintage à engrenages apparents, sens de rotation inversé', 'Cordes d’origine': 'Fender USA Super Bass 7250ML (.045–.100)', 'Finition': 'Finition nitrocellulosique type Fender Flash Coat Lacquer', 'Accastillage': 'Nickel / chrome', 'Accessoires montés': 'Caches chromés micro et chevalet, repose-doigt inférieur, boutons de potentiomètres chromés type flat-top'}",https://images.thomann.de/pics/atg/atgdata/document/specs/fender_58_p_.pdf,58.06,0.0,0
01K0BS73QXG4A3H43C6RSYN3XP,FENDER  - PRECISION BASS VINTAGE '76,Basses Electriques,PRECISION BASS VINTAGE '76,"Basse emblématique des années 70, cette Precision Bass ’76 offre le son profond et punchy typique Fender, avec une attaque précise et une excellente tenue de note. Polyvalente et fiable, elle s’impose autant en studio que sur scène, idéale pour rock, funk ou soul vintage.",6500,114.3,104,34.5,4.31,"{'Échelle': '34""', 'Longueur de la touche': '864 mm', 'Nombre de frettes': '20', 'Type de micro': 'Split-coil humbucker', 'Contrôles': 'Volume, Tonalité', 'Cordes': '4', 'Profil de manche': 'C vintage', 'Rayon de touche': '7.25""', 'Largeur au sillet': '~38-42 mm', 'Profondeur au 1er fret': '~20-22 mm', 'Profondeur au 12e fret': '~24-25 mm', 'Bois de corps': 'Frêne ou Aulne', 'Bois de manche': 'Érable 1 pièce', 'Touche': 'Érable'}",https://p4.zdassets.com/hc/theme_assets/549136/200076499/70s_Full_Line_1976.pdf,15.46,0.0,2
01K0BS78KTZ6T2WN7W10S9VKGD,FENDER  - PRECISION BASS AMERICAN PRO SUNBURST,Basses Electriques,PRECISION BASS AMERICAN PRO SUNBURST,"Basse emblématique et polyvalente, la Precision Bass American Pro Sunburst offre le gros son Fender classique, solide et précis, avec un manche confortable type ’63 et un micro split-coil moderne idéal pour la scène comme le studio.",1830,114.3,108,4.13,4.2,"{'Longueur de manche': '34"" (864 mm)', 'Rayon touche': '9.5"" (241 mm)', 'Nombre de frettes': '20', 'Taille des frettes': 'Narrow Tall', 'Largeur du sillet': '1.625"" (41.3 mm)', 'Profil manche': '1963 C', 'Matériau sillet': 'Os', 'Chevilles': 'Fender Lightweight Vintage-Style avec axes cannelés', 'Pont': '4-selles HiMass Vintage (String-Through-Body ou Topload)', 'Contrôles': 'Volume maître, Tonalité maître', 'Micro': 'V-Mod split-coil Precision Bass', 'Plaque de manche': '4 boulons', 'Matériau du manche': 'Érable', 'Renfort manche': 'Tiges graphite Posiflex', 'Finition manche': 'Satin uréthane dos, gloss tête'}",https://www.fmicassets.com/Damroot/Original/10001/STD_2017_American_Professional_PBass_SISD_MIM_RevA.pdf,58.19,0.0,0
01K0BS7D5J5W1HB1KEAJ38V8SG,FENDER  - PRECISION BASS AMERICAN PRO ANTIQUE,Basses Electriques,PRECISION BASS AMERICAN PRO ANTIQUE,"Basse emblématique et polyvalente, la Fender American Professional Precision Bass en finition Antique Olive offre le son Fender classique grâce à son micro split‑coil V‑Mod et un sustain renforcé. Son manche profil ’63 au toucher confortable et ses frettes narrow tall assurent une excellente jouabilité, aussi bien en studio que sur scène.",1700,86.4,102.9,4.28,4.1,"{'**Corps**': 'Aulne', '**Finition corps**': 'Polyuréthane satiné', '**Manche**': 'Érable', '**Profil manche**': ""'1963 C'"", '**Finition manche**': 'Satiné dos, satiné tête', '**Longueur échelle**': '864 mm', '**Touche**': 'Érable ou Palissandre', '**Rayon touche**': '241 mm', '**Nombre de frettes**': '20', '**Taille frettes**': 'Narrow Tall', '**Matériau sillet**': 'Os', '**Largeur sillet**': '42,8 mm ou 41,3 mm', '**Micros**': 'V-Mod Split Single-Coil', '**Contrôles**': 'Volume principal, Tonalité principale', '**Chevalet**': '4-selles HiMass Vintage (String-Through-Body ou Topload)', '**Mécaniques**': 'Fender Lightweight Vintage-Style à axe cannelé', '**Plaque pickguard**': '3 plis Vert menthe', '**Poignées**': 'Cannelées plates', '**Cordes**': 'Fender USA Bass 7250M NPS (.045-.105)', '**Renfort manche**': 'Posiflex graphite rods', '**Origine**': 'USA'}",https://www.fmicassets.com/Damroot/Original/10001/0193612706_gamp_own.pdf,64.89,0.0,1
01K0BS7HXXKSFB6QAFCTX89E15,FENDER - PRECISION BASS AMERICAN STD BLACK,Basses Electriques,PRECISION BASS AMERICAN STD BLACK,"La Fender Precision Bass American Standard Black incarne l'icône absolue de la basse électrique, avec son corps massif en aulne pour un son profond et charnu, et son micro split-coil signature délivrant une attaque puissante et vintage. Légère, équilibrée et au manche fluide, elle excelle en studio comme sur scène pour un groove légendaire.",1700,102,122,4.13,4,"{'Longueur de manche': '34 pouces (864 mm)', 'Nombre de frettes': '20', 'Configuration des micros': 'Split Single-Coil (S)', 'Micros': 'Passifs', 'Type de micro': 'Fender American Standard Alnico V Split Single-Coil Precision Bass', 'Contrôles': 'Volume master, Tonalité master', 'Chevalet': '4-selles HiMass Vintage (String-Through-Body ou Topload)', 'Mécaniques': 'Fender Lightweight Vintage-Style avec axes coniques', 'Profil de manche': 'Modern C', 'Rayon de touche': '9.5 pouces (241 mm)', 'Largeur au sillet': '1.625 pouces (41.3 mm)', 'Matériau du sillet': 'Os', 'Tiges de truss rod': 'Posiflex graphite', 'Nombre de cordes': '4'}",https://support.fender.com/hc/en-us/articles/212621143-American-Standard-Precision-Bass-2012-2016-Owner-s-Manual,61.24,0.0,0
01K0BS7PT3TA3EV11J67Q4MRBV,FENDER - PRECISION BASS V AMERICAN PRO SUNBURST,Basses Electriques,PRECISION BASS V AMERICAN PRO SUNBURST,"Basse 5 cordes pensée pour la scène, cette Precision American Pro V en sunburst offre le son Fender classique avec un Si grave solide, une réponse précise et un confort de jeu inspiré des modèles vintage modernes.",1700,117.5,117.5,33.34,4.0,"{'**Longueur de manche**': '34""', '**Nombre de frettes**': '20', '**Type de frettes**': 'Narrow Tall', '**Rayon de touche**': '9.5""', '**Largeur au sillet**': '1.875""', '**Matériau du sillet**': 'Bone', '**Micros**': 'V-Mod II Split Single-Coil Precision Bass', '**Contrôles**': 'Volume, Balance des tons', '**Pont**': 'HiMass Vintage 5-selles', '**Chevilles**': 'Fender Lightweight Vintage-Style', '**Tiges de renfort**': 'Posiflex graphite', '**Profil de manche**': '1963 C'}",https://www.fender.com/products/american-professional-ii-precision-bass-v,65.25,0.0,1
01K0BS7V64WZEJV6H08BFY8WQQ,FENDER - JAZZ BASS AMERICAN ORIGINAL '50 NATURAL,Basses Electriques,JAZZ BASS AMERICAN ORIGINAL '50 NATURAL,"Réinterprétation moderne de la Jazz Bass des débuts, cette American Original ’50 Natural offre le son Fender authentique avec une lutherie soignée, un confort de jeu immédiat et un look vintage chaleureux qui s’intègre aussi bien en studio que sur scène.",2100,86.4,47.0,34.29,4.2,"{'Longueur de corde': '34"" (864 mm)', 'Largeur du sillet': '1.73"" (44 mm)', 'Nombre de frettes': '20', 'Rayon de touche': '9.5"" (241 mm)', 'Profil du manche': 'Épais C', 'Micro': 'Pure Vintage ‘58 split-coil P Bass', 'Contrôles': 'Volume principal, Tonalité principale', 'Chevalet': '4-selles vintage avec selles en acier fileté', 'Mécaniques': 'Pure Vintage inversées open-gear', 'Plaque de cordier': '4 boulons', 'Plaquette': 'Aluminium anodisé or', 'Cordes': 'Fender USA Bass 7250M NPS (.045-.105)', 'Tige de réglage': 'Style vintage au talon', 'Bois du corps': 'Aulne', 'Finition': 'Laque nitrocellulose brillante', 'Bois du manche': 'Érable', 'Touche': 'Érable'}",https://www.fmicassets.com/Damroot/Original/10001/0190102XXX_A_SISD_original_2018.pdf,85.24,0.0,0
01K0BS7ZNZTQZWS9Q1X85EZ6H9,FENDER - JAZZ BASS AMERICAN ORIGINAL ‘60 SUNBURST,Basses Electriques,JAZZ BASS AMERICAN ORIGINAL ‘60 SUNBURST,"La Fender Jazz Bass American Original ‘60s Sunburst recapture l'essence des originaux des années 60 avec un son polyvalent, du growl profond au punch articulé grâce à ses micros single-coil Pure Vintage '64. Son manche fin en profil C des 60's offre un jeu agile et confortable, parfait pour les bassistes exigeants en tournée ou studio.",2200,86.4,122,34.29,4.2,"{'Electronique': ""2 micros simple bobinage Pure Vintage '64 Jazz Bass à aimants Alnico V, câblage passif, configuration SS"", 'Contrôles': 'Volume micro manche, Volume micro chevalet, Tonalité générale', 'Diapason': '864 mm', 'Touche': 'Palissandre laminé, radius 9,5"", 20 frettes type Vintage Tall', 'Largeur au sillet': '37,6 mm (sillet en os)', 'Profil de manche': 'Profil ""C"" des années 60, vissé, finition vernis nitrocellulosique', 'Bois du corps': 'Aulne, construction solid body, finition vernis nitrocellulosique brillant', 'Chevalet': 'Chevalet 4 pontets style vintage avec pontets filetés en acier', 'Mécaniques': 'Mécaniques ouvertes style vintage à renversement', 'Cordes d’origine': 'Fender USA 7250M, tirants 0,045–0,105', 'Nombre de cordes': '4'}",https://support.fender.com/en-us/downloads?product_id=0190130809,72.87,0.0,0
01K0BS83Z2MWS7W5NYK6XSFMNC,FENDER  - JAZZ BASS AMERICAN PRO SONIC GRAY,Basses Electriques,JAZZ BASS AMERICAN PRO SONIC GRAY,"Version modernisée de la Jazz Bass de référence, cette American Pro en finition Sonic Gray offre un son Fender classique grâce aux micros V‑Mod, une excellente jouabilité avec son manche fin “modern C” et frettes narrow tall, plus un sustain renforcé par le chevalet HiMass Vintage.",2100,86.4,113.0,34.0,4.2,"{'Échelle': '34"" (864 mm)', 'Rayon touche': '9,5"" (241 mm)', 'Nombre de frettes': '20', 'Taille des frettes': 'Narrow Tall', 'Largeur du chevalet': '1,5"" (38,1 mm)', 'Matériau chevalet': 'Os', 'Micros': 'V-Mod Single-Coil Jazz Bass', 'Configuration micros': 'SS', 'Contrôles': 'Volume 1 (micro manche), Volume 2 (micro chevalet), Tone master', 'Chevalet': '4-selles HiMass Vintage (String-Through-Body ou Topload)', 'Mécaniques': 'Fender Lightweight Vintage-Style avec axes cannelés', 'Cordes': 'Fender USA 7250M NPS (045-105)', 'Renfort manche': 'Tiges graphite Posiflex'}",https://www.manualslib.com/,72.92,0.0,0
