id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0BS9Q5DG3YPPG42CS4V4YJF,DANELECTRO  - DANO '56 PRO BLACK,Guitares Electriques,DANO '56 PRO BLACK,"La Danelectro Dano '56 Pro Black est une réédition fidèle de l'icône des années 50-60, au look offset rectangulaire audacieux avec bande adhésive vintage et finition noire mate. Ses micros lipstick single-coil brillants et jangly délivrent un twang unique et polyvalent, parfait pour surf, rockabilly, country ou jangle pop, avec jouabilité pro et robustesse pour la scène.",400,100.33,100.33,13.5,2.77,"{'Échelle': '24.75 pouces', 'Nombre de frettes': '21', 'Micros': '2 Lipstick single-coil', 'Sélecteur de micros': '3 positions (manche, chevalet, les deux)', 'Contrôles': '1 volume, 1 tonalité', 'Cordier': 'Réglable en hauteur et intonation', 'Mécaniques': 'Fermées, 3 par côté', 'Touche': 'Palissandre', 'Sillet': 'Aluminium'}",https://www.musiciansfriend.com/guitars/danelectro-56-pro-guitar,79.58,0.0,0
01K0BS9VQPEAXV0J42FPZYS1M4,FENDER - JAGUAR SUNBURST,Guitares Electriques,JAGUAR SUNBURST,"La Fender Jaguar Sunburst, icône offset des années 60, séduit par son sunburst vibrant 3 tons, ses micros single-coil cristallins et son circuit lead/rhythm polyvalent pour des sons surf rock explosifs et vintage authentiques.",1500,98.4,98.5,4.14,3.6,"{'Type': 'Guitare électrique offset', 'Corps': 'Aulne', 'Manche': 'Érable', 'Longueur de manche': '24"" (610 mm)', 'Nombre de frettes': '22', 'Radius de touche': '7.25"" (184 mm) ou 9.5"" (241 mm)', 'Touche': 'Palisandre ou érable', 'Micros': 'Simples bobines Jaguar (manche/bridge)', 'Sélecteur': 'Circuit lead/rhythm avec switches slide, phase switch, bass cut', 'Chevalet': 'Jaguar avec tremolo flottant et mute', 'Cordiers': 'Kluson Deluxe (vintage) ou ClassicGear (moderne)', 'Mécaniques': 'Standard 4 boulons', 'Pickguard': '3 plis noir/blanc/noir ou parchemin'}",https://www.fender.com/products/player-ii-jaguar,80.84,0.0,0
01K0BSA07777XZB14D4ET3JNB8,FENDER  - JAGUAR CLASSIC ARTIC WHITE,Guitares Electriques,JAGUAR CLASSIC ARTIC WHITE,"La Fender Jaguar Classic en Arctic White est une guitare offset iconique, au son brillant et polyvalent grâce à ses micros single-coil vintage. Son corps en aulne léger et son manche fluide offrent un confort exceptionnel pour les riffs surf rock et les leads expressifs, idéale pour les scènes live Mulster.",1400,96.5,98.5,4.2,3.61,"{'Longueur de manche': '24 pouces', 'Profil de manche': 'C', 'Rayon de touche': '9,5 pouces', 'Nombre de frettes': '22', 'Largeur de tête de sillet': '1,65 pouce', 'Micros': 'Alnico Single-Coil', 'Sélecteur de circuit': 'Circuit Selector Switch', 'Contrôles': 'Rhythm Circuit Volume et Tone, Lead Circuit Volume et Tone, Pickup On/Off Switches, Tone Circuit Switch', 'Chevalet': 'Floating bridge avec barrel saddles', 'Vibrato': 'Vintage-style tremolo', 'Muet': 'Spring-loaded rubber string mute', 'Matériel': 'Nickel-plated'}",https://www.fender.com/products/classic-vibe-70s-jaguar,82.72,0.0,0
01K0BSA4R8M2BK5NGSHJAV719S,FENDER  - JAZZMASTER AMERICAN PRO OLYMPIC WHITE,Guitares Electriques,JAZZMASTER AMERICAN PRO OLYMPIC WHITE,"La Fender Jazzmaster American Pro en Olympic White offre un son chaud et rond grâce à ses micros V-Mod single-coil, avec un circuit treble bleed préservant les aigus. Son manche Deep C confortable, ses frets étroits et hauts facilitent les bends et accords, tandis que le tremolo amélioré assure une stabilité et une expressivité exceptionnelles pour des solos inspirés.",1700,100.3,98.4,1.685,3.6,"{'Longueur_de_manche': '25,5 pouces (64,77 cm)', 'Profil_de_manche': 'Deep C', 'Rayon_de_touche': '9,5 pouces (241 mm)', 'Nombre_de_frets': '22', 'Type_de_frets': 'Narrow Tall', 'Largeur_au_cheville': '1,685 pouce (42,8 mm)', 'Micros': 'V-Mod II Single-Coil Jazzmaster', 'Sélecteur': '3 positions', 'Contrôles': 'Volume principal, Tonalité principale (push/push pour tap du micro chevalet), Circuit rythme en série', 'Chevalet': 'Panorama Jazzmaster avec bras pop-in et selles laiton Mustang', 'Cordes': 'Fender USA 250L Nickel Plated Steel (.009-.042)'}",https://www.fender.com/products/american-professional-ii-jazzmaster,83.61,0.0,0
01K0BSA96TSG1XE36P696WAJ1J,FENDER - JAZZMASTER AMERICAN ORGINAL '60 SUNBURST,Guitares Electriques,JAZZMASTER AMERICAN ORGINAL '60 SUNBURST,"La Fender American Original '60s Jazzmaster en Sunburst reproduit fidèlement l'esthétique iconique des années 60, avec son corps offset élégant, son Sunburst somptueux et son pickguard tortoisé. Elle offre un son vintage pur et polyvalent grâce à ses micros single-coil '65, une jouabilité fluide et un tremolo stable, idéale pour les concerts et tournées Mulster.",2100,44.5,102,13.75,3.86,"{'Longueur de chevalet': '25,5""', 'Largeur du sillet': '1,65""', 'Rayon de touche': '9,5""', 'Micros': ""Pure Vintage '65 Single-Coil"", 'Chevalet': 'Tremolo flottant style vintage avec bouton de verrouillage', 'Touche': 'Palissandre', 'Manche': 'Érable', 'Corps': 'Aulne', 'Frettes': 'Vintage Tall', 'Sillet': 'Os'}",https://www.fender.com/en-US/electric-guitars/jazzmaster/american-original-60s-jazzmaster/0110160700.html,84.87,0.0,0
01K0BSADQ8KCF6AC6SQV1W67MR,FENDER  - STRATOCASTER AVRI 56 BLACK,Guitares Electriques,STRATOCASTER AVRI 56 BLACK,"La Fender Stratocaster AVRI '56 Black recrée fidèlement le mythique modèle de 1956 avec un manche érable profil soft V confortable, des micros single-coil American Vintage ultra-sensibles pour un son vintage vibrant et expressif, un vibrato synchrone classique et une finition nitro légère et résonante, idéale pour les concerts et tournées Mulster.",10,64.8,100.3,5,3,"{'Longueur de la corde (échelle)': '25,5"" (648 mm)', 'Rayon de la touche': '7,25"" (18,41 cm)', 'Nombre de frettes': '21', 'Largeur du chevalet': '1,650"" (42 mm)', 'Micros': ""3x American Vintage '56 Strat Single-Coil (Alnico 3, staggered)"", 'Sélecteur': '5 positions', 'Contrôles': 'Volume master, 2x Tonalité (Neck, Middle/Bridge)', 'Chevalet': 'Tremolo synchronisé vintage', 'Cordes': '.010-.046'}",https://www.fuzzfaced.net/american-vintage-56-stratocaster.html,0.0,0.0,5
01K0BSAJ7JZPM2C2WBG135VMC8,FENDER  - STRATOCASTER ERIC JOHNSON,Guitares Electriques,STRATOCASTER ERIC JOHNSON,"La Fender Stratocaster Eric Johnson est une guitare signature raffinée, fruit de la quête obsessionnelle de tonalité du maître texan. Légendaire pour son toucher fluide et ses sons cristallins sur Cliffs of Dover, elle offre une résonance vive, une polyvalence exceptionnelle du clean crunché au bluesy, avec une jouabilité intuitive et un équilibre parfait pour les tournées et studios Mulster.",2600,98.4,98.4,4.2,3.6,"{'Manche': 'Érable quarter-sawn', 'Profil manche': 'Soft V 1950s', 'Rayon touche': '12 pouces', 'Incrustations touche': 'Micarta vintage', 'Cordes': 'Super Bullets .009-.042', 'Sélecteur': '5 positions', 'Contrôles': 'Volume master, Tone manche, Tone chevalet', 'Micro manche': ""Basé '54 Strat, aimants Alnico 3 oversized"", 'Micro médian': ""Basé '63 Strat, aimants Alnico traités, reverse wound reverse polarity"", 'Micro chevalet': 'Basé Strat, aimants Alnico 5, plus chaud', 'Cordier': 'Vintage synchronisé avec bloc tremolo usiné précis', 'Mécaniques': 'Graduées vintage-style, sans string tree', 'Plaquette': ""Parchment '57 style"", 'Finition': 'Nitrocellulose laque', 'Touche': 'Érable', 'Diapason': '25.5 pouces (648 mm)', 'Largeur au sillet': '1.650 pouces (42 mm)', 'Nombre de frettes': '22', 'Type frettes': 'Jumbo medium'}",https://www.fender.com/products/eric-johnson-stratocaster-maple,86.27,0.0,0
01K0BSAPN4F43MBWPBWYYQD8VX,FENDER  - STRATOCASTER AMERICAN PRO SONIC GRAY,Guitares Electriques,STRATOCASTER AMERICAN PRO SONIC GRAY,"La Fender American Professional Stratocaster Sonic Gray HSS offre un son polyvalent et nuancé grâce à ses micros V-Mod single-coils et Shawbucker au chevalet, signés Tim Shaw. Son manche Deep C confortable, ses frettes narrow-tall fluides et son circuit treble-bleed assurent un jeu précis, rapide et expressif, parfait pour les concerts et tournées.",1500,64.8,1,42.8,3.6,"{'Échelle': '25,5""', 'Profil manche': 'Deep C', 'Rayon touche': '9,5""', 'Nombre de frettes': '22', 'Type de frettes': 'Narrow Tall', 'Largeur sillet': '42,8 mm', 'Configuration micros': 'HSS', 'Micro manche': 'V-Mod Single Coil', 'Micro médium': 'V-Mod Single Coil', 'Micro chevalet': 'Shawbucker', 'Sélecteur micros': '5 positions', 'Contrôles': 'Volume (treble bleed), Tone 1, Tone 2', 'Chevalet': 'Tremolo synchronisé 2 points avec selles en acier coudées', 'Mécaniques': 'Staggered Cast', 'Plaquage': '3 plis parchemin', 'Cordier': 'Non applicable', 'Nombre de cordes': '6'}",https://www.fender.com/en-US/electric-guitars/stratocaster/american-professional-stratocaster/0113802700.html,82.11,0.0,0
01K0BSAV3EYK734KBPSE7DNET0,FENDER - STRATOCASTER AMERICAN SPECIAL SUNBURST,Guitares Electriques,STRATOCASTER AMERICAN SPECIAL SUNBURST,"La Fender Stratocaster American Special Sunburst est une guitare électrique made in USA alliant sons Strat classiques et jouabilité moderne. Corps en aulne, micros Texas Special pour un timbre riche et punchy, manche profil C fluide avec larges frets jumbo, et circuit Greasebucket pour une polyvalence idéale en concerts et studios.",1200,99.06,98.4,42.87,2,"{'Profil du manche': 'Modern C', 'Longueur de la corde à vide': '648 mm', 'Rayon de la touche': '241 mm', 'Nombre de frettes': '22', 'Type de frettes': 'Jumbo', 'Largeur du sillet': '42.8 mm', 'Matériau du sillet': 'Os synthétique', 'Micros': 'SSS Texas Special', 'Circuit de tonalité': 'Greasebucket (manche et chevalet)', 'Sélecteur': '5 positions', 'Chevalet': 'Tremolo synchronisé vintage', 'Mécaniques': 'Fender Standard Cast/Sealed', 'Arbre de cordes': 'T-Roller', 'Finition manche': 'Satin Urethane', 'Finition corps': 'Gloss Urethane'}",https://images.thomann.de/pics/prod/241182_datasheet.pdf,91.54,0.0,0
01K0BSAZFB7VPF40HYQ07QJ68C,FENDER - STRATOCASTER AMERICAN STD WHITE,Guitares Electriques,STRATOCASTER AMERICAN STD WHITE,"La Fender Stratocaster American Standard White incarne l'icône rock avec son corps en frêne blanc éclatant, son manche moderne en C ultra-confortable et ses micros single-coil offrant un son Strat légendaire polyvalent pour tous les styles.",1600,64.77,98.4,4.28,1,"{'Longueur de manche': '25.5"" (648 mm)', 'Rayon de touche': '9.5"" (241 mm)', 'Nombre de frettes': '22', 'Taille des frettes': 'Medium Jumbo', 'Largeur du sillet': '1.685"" (42.8 mm)', 'Configuration micros': 'SSS', 'Commutateur': '5 positions', 'Contrôles': 'Volume principal, Tone (manche), No-Load Tone (milieu, chevalet)', 'Chevalet': '2-Point Synchronized Tremolo', 'Mécaniques': 'Fender Deluxe Staggered Cast/Sealed', 'Finition hardware': 'Chrome'}",https://www.fuzzfaced.net/american-standard-stratocaster-third-series.html,82.73,0.0,0
