id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K0990SG0ZSWCMWMW9H95F66N,PIONEER - DJM-V10,Mixette,DJM-V10,"Table de mixage club haut de gamme à 6 canaux, la DJM‑V10 offre un son chaleureux et détaillé, taillé pour les systèmes puissants. Son EQ 4 bandes, ses filtres dédiés par canal, son compresseur intégré et sa section send/return très étendue permettent des mixes créatifs, des transitions ultra fluides et un travail de texture proche du studio, idéal pour les DJ exigeants, les clubs et les setups hybrides live.",3600,10.8,10.8,42.8,11.9,"{""Taux d'échantillonnage"": '96 kHz', 'Convertisseur A/N': '32 bit', 'Convertisseur N/A': '32 bit', 'Traitement interne': '64 bit', 'Rapport S/N ligne': '105 dB', 'Rapport S/N phono': '88 dB', 'Rapport S/N micro': '79 dB', 'Égaliseur': '4 bandes', 'Égaliseur maître': '3 bandes', 'Entrées ligne': '6x RCA stéréo', 'Entrées phono': '4x RCA stéréo', 'Entrées micro': '1x XLR/TRS 1/4""', 'Entrées numériques': '6x S/PDIF coax', 'Sorties principales': '2x XLR, 2x TRS 1/4"", 2x RCA stéréo', 'Sortie numérique': '1x XLR AES/EBU', 'Send/Return': '4x 1/4"" send, 4x 1/4"" return', 'LAN': '1', 'USB': '2 (plus 1 pour iOS)', 'MIDI': 'DIN Out', 'Contrôleurs MIDI': 'Assignables'}",https://www.pioneerdj.com/en-us/product/mixer/djm-v10/black/specifications/,91.28,0.0,4
01K0990XGJNA2NFJZQ7R1BYTGB,PIONEER - DJM-900 NEXUS 2,Mixette,DJM-900 NEXUS 2,"Table de mixage DJ professionnelle 4 voies, la DJM-900NXS2 offre un son très précis grâce à son processeur 64 bits, des égalisations et courbes de faders retravaillées, ainsi qu’une large palette d’effets Sound Color et Beat FX pour booster la créativité en club ou en tournée.",2400,41.42,10.79,33.3,8.0,N/A,https://www.novelty.fr/wp-content/uploads/downloaded/downloads/materiel_manuels/pioneer_djm-900nxs2_manual_EN.pdf,0.0,0.0,5
01K09911MAB3T3P0N2YF93CDHY,PIONEER - DJM-S11,Mixette,DJM-S11,"Table de mixage battle 2 canaux pensée pour le scratch moderne, la DJM-S11 ajoute un écran tactile 4,3 personnalisable, un contrôle jusqu’à 4 decks, des pads larges ultra réactifs et le crossfader MAGVEL FADER PRO renforcé pour des cuts précis. Elle intègre Smooth Echo, 22 Beat FX et des fonctions avancées Serato DJ Pro/rekordbox (Touch FX, Touch MIDI, Scratch Bank) pour des performances créatives sans quitter des yeux le mixer.",1800,45.22,10.8,26.7,2,"{'Réponse en fréquence': '20 - 20000 Hz[1][2]', ""Taux d'échantillonnage"": '48 kHz[1][2][8]', 'Profondeur de bits': '24 bits[1][2][8]', 'Rapport S/N USB': '115 dB[1][2]', 'Distorsion USB': '0,003 %[1][2]', 'Convertisseur N/D Maître': '32 bits[8]', 'Connectique entrée': '2 LINE (RCA), 2 PHONO (RCA), 1 MICRO (XLR / 1/4 pouce TRS), 1 AUX (RCA)[2]', 'Connectique sortie': '2 MASTER (XLR, RCA), 1 BOOTH (1/4 pouce TRS), 2 PHONES (1/4 pouce stéréo, 3,5 mm mini-jack)[2]', 'Connexion USB': 'Type B[1][2]', 'Alimentation': 'AC 100-240 V, 50/60 Hz[1][2]', 'Consommation électrique': '34 W[1][2]', 'Égaliseur': '3 bandes[1][2]', 'Plage EQ/ISO': '–∞ dB à +6 dB (ISO)[1][2]'}",https://www.pioneerdj.com/en-us/product/mixer/djm-s11/black/specifications/,89.13,0.0,0
01K09915NJH0H6KXH3ZY42S5XR,PIONEER - DJM-S9,Mixette,DJM-S9,"Le DJM-S9 est un mixeur battle 2 canaux pour Serato DJ Pro, robuste et conçu pour les scratches intenses, avec crossfader Magvel Pro configurable ultra-fluide, pads performants multicolores et effets personnalisables pour un contrôle créatif maximal.",1100,40.7,107.9,26.7,4.6,"{'Réponse en fréquence': '20 Hz - 20000 Hz', 'Rapport signal/bruit (USB)': '107 dB', 'Distorsion': '< 0,005 % (USB)', 'Nombre de canaux': '2', 'Égalisation': '3 bandes', 'Plage d’égalisation': '-∞ à +6 dB', 'Isolateur 3 bandes': 'Oui', 'Compteur BPM automatique': 'Oui', 'Type de crossfader': 'Magvel Fader Pro', 'Réglage courbe crossfader': 'Oui', 'Inversion crossfader': 'Oui', 'Réglage de tension crossfader': 'Oui', 'Entrée micro': 'Combo XLR / jack 6,35 mm', 'Talkover': 'Bouton marche/arrêt avec atténuateur', 'Interface audio USB': 'Oui', 'Connexion USB': '2 ports USB type B', 'Résolution audio': '24 bits', 'Fréquence d’échantillonnage': '48 kHz'}",https://www.pioneerdj.com/en/product/mixer/djm-s9/black/support/,81.55,0.0,2
01K09919NYNNCR6RA0BBA0QAQN,PIONEER - DJM-900 NEXUS,Mixette,DJM-900 NEXUS,"La Pioneer DJM-900 Nexus est une table de mixage DJ 4 voies conçue pour un usage professionnel en club, avec un son numérique précis grâce à une carte audio intégrée 24 bits / 96 kHz et une connectique pensée pour les setups modernes. Elle se distingue par ses nombreux effets créatifs (Sound Color FX et 13 Beat FX avec X-Pad tactile) permettant de sculpter et dynamiser les transitions, ainsi que par le Pro DJ Link pour relier plusieurs lecteurs CDJ et le logiciel rekordbox, offrant un environnement de mix fiable, souple et adapté aux performances intensives.",900,40.9,10.8,33.1,7.1,N/A,https://www.pioneerdj.com/en-us/product/mixer/archive/djm-900nxs/black/specifications/,0.0,0.0,5
01K0991DRM7EA6N62PPYSAA86Y,PIONEER  - DJM-900 SRT,Mixette,DJM-900 SRT,"Le Pioneer DJM-900SRT est un mixeur 4 canaux premium pour Serato DJ Pro, intégrant une carte son certifiée pour une connexion plug-and-play fluide. Héritant des performances du DJM-900NXS, il excelle avec 6 Sound Color FX créatifs, 13 Beat FX synchronisés BPM gérés par X-PAD intuitif, un son cristallin sans distorsion et une construction robuste pour les clubs.",1200,40.4,10.8,33.1,7.1,"{""Taux d'échantillonnage"": '96 kHz', 'Convertisseur A/N': '24 bits', 'Convertisseur N/A': '32 bits', 'Réponse en fréquence': '20 Hz - 20 kHz', 'Rapport S/N ligne': '105 dB', 'Rapport S/N phono': '88 dB', 'Rapport S/N micro': '84 dB', 'Réjection de diaphonie ligne': '82 dB', 'Distorsion harmonique totale': '< 0.004 %', 'Headroom': '19 dB', 'Entrées stéréo': '4', 'Entrées phono': '4 (RCA)', 'Entrées numériques': '4 (coaxial)', 'Entrées micro': '2 (Neutrik Combo)', 'Sorties stéréo': '4', 'MIDI OUT': '1 (5P DIN)', 'USB': '1 port USB B', 'PRO DJ LINK': 'Oui', 'Égaliseur': '3 bandes (-26 dB ~ +6 dB)', 'Isolateur': '3 bandes (-∞ ~ +6 dB)', 'Limiteur de pic': 'Oui', 'FX Sound Color': '6', 'FX Beat': '13', 'Crossfader': 'P-LOCK fader caps', 'Égaliseur micro': '2 bandes (-12 dB ~ +12 dB)', 'Talkover': 'Oui (3 positions)', 'Alimentation': '110-240 V AC 50/60 Hz', 'Consommation': '41 W'}",https://www.pioneerdj.com/en-us/product/mixer/archive/djm-900srt/black/specifications/,94.14,0.0,4
01K0991HW0KSFCDK6YN742G6H5,PIONEER - DJM-2000 NEXUS,Mixette,DJM-2000 NEXUS,"Table de mixage 4 voies haut de gamme pensée pour la scène, la DJM‑2000 Nexus combine un large écran tactile multipoint, des effets créatifs (Beat Slice, Frequency/Sidechain Remix) et une connectique avancée Pro DJ Link pour piloter plusieurs lecteurs et ordinateurs avec une grande précision.",800,40.4,10.79,43.0,2,"{'Réponse en fréquence': '20 Hz - 20 kHz[1][2]', ""Taux d'échantillonnage"": '96 kHz[1][2]', 'Convertisseur N/A': '24 bits[1][2]', 'Convertisseur N/D': '32 bits[1][2]', 'Distorsion harmonique totale': '0,004 % ou moins[1][2]', 'Rapport signal/bruit': '107 dB (ligne)[1][2]', 'Headroom': '19 dB[1][2]', 'Entrées CD/Ligne': '6 x RCA[1][2]', 'Entrées Phono': '2 x RCA[1][2]', 'Entrées numériques': '4 x coaxial/RCA[1][2]', 'Entrée micro': '1 x XLR et 1 x 1/4 pouce[1][2]', 'Nombre de canaux audio': '4[1][2]', 'Nombre de canaux micro': '1[1][2]', 'Égaliseur': '3 bandes (+6 dB à -26 dB)[1][2]', 'Isolateur': '3 bandes (+6 dB à -∞ dB)[1][2]', 'Interface USB': 'Audio 24 bits / 96 kHz[3]', 'Limiteur de pic': 'Présent[1][4]'}",https://www.pioneerdj.com/en-us/product/mixer/archive/djm-2000nxs/black/specifications/,88.61,0.0,0
01K0991NXP19N1WEPRDEBDKDC9,PIONEER - DJM-1000,Mixette,DJM-1000,"Table de mixage 6 voies pensée pour les installations professionnelles, la Pioneer DJM-1000 offre un son numérique très précis grâce à son traitement 32 bits/96 kHz et à ses convertisseurs 24 bits. Sa connectique très généreuse, ses multiples envois/retours d’effets et ses égalisations/isolateurs musicaux en font une vraie régie de club, fiable, puissante et flexible, adaptée aux setups complexes et aux DJs exigeants.",600,48.2,21.4,48.24,4,N/A,https://www.pioneerdj.com/-/media/pioneerdj/downloads/mixer/djm-1000/operating-instructions/djm1000_manual_eu_en.pdf,0.0,0.0,5
01K0991SZ7GJC0VCBFJQM44QM9,ALLEN & HEATH - XONE:DB4,Mixette,XONE:DB4,"Le Xone:DB4 d'Allen & Heath est un mixer DJ révolutionnaire, propulsé par un puissant moteur DSP Quad FX Core pour des effets studio synchronisés au BPM sur chaque canal. Avec loopers intégrés par canal, filtres Xone emblématiques et routage flexible des sources audio, il repousse les limites entre mix DJ et production live, idéal pour des performances créatives explosives.",1900,35.6,8.9,3,5,"{'**Entrées**': '4x Line stéréo (switchable Phono sur 2-3), 4x S/PDIF numériques, 4x USB stéréo', '**Sorties**': 'Booth analogique, Main analogique, Record analogique et numérique (S/PDIF), Phones', '**Carte son**': '24 bits / 96 kHz, USB 2.0, 4 envois stéréo et 4 retours stéréo', '**Effets**': 'Quad FX Core DSP, 5 types (délais, réverbs, modulateurs, résonateurs, damage), BPM synchrone', '**Looper**': '1 par canal, 1/16 à 4 barres', '**EQ**': '3 bandes configurable (asymétrique +6/-25 dB, Isolator 24 dB/octave, HPF/LPF avec résonance)', '**Filtre**': 'Système dual Xone', '**Micro**': 'Entrée Mic/Line avec EQ 2 bandes, routable vers canal 1', '**Contrôle MIDI**': 'Tous les contrôles (sauf Mic et Phones), mode MIDI shift', '**Affichage**': 'OLED haute visibilité'}",https://www.allen-heath.com/content/uploads/2023/06/XoneDB4_ug_ap7977_4.pdf,82.73,0.0,0
01K0991Y4RJJV9QWC9Y19AEMW7,ALLEN & HEATH - XONE:92,Mixette,XONE:92,"Le Xone:92 d'Allen & Heath est un mixer DJ analogique 6 canaux légendaire, plébiscité dans les plus grands clubs mondiaux pour son son chaud et percutant. Ses filtres VCF doubles innovants, son EQ 4 bandes précis et sa construction robuste en font l'outil idéal pour des transitions créatives et immersives en live.",1560,36.0,17.4,48.3,6.5,N/A,https://www.allen-heath.com/content/uploads/2024/08/Xone92-Limited-Edition-User-Guide.pdf,0.0,0.0,5
