id,name,type,model,description,price,length_cm,height_cm,width_cm,weight_kg,technical_specs,technical_doc,confidence_score,llm2llm_score,retries_number
01K09827DQDN9Y1VTMG0DQQJX0,ROLAND - VAD 506,Batteries Électroniques,VAD 506,"Le VAD506 de Roland offre l'esthétique et la sensation authentique d'une batterie acoustique grâce à ses coques en bois pleine profondeur, tout en bénéficiant de la puissance du module TD-27 pour un son réaliste et expressif. Idéal pour scène et studio, il excelle par sa connectivité avancée, ses pads numériques réactifs et ses effets intégrés pour une performance professionnelle.",4500,7,0.0,180,53.6,"{'Module': 'TD-27', 'Caisse claire': 'PD-140DS 14"" numérique', 'Charleston': 'VH-10 12"" V-Hi-Hat', 'Cymbale ride': 'CY-18DR 18"" numérique', 'Cymbale crash': 'CY-14C-T 14"", CY-16R-T 16""', 'Tom rack 1': 'PDA100-MS 10""', 'Tom rack 2': 'PDA120-MS 12""', 'Tom floor': 'PDA140F-MS 14""', 'Caisse de basse': 'KD-200-MS 20""', 'Connectique': 'Sorties stéréo, 2 sorties directes assignables, interface USB 28 canaux, MIDI USB et I/O dédiés, 3 entrées triggers auxiliaires, Bluetooth', 'Hauteurs': 'Coques en bois pleine profondeur', 'Matériel': 'Stands double-bras chromés', 'Fonctionnalités': ""PureAcoustic Ambience Technology, Prismatic Sound Modeling, import WAV via carte SD, fonctions d'entraînement"", 'Détection': 'Multi-capteurs haute résolution sur caisse claire et ride'}",https://www.roland.com/global/support/by_product/vad506/owners_manuals/,44.71,0.0,0
01K0982AYGNRNN0EYB4EDDDQ4Y,ROLAND  - TD30KV FULL KIT,Batteries Électroniques,TD30KV FULL KIT,"Le Roland TD-30KV est un kit V-Drums premium propulsé par la technologie SuperNATURAL, offrant un son expressif et réaliste avec une réponse naturelle aux nuances de jeu. Ses pads mesh avancés, cymbales V et hi-hat VH-13 assurent un feeling authentique, idéal pour concerts et studios, avec une personnalisation poussée des kits et ambiances.",3200,160.0,125,160,3,"{'Module': 'TD-30', 'Kits': '100 (80 préréglés, 20 utilisateur)', 'Instruments': 'Batterie: 1100, Accompagnement: 262', 'Effets': 'Compresseur par pad, Égaliseur par pad, Ambiance (25 types de pièces), Réverbération, Multi-effets: 21 types, Compresseur maître, Égaliseur maître', 'Sorties principales': '2 x 6,3 mm (L/R, mono disponible)', 'Sortie casque': '1 x 6,3 mm', 'Entrées triggers': 'Individuelles par pad + 4 AUX', 'Sortie numérique': 'S/P-DIF', 'Connectivité': 'MIDI In/Out/Thru, USB-MIDI, USB mémoire (WAV/MP3)', 'Entrée mix-in': '1 x 6,3 mm stéréo'}",http://cdn.roland.com/assets/media/pdf/td-30kv_td-30k_brochure.pdf,55.94,0.0,0
01K0982EDS2DT558B41X10K5HA,ROLAND  - TD20 KIT,Batteries Électroniques,TD20 KIT,"Batterie électronique haut de gamme, le Roland TD-20 Kit offre une sensation de jeu très proche de l’acoustique, grâce aux pads mesh sensibles et aux V-Cymbals expressifs, associés au module TD-20 et à ses sons détaillés et entièrement éditables.",2000,30.7,105,30.7,2.9,"{'Polyphonie maximale': '64 voix[1]', 'Instruments batterie': '560[1]', 'Instruments backing': '262[1]', 'Kits de batterie': '50[1]', 'Chaînes de kits': '16 chaînes (32 étapes par chaîne)[1]', 'Patterns utilisateur': '100[1]', 'Patterns présélectionnés': '100[1]', 'Température': '20-260 bpm[2]', 'Entrées déclencheurs': '15[3]', 'Sorties audio': '10 analogiques + S/PDIF numérique[3]', 'Connectique MIDI': 'IN, OUT/THRU[1]', 'Connectique pied': 'Jack 1/4 pouce TRS[1]', 'Slot carte': 'CompactFlash[1]', 'Impédance sortie': '1 kΩ[1]', 'Effets': 'Égaliseur par pad (15), Compresseur par pad (15), Multi-effets (14 types), Compresseur maître, Égaliseur maître, Réverbération, Chorus[1]', 'Séquenceur': '6 parties, Oneshot/Loop/Tap, Résolution 192 ticks par noire, ~20 000 notes max[2]'}",https://static.roland.com/assets/media/pdf/TD-20_OM.pdf,80.84,0.0,4
01K0982HYW1K5Y3RKMPKVE6CWT,ROLAND  - SPD-SX,Batteries Électroniques,SPD-SX,"Le Roland SPD-SX est une pad de sampling innovante avec 9 pads en caoutchouc sensibles à la vélocité, idéaux pour des performances dynamiques et expressives sur scène. Équipé d'effets intégrés (master et kit), de LED visibles et d'entrées pour pads externes, il offre une grande flexibilité pour capturer et jouer des sons personnalisés en live.",555,3,127.5,36.2,2.57,N/A,https://static.roland.com/assets/media/pdf/SPD-SX_eng10_W.pdf,0.0,0.0,5
01K0982NEK939V28AADRFZN26W,ROLAND - SPD-SX SPECIAL EDITION,Batteries Électroniques,SPD-SX SPECIAL EDITION,"Le Roland SPD-SX Special Edition est un pad de percussion à échantillonnage ultra-performant, avec 9 pads sensibles à la vélocité et une mémoire interne généreuse pour charger des milliers d'échantillons studio. Idéal pour enrichir un kit de batterie acoustique ou électronique en live, il permet un échantillonnage instantané, des effets en temps réel comme un DJ et une jouabilité précise avec LEDs indicateurs.",730,36.4,9.4,36.4,7,"{'Pads': '9 (avec indicateurs LED)', 'Polyphonie maximale': '20 voix', ""Temps d'échantillonnage total"": '1500 min stéréo / 3000 min mono', ""Fréquence d'échantillonnage"": '44.1 kHz', ""Profondeur d'échantillonnage"": '16 bits', 'Formats supportés': 'WAV, AIFF', 'Mémoire interne': '16 GB', 'Entrées triggers': '2x 1/4"" TRS', 'Entrées principales': '2x 1/4""', 'Sorties principales': '2x 1/4""', 'Sorties sub': '2x 1/4""', 'Sortie casque': '1x 1/4""', 'MIDI': 'In/Out/USB', 'USB': '1x Type A, 1x Type B', 'Entrée pédale': '1x 1/4"" (footswitch)', 'Effets master': '21 types', 'Effets kit': '20 types (x2)', 'Kits': '100', 'Chaînes de kits': '8 (20 étapes chacune)'}",https://www.roland.com/global/products/spd-sx_special_edition/,91.82,0.0,1
01K0982RZPR8E22QPK4JCEEERM,ROLAND  - TR-8S RYTHM PERFORMER,Batteries Électroniques,TR-8S RYTHM PERFORMER,"Le Roland TR-8S Rhythm Performer est une boîte à rythmes polyvalente combinant sons analogiques ACB authentiques et échantillons personnalisables pour des kits sur mesure. Idéale pour les lives, elle excelle par sa séquenceur fluide, ses effets Scatter créatifs, ses variations de patterns et sa connectivité intuitive, offrant grooves puissants et spontanés.",610,44.2,6.5,26.0,2.1,"{'Polyphonie': '11 parties d’instruments + 1 partie dédiée au trigger out', 'Kits utilisateur': '128', 'Motifs utilisateur': '128', 'Séquenceur': '11 parties d’instruments + 1 partie trigger out, 16 pas par variation, 8 variations (A–H) par motif', 'Formats d’échantillons pris en charge': 'WAV, AIFF (import via carte SD/SDHC)', 'Temps total d’échantillonnage': 'environ 600 s à 44,1 kHz mono', 'Longueur max d’un fichier importé': 'environ 180 s à 44,1 kHz', 'Convertisseurs audio': '24 bits / 96 kHz', 'Entrées audio': '1 entrée stéréo (L/Mono, R)', 'Sorties audio': 'Sortie principale L/Mono, R + 6 sorties assignables supplémentaires (total 8 sorties analogiques)', 'Sortie casque': 'stéréo', 'Sortie trigger': '1 sortie trigger assignable', 'Entrée MIDI': 'oui', 'Sortie MIDI': 'oui', 'Port USB': 'USB pour audio et MIDI'}",https://www.roland.com/global/products/tr-8s/,84.26,0.0,0
01K0982WG7NF3QJFR4NPQBF3M0,ROLAND  - TR-8 RYTHM PERFORMER,Batteries Électroniques,TR-8 RYTHM PERFORMER,"Le Roland TR-8 Rhythm Performer recrée fidèlement les sons iconiques des TR-808 et TR-909 grâce à la technologie ACB, avec 16 kits et un séquenceur 16 pas ultra-intuitif pour des performances live explosives. Ses effets per-step (reverb, delay), rolls variés et fonction Scatter offrent une créativité infinie en scène ou studio, idéal pour la backline Mulster.",350,40.0,6.5,5,1.98,"{'Kits utilisateur': '16', 'Patterns utilisateur': '16', 'Pas par mesure': '1 – 16 pas x 2 (Variation A/B)', 'Tempo': '40 – 300 bpm', 'Connectique': 'PHONES (1/4-inch stéréo), MIX OUT (L/MONO, R) (1/4-inch), ASSIGNABLE OUT (A, B) (1/4-inch), EXTERNAL IN (L, R) (1/4-inch), USB (MIDI/audio), MIDI IN/OUT', ""Niveau d'entrée nominal"": '-10 dBu', ""Impédance d'entrée"": '100 kΩ', 'Niveau de sortie nominal': '-10/+4 dBu (sélectionnable)', 'Impédance de sortie': '1 kΩ (MIX OUT, ASSIGNABLE OUT), 130 Ω (PHONES)', 'Instruments': '11 types (BD, SD, LT, MT, HT, RS, HC, CH, OH, CC, RC)', 'Contrôles instruments': 'LEVEL, TUNE, DECAY (tous); ATTACK, COMP (BD); SNAPPY, COMP (SD)', 'Effets': 'ACCENT, REVERB (LEVEL, TIME, GATE), DELAY (LEVEL, TIME, FEEDBACK), SIDE CHAIN, SCATTER (10 types)'}",https://www.roland.com/global/products/TR-8/,76.69,0.0,0
01K09833JCEJKTY3F6RPPFPRGD,ROLAND - SPD30,Batteries Électroniques,SPD30,"Module de percussion numérique complet, le Roland SPD-30 Octapad propose huit pads très sensibles, des centaines de sons intégrés, des effets puissants et une fonction de Phrase Loop pour créer et superposer des grooves en temps réel, utilisable seul ou comme extension d’un kit acoustique ou électronique.",560,54.08,87.6,54.08,3.8,"{'Pads intégrés': '8', 'Entrées trigger externes': '4 (dual-trigger)', 'Entrée contrôle hi-hat': '1 (jack 1/4 pouce TRS)', 'Entrée footswitch': '1 (jack 1/4 pouce TRS)', 'Instruments': '670', 'Kits': '50 (99 avec version 2)', 'Chaînes de kits': '8 (20 étapes chacune)', ""Types d'effets"": 'Ambiance (7), Égaliseur, Limiteur, Multi-effets (30)', 'Phrases loop': '50', 'Parties loop': '3', 'Tempo loop': '40 à 260 bpm', 'Résolution loop': '480 ticks par noire', 'Stockage notes max': 'environ 10 000 notes', 'Connecteurs MIDI': 'IN, OUT', 'Connecteur USB mémoire': 'Oui', 'Connecteur USB MIDI': 'Oui', 'Connecteur PHONES': 'Jack stéréo 1/4 pouce', 'Impédance sortie': '1,0 kΩ', 'Alimentation': 'Adaptateur AC (DC 9 V)', 'Consommation': '600 mA', 'Polyphonie': '80 notes', 'Gain sortie (version 2)': '+6 dB'}",https://cdn.roland.com/assets/media/pdf/spd-30_brochure.pdf,74.54,0.0,0
01K098372XESECENA62FEYA3RH,SIMMONS - WHITE,Batteries Électroniques,WHITE,"Le module Simmons White est une batterie électronique emblématique au look entièrement blanc, pensée pour offrir les sons percussifs typiques des années 80 avec un design immédiatement reconnaissable. Idéale en backline, elle combine esthétique scénique forte, sons de batteries électroniques incisifs et prise en main simple, parfaite pour les artistes en résidence comme pour les tournées.",7,0.0,0.0,0.0,,"{'Remarque': 'Impossible d’identifier un instrument de musique ou une référence liée à la marque de batteries/pads électroniques Simmons à partir de « SIMMONS - WHITE ». Les résultats disponibles concernent exclusivement la marque de literie/matelas Simmons. Aucune caractéristique technique exploitable pour une fiche d’instrument de percussion n’a été trouvée. Merci de fournir une référence plus précise (par ex. « Simmons SD2000 », « Simmons SDS 8 », « Simmons DA50 », etc.).'}",https://fr.audiofanzine.com/batterie-simmons/simmons-white/,0.0,0.0,5
01K42RZ1H7AHVQ7AFFTVXYAEWR,MARKDRUM - YES1,Batteries Électroniques,YES1,"La MarkDrum YES1 est une batterie électronique innovante, polyvalente et ultra-portable, idéale pour les concerts, tournées et résidences créatives. Conçue par Parsek srl, elle excelle par sa facilité de transport et sa flexibilité d'utilisation sur scène.",0,0.0,91,0.0,0.0,"{'Réponse en fréquence': '20 Hz – 20 000 Hz', 'Polyphonie': '64 voix', 'Kit de batteries': '99 kits utilisateur', 'Pads': '8 pads en caoutchouc sensibles à la vélocité + 2 entrées pour pads externes', 'Entrée pédale de grosse caisse': '1 (commutable switch/trigger)', 'Entrée pédale de charleston': '1 (switch)', 'Entrées audio': '1 x entrée stéréo mini-jack 3,5 mm', 'Sorties audio': '1 x sortie casque mini-jack 3,5 mm (stéréo)', 'Port USB': '1 x USB type B (MIDI et audio)', 'MIDI': 'USB-MIDI', 'Alimentation': 'Adaptateur secteur (9 V CC)'}",https://www.manualslib.com/manual/931361/Markdrum-Yes.html,0.0,0.0,5
